state,dem_polling,gop_polling,year,dem_polling_margin,gop_polling_margin,description,date
Arizona,46.5,44.0,2022,2.5,-2.5,RCP polling average,2022-10-21
Colorado,48.5,40.8,2022,7.7,-7.7,RCP polling average,2022-10-21
Connecticut,51.0,42.0,2022,9.0,-9.0,RCP polling average,2022-10-21
Florida,41.3,47.0,2022,-5.7,5.7,RCP polling average,2022-10-21
Georgia,47.6,45.2,2022,2.4,-2.4,RCP polling average,2022-10-21
Missouri,38.0,49.0,2022,-11.0,11.0,RCP polling average,2022-10-21
North Carolina,43.4,46.2,2022,-2.8,2.8,RCP polling average,2022-10-21
New Hampshire,49.7,44.3,2022,5.4,-5.4,RCP polling average,2022-10-21
Nevada,45.2,46.4,2022,-1.2,1.2,RCP polling average,2022-10-21
New York,52.7,39.7,2022,13.0,-13.0,RCP polling average,2022-10-21
Ohio,44.5,46.8,2022,-2.3,2.3,RCP polling average,2022-10-21
Pennsylvania,46.4,44.0,2022,2.4,-2.4,RCP polling average,2022-10-21
Washington,50.3,42.5,2022,7.8,-7.8,RCP polling average,2022-10-21
Wisconsin,47.0,49.8,2022,-2.8,2.8,RCP polling average,2022-10-21
