state,description,gop_polling,dem_polling,other_polling,gop_polling_margin,dem_polling_margin,year
Alabama,538 polling average,55.4,32.6,5.2,22.8,-22.8,2016
Alaska,538 polling average,42.1,36.4,9.0,5.7,-5.7,2016
Arizona,538 polling average,44.4,42.7,5.6,1.7,-1.7,2016
Arkansas,538 polling average,52.6,32.4,5.6,20.2,-20.2,2016
California,538 polling average,31.1,54.8,4.6,-23.7,23.7,2016
Colorado,538 polling average,39.7,43.7,7.0,-4.0,4.0,2016
Connecticut,538 polling average,35.4,48.5,6.5,-13.1,13.1,2016
Delaware,538 polling average,35.3,48.4,6.5,-13.1,13.1,2016
Florida,538 polling average,44.4,45.7,3.6,-1.3,1.3,2016
Georgia,538 polling average,47.2,43.5,4.8,3.7,-3.7,2016
Hawaii,538 polling average,28.2,50.1,7.2,-21.9,21.9,2016
Idaho,538 polling average,46.3,27.7,7.2,18.6,-18.6,2016
Illinois,538 polling average,34.9,49.4,5.2,-14.5,14.5,2016
Indiana,538 polling average,47.5,37.1,7.8,10.4,-10.4,2016
Iowa,538 polling average,43.5,40.4,6.0,3.1,-3.1,2016
Kansas,538 polling average,48.0,36.8,8.0,11.2,-11.2,2016
Kentucky,538 polling average,50.2,32.6,4.9,17.6,-17.6,2016
Louisiana,538 polling average,50.0,35.4,4.6,14.6,-14.6,2016
Maine,538 polling average,37.1,45.1,7.5,-8.0,8.0,2016
Maryland,538 polling average,29.0,56.3,5.4,-27.3,27.3,2016
Massachusetts,538 polling average,28.6,54.1,6.5,-25.5,25.5,2016
Michigan,538 polling average,40.4,44.5,5.8,-4.1,4.1,2016
Minnesota,538 polling average,37.6,44.9,7.1,-7.3,7.3,2016
Mississippi,538 polling average,50.4,37.2,3.6,13.2,-13.2,2016
Missouri,538 polling average,49.1,38.8,5.1,10.3,-10.3,2016
Montana,538 polling average,47.0,32.4,9.3,14.6,-14.6,2016
Nebraska,538 polling average,49.9,32.6,6.7,17.3,-17.3,2016
Nevada,538 polling average,43.5,44.6,5.7,-1.1,1.1,2016
Newhampshire,538 polling average,40.6,44.8,7.1,-4.2,4.2,2016
Newjersey,538 polling average,36.9,48.9,3.9,-12.0,12.0,2016
Newmexico,538 polling average,38.1,43.4,11.8,-5.3,5.3,2016
Newyork,538 polling average,33.3,52.7,4.2,-19.4,19.4,2016
Northcarolina,538 polling average,44.4,45.7,4.7,-1.3,1.3,2016
Northdakota,538 polling average,51.8,28.2,7.9,23.6,-23.6,2016
Ohio,538 polling average,44.4,42.8,5.6,1.6,-1.6,2016
Oklahoma,538 polling average,55.2,30.2,8.3,25.0,-25.0,2016
Oregon,538 polling average,35.9,45.6,6.1,-9.7,9.7,2016
Pennsylvania,538 polling average,42.4,46.3,4.6,-3.9,3.9,2016
Rhodeisland,538 polling average,33.5,47.6,5.9,-14.1,14.1,2016
Southcarolina,538 polling average,47.1,40.1,4.0,7.0,-7.0,2016
Southdakota,538 polling average,48.2,33.9,8.2,14.3,-14.3,2016
Tennessee,538 polling average,47.4,36.9,5.4,10.5,-10.5,2016
Texas,538 polling average,46.8,39.3,5.2,7.5,-7.5,2016
Utah,538 polling average,36.3,26.5,5.3,9.8,-9.8,2016
Vermont,538 polling average,23.3,52.5,5.7,-29.2,29.2,2016
Virginia,538 polling average,40.7,46.6,4.7,-5.9,5.9,2016
Washington,538 polling average,34.8,48.9,5.3,-14.1,14.1,2016
Westvirginia,538 polling average,55.8,29.2,6.1,26.6,-26.6,2016
Wisconsin,538 polling average,40.5,46.4,4.9,-5.9,5.9,2016
Wyoming,538 polling average,57.1,22.1,8.8,35.0,-35.0,2016
