state,dem_polling,gop_polling,year,dem_polling_margin,gop_polling_margin,description,date
Arizona,48.0,48.3,2022,-0.3,0.3,RCP polling average,2022-11-13
Colorado,50.0,44.3,2022,5.7,-5.7,RCP polling average,2022-11-13
Florida,43.6,52.4,2022,-8.8,8.8,RCP polling average,2022-11-13
Georgia,47.4,48.8,2022,-1.4,1.4,RCP polling average,2022-11-13
Missouri,41.3,52.0,2022,-10.7,10.7,RCP polling average,2022-11-13
North Carolina,44.8,51.0,2022,-6.2,6.2,RCP polling average,2022-11-13
New Hampshire,48.7,47.3,2022,1.4,-1.4,RCP polling average,2022-11-13
Nevada,45.4,48.8,2022,-3.4,3.4,RCP polling average,2022-11-13
New York,54.7,39.3,2022,15.4,-15.4,RCP polling average,2022-11-13
Ohio,43.8,51.8,2022,-8.0,8.0,RCP polling average,2022-11-13
Pennsylvania,46.8,47.2,2022,-0.4,0.4,RCP polling average,2022-11-13
Washington,49.3,46.3,2022,3.0,-3.0,RCP polling average,2022-11-13
Wisconsin,46.6,50.2,2022,-3.6,3.6,RCP polling average,2022-11-13
