Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Calculated Eta","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude,"My Fleets"
Bermuda,ECLIPSE,,"2022-03-03 13:00:00",CRUISING,,,1009613,"Pleasure Craft","2022-03-13 01:51:49",36.27028,-2.948983,-
"United Kingdom","SAILING YACHT A",TRIESTE,"2022-01-05 10:10:00",TRIESTE,,TRIESTE,1012141,Passenger,"2022-02-25 16:16:35",45.63432,13.77455,-
"Cayman Is",DILBAR,HAMBURG,"2021-10-29 09:00:00",HAMBURG,,HAMBURG,9661792,"Pleasure Craft","2021-12-21 11:46:24",53.5426,9.964017,-
"United Kingdom",A,MALE,"2021-12-02 08:00:00",MVMLE,,,1009340,"Pleasure Craft","2022-03-10 10:50:53",4.421157,73.28638,-
Bermuda,"LE GRAND BLEU",,"2022-05-02 14:00:00","SXM SIMPSON BAY",,"PHILIPSBURG ANCH",1006829,"Pleasure Craft","2022-03-14 15:38:52",18.02209,-63.10352,-
"Cayman Is","MADAME GU",,"2022-03-06 05:00:00",RASHID,,DUBAI,1011331,"Pleasure Craft","2022-03-06 08:09:10",25.26916,55.27261,-
"Marshall Is",LUNA,,"2022-01-24 10:00:00","SHIFFTING BERTH",,HAMBURG,1010222,"Pleasure Craft","2022-02-28 08:40:55",53.54255,9.956523,-
"Cayman Is",NIRVANA,,"2022-03-07 15:30:00","AE PRA",,DUBAI,1011202,"Pleasure Craft","2022-03-14 15:38:56",25.26195,55.27411,-
Russia,GRACEFUL,"NEW YORK","2022-04-01 14:00:00","NEW YORK",,,1011551,"Pleasure Craft","2022-02-09 08:56:59",54.68985,20.37294,-
"Cayman Is",ANDROMEDA,,"2022-03-14 04:00:00",SILHOUETTE,,,9692545,"Pleasure Craft","2022-03-13 16:50:43",-4.648077,55.58191,-
"Cayman Is","OCEAN VICTORY",,"2022-02-08 04:00:00",SEYCHELLES,,,1011850,"Pleasure Craft","2022-03-01 15:11:15",4.272758,73.5419,-
"Cayman Is",PALLADIUM,BARCELONA,"2020-11-07 09:00:00",BARCELONA,,BARCELONA,1010167,"Pleasure Craft","2020-06-16 12:12:48",41.37071,2.18525,-
"Cayman Is",ICE,GENOVA,"2022-09-11 09:00:00","IT GOA>IT GOA",,GENOVA,9332406,"Pleasure Craft","2022-03-14 15:37:40",44.39469,8.931115,-
"Cook Is",TANGO,"PALMA DE MALLORCA","2022-01-30 10:00:00","ES PMI",,"PALMA DE MALLORCA",1010703,"Pleasure Craft","2022-03-14 15:31:59",39.56646,2.638477,-
"Cayman Is",PACIFIC,,"2022-02-23 14:00:00","BAHIA HUEVO",,,9569293,"Pleasure Craft","2022-02-16 20:18:05",9.796872,-84.79768,-
Bermuda,"MY SOLARIS",TIVAT,"2022-03-12 12:00:00",TIVAT,,,9819820,"Pleasure Craft","2022-03-14 15:34:09",42.42306,18.68715,-
"Cayman Is",NORD,MALE,"2022-03-16 04:04:00","SC MAW>MV MLE","2022-03-16 09:02:00",,9853785,"Pleasure Craft","2022-03-12 10:02:16",-4.097668,55.51287,-
"Cayman Is","QUANTUM BLUE","PORT SAID","2022-03-08 17:00:00","EG PSD",,"PORT SAID",9740251,"Pleasure Craft","2022-03-14 15:08:38",31.26347,32.31433,-
Bermuda,TITAN,,"2022-01-01 00:00:00",CRUISING,,,1010478,"Pleasure Craft","2022-03-13 21:23:58",15.44488,65.97577,-
"Cayman Is",ANNA,,"2022-03-06 16:45:00",CRUISING,,CANOUAN,1012983,"Pleasure Craft","2022-03-14 15:35:27",12.72081,-61.33339,-
"Cayman Is",CLIO,MALE,"2022-03-12 17:00:00",MALE,,"MALE ANCH",9312535,"Pleasure Craft","2022-01-02 21:56:01",29.0124,32.7989,-
"Cayman Is","AMORE VERO","LA CIOTAT","2022-01-03 10:00:00","IT SPE > FR LCT",,"LA CIOTAT",1011757,"Pleasure Craft","2013-07-14 16:35:00",43.17068,5.610517,-
"St Vincent Grenadines",VALERIE,BARCELONA,"2022-02-09 08:00:00",ESBCN,,BARCELONA,1010624,"Pleasure Craft","2022-03-01 09:31:22",41.36963,2.186183,-
"Cayman Is","LADY M",IMPERIA,"2021-11-09 09:00:00",IMPERIA,,IMPERIA,1012012,"Pleasure Craft","2016-08-25 16:17:33",43.87768,8.024118,-
"Cayman Is","GALACTICA SUPER NOVA",TIVAT,"2022-03-01 15:00:00","TIVAT, MONTENEGRO",,,9798234,"Pleasure Craft","2022-03-02 04:48:58",42.28695,18.57163,-
Malta,RAGNAR,NARVIK,"2022-02-17 14:00:00",NARVIK,,NARVIK,9621522,"Pleasure Craft","2022-03-14 15:38:34",68.42813,17.42295,-
"Cayman Is","HERE COMES THE SUN","PALMA DE MALLORCA","2022-02-01 18:00:00","PALMA DE MALLORCA",,"PALMA DE MALLORCA",1012414,"Pleasure Craft","2022-03-14 15:35:08",39.55631,2.628212,-
"Cayman Is","ROYAL ROMANCE",RIJEKA,"2021-09-21 06:50:00",RIJEKA,,RIJEKA,1012268,"Pleasure Craft","2021-10-08 06:33:20",45.32583,14.43967,-
"Marshall Is","SEA RHAPSODY","PORT VICTORIA","2022-03-04 08:00:00","SC POV",,"PORT VICTORIA",1010648,"Pleasure Craft","2022-03-14 15:38:53",-4.642543,55.47651,-
Russia,RAHIL,TUZLA,"1900-01-01 00:00:00",TUZLA,,TUZLA,1010533,"Pleasure Craft","2022-03-09 04:53:37",40.81483,29.321,-
"Cayman Is",AURORA,BARCELONA,"2022-03-08 14:00:00","ES BCN",,BARCELONA,1012969,"Pleasure Craft","2022-03-14 15:37:35",41.36958,2.187,-
Russia,"LA DATCHA",,"2022-03-05 01:00:00",TBA,,ENSENADA,9849021,"Pleasure Craft","2022-03-07 20:40:08",31.85823,-116.6296,-
"Cayman Is",SKORPIOS,,,"No data (CLASS B transponder)",,,0,"Pleasure Craft","2022-03-14 15:39:35",38.25828,16.39675,-
"St Vincent Grenadines","LADY ANASTASIA",,,ADRIANO,,"PORT ADRIANO",8742496,"Pleasure Craft","2022-01-21 13:25:29",39.48976,2.475022,-
"British Virgin Is",LENA,SANREMO,"2021-07-24 13:30:00",SANREMO,,SANREMO,9594339,"Pleasure Craft","2021-09-24 11:16:16",43.81768,7.791121,-
