agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Army Corps of Engineers (Civil),45100000,MO,H/S,Bustos, Graves, Hinson,Baldwin, Blunt, Duckworth, Durbin
Army Corps of Engineers (Civil),200000,,S,,,,Baldwin, Peters, Stabenow,
Department of Education,600000,WI,H,Moore ,,,Baldwin,,,
Department of Education,750000,WI,H/S,Moore ,,,Baldwin,,,
Department of Housing and Urban Development,1000000,,H,Pocan,,,Baldwin,,,
Rural Development,7000000,,H,Kind,,,Baldwin,,,
Rural Development,220000,,H,Pocan,,,Baldwin,,,
Environmental Protection Agency,530000,,H,Fitzgerald,,,Baldwin,,,
Environmental Protection Agency,1600000,,H,Kind,,,Baldwin,,,
DOC,1200000,,H/S,Pocan,,,Baldwin,,,
Agricultural Research Service,39700000,,H/S,Pocan,,,Baldwin,,,
Small Business Administration,174000,,H/S,Pocan,,,Baldwin,,,
DOJ,377000,,S,,,,Baldwin,,,
DOJ,533000,,S,,,,Baldwin,,,
DOJ,622000,,S,,,,Baldwin,,,
DOJ,202000,,S,,,,Baldwin,,,
FEMA,1666000,,S,,,,Baldwin,,,
Department of Transportation,750000,,S,,,,Baldwin,,,
Department of Transportation,5000000,,S,,,,Baldwin,,,
Department of Transportation,2000000,,S,,,,Baldwin,,,
Department of Housing and Urban Development,500000,,S,,,,Baldwin,,,
Department of Housing and Urban Development,800000,,S,,,,Baldwin,,,
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,
Rural Development,23000,,S,,,,Baldwin,,,
Rural Development,151000,,S,,,,Baldwin,,,
Rural Development,5000000,,S,,,,Baldwin,,,
Rural Development,54000,,S,,,,Baldwin,,,
Rural Development,4000000,,S,,,,Baldwin,,,
Rural Development,250000,,S,,,,Baldwin,,,
Army Corps of Engineers (Civil),20000,,S,,,,Baldwin,,,
Small Business Administration,95000,,S,,,,Baldwin,,,
National Archives and Records Administration,500000,,S,,,,Baldwin,,,
Department of Transportation,500000,,S,,,,Baldwin,,,
Forest Service,800000,,S,,,,Baldwin,,,
Environmental Protection Agency,848000,,S,,,,Baldwin,,,
Environmental Protection Agency,1022000,,S,,,,Baldwin,,,
Environmental Protection Agency,1600000,,S,,,,Baldwin,,,
Environmental Protection Agency,2000000,,S,,,,Baldwin,,,
Air NG,2280000,,S,,,,Baldwin,,,
Environmental Protection Agency,3730000,,S,,,,Baldwin,,,
Department of Transportation,5000000,,S,,,,Baldwin,,,
Army Reserve,29200000,,S,,,,Baldwin,,,
Department of Labor,2000000,,S,,,,Baldwin,,,
Department of Health & Human Services,2000000,,S,,,,Baldwin,,,
Department of Health & Human Services,300000,,S,,,,Baldwin,,,
Department of Health & Human Services,231000,,S,,,,Baldwin,,,
Department of Health & Human Services,300000,,S,,,,Baldwin,,,
Department of Health & Human Services,217000,,S,,,,Baldwin,,,
Department of Health & Human Services,1021000,,S,,,,Baldwin,,,
Department of Health & Human Services,2539000,,S,,,,Baldwin,,,
Department of Health & Human Services,600000,,S,,,,Baldwin,,,
Department of Health & Human Services,300000,,S,,,,Baldwin,,,
Department of Health & Human Services,1121000,,S,,,,Baldwin,,,
Department of Health & Human Services,3000000,,S,,,,Baldwin,,,
Department of Health & Human Services,523000,,S,,,,Baldwin,,,
Department of Education,500000,,S,,,,Baldwin,,,
