title,day,start,end,format,zip_code,address,virtual,details,tags,type,url
Spin The Bottle,Thursday,8:00PM,9:00PM,Person,90027,"2930 Hyperion Ave  Los Angeles, CA 90027",,,Open; Speaker; Tag Participation,LGBTQ,https://lacoaa.org/meeting-details.php?id=30
Daily Reflections,Monday,7:00PM,8:30PM,Person,91706,"3510 Baldwin Park Blvd  Baldwin Park, CA 91706",,This meeting is in a church.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=36
As Bill Sees It,Wednesday,6:00PM,7:15PM,Person,91706,"4743 Maine Ave  Baldwin Park, CA 91706",,This meeting is in a commercial center.,As Bill Sees It,No Types Set,https://lacoaa.org/meeting-details.php?id=37
Bellflower Big Book Group,Monday,7:30PM,,Hybrid,90706,"9603 Belmont St  Bellflower, CA 90706",ID: 563 370 404PH: 12133388477436554PW: bigbook,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=44
Roxbury Group,Tuesday,8:00PM,9:00PM,Person,90212,"471 S Roxbury Dr  Beverly Hills, CA 90212",,,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=48
Beverly Hills Men'S Stag (Roxbury),Wednesday,8:00PM,9:20PM,Person,90212,"471 S Roxbury Dr  Beverly Hills, CA 90212",,,Closed,Men,https://lacoaa.org/meeting-details.php?id=49
Brentwood Beginners Workshop,Thursday,7:00PM,8:00PM,Hybrid,90049,"12000 San Vicente Blvd  Los Angeles, CA 90049",ID: 682 879 382PH: PW: 027132,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=61
Burbank Group Monday Night Madness,Monday,8:00PM,,Person,91502,"637 S Victory Blvd  Burbank, CA 91502",,,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=69
Burbank Group 12 Steps & 12 Traditions ,Wednesday,8:00PM,9:00PM,Person,91502,"637 S Victory Blvd  Burbank, CA 91502",,,Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=75
Burbank Group Speaker,Friday,8:00PM,9:30PM,Person,91502,"637 S Victory Blvd  Burbank, CA 91502",,,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=82
Burbank Group Men'S Stag,Saturday,12:00PM,,Person,91502,"637 S Victory Blvd  Burbank, CA 91502",,This meeting is in a meeting hall.,Discussion; Open,Men,https://lacoaa.org/meeting-details.php?id=85
Just For Today,Sunday,6:00PM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=93
Men'S Stag,Monday,8:30PM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Closed,Men,https://lacoaa.org/meeting-details.php?id=95
Big Book Study,Monday,6:30PM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=96
Topic Discussion,Wednesday,8:30PM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Closed,No Types Set,https://lacoaa.org/meeting-details.php?id=98
Mid Day,Wednesday,12:00PM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=100
Wilson Park,Thursday,8:30PM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=101
Twelve Promises,Friday,8:30PM,,Person,90221,"424 E Compton Blvd  Compton, CA 90221",,This meeting is in a meeting hall.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=103
General Discussion,Sunday,12:30PM,1:30PM,Person,91723,"510 S 2nd Ave  Covina, CA 91723",,This meeting is in an Alano club.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=112
4 Speakers,Monday,8:30PM,,Hybrid,91723,"510 S 2nd Ave  Covina, CA 91723",ID: 614-061-614	PH: 1(669) 900-6833PW: 300490,This meeting is in an Alano club.,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=114
General Discussion,Tuesday,12:30PM,1:30PM,Person,91723,"510 S 2nd Ave  Covina, CA 91723",,This meeting is in an Alano club.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=115
General Discussion,Thursday,12:30PM,1:30PM,Person,91723,"510 S 2nd Ave  Covina, CA 91723",,This meeting is in an Alano club.,Closed; Discussion,No Types Set,https://lacoaa.org/meeting-details.php?id=123
Speaker Meeting,Friday,8:30PM,,Hybrid,91723,"510 S 2nd Ave  Covina, CA 91723",ID: 296-242-426PH: 1(669) 900-6833PW: 296296,This meeting is in an Alano club.,Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=126
General Discussion,Friday,12:30PM,1:30PM,Person,91723,"510 S 2nd Ave  Covina, CA 91723",,This meeting is in an Alano club.,Discussion; Open,No Types Set,https://lacoaa.org/meeting-details.php?id=128
Step Study,Wednesday,6:45AM,7:45AM,Person,90066,"12720 Washington Blvd  Los Angeles, CA 90066",,,Big Book; Literature; Open; Speaker; Step Meeting,No Types Set,https://lacoaa.org/meeting-details.php?id=136
Tuesday Night Speakers,Tuesday,8:00PM,9:00PM,Person,90066,"12720 Washington Blvd  Los Angeles, CA 90066",,,Open,Newcomer,https://lacoaa.org/meeting-details.php?id=141
Noon,Saturday,12:00PM,,Person,90066,"12720 Washington Blvd  Los Angeles, CA 90066",,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=144
Marina Center Partipation,Saturday,8:30PM,,Person,90066,"12720 Washington Blvd  Los Angeles, CA 90066",,,Big Book; Discussion; Open; Speaker,No Types Set,https://lacoaa.org/meeting-details.php?id=146
5Th St. Participation,Sunday,7:30PM,9:00PM,Hybrid,90241,"10801 Downey Ave  Downey, CA 90241",ID: 618 572 915PH: (669) 900-6833PW: 782668,,Open,No Types Set,https://lacoaa.org/meeting-details.php?id=152
