OSHPD ID,OSHPD Provider Name,Designated NICU as Defined by DHCS,DPH,NDPH,OSHPD Rural Hospital,DHCS Designated Remote Rural,"SFY 
2019-20 Cost-to-Charge Ratio %",FFY 2019 Wage Index Value,FFY 2019 Wage Index Value (Adjusted for CA Neutrality Factor),"SFY 
2019-20 Unadjusted Statewide Base Rate","SFY 
2019-20 Wage Adjusted Statewide Base Rate","SFY 
2019-20 Rehab Rate",SFY 2019-20 Admin 2 190 Rate,SFY 2019-20 Admin 2 199 Rate
106580996,ADVENTIST HEALTH AND RIDEOUT,No,No,No,No,No,0.27616,1.25,1.2164,6584,7557,0,1074.41,990.88
106150788,ADVENTIST HEALTH BAKERSFIELD,No,No,No,No,No,0.18126,1.25,1.2164,6584,7557,0,1074.41,990.88
106171049,ADVENTIST HEALTH CLEARLAKE,No,No,No,Yes,Yes,0.39342,1.25,1.2164,14615,16775,0,1074.41,990.88
106040875,ADVENTIST HEALTH FEATHER RIVER,No,No,No,No,No,0.15676,1.25,1.2164,6584,7557,0,1074.41,990.88
106190323,ADVENTIST HEALTH GLENDALE,No,No,No,No,No,0.17855,1.2827,1.2482,6584,7700,1207,1074.41,990.88
106164029,ADVENTIST HEALTH HANFORD,No,No,No,Yes,Yes,0.36232,1.25,1.2164,14615,16775,0,1074.41,990.88
106390923,ADVENTIST HEALTH LODI MEMORIAL,No,No,No,No,No,0.14736,1.4493,1.4103,6584,8429,1321,1074.41,990.88
106100797,ADVENTIST HEALTH REEDLEY,No,No,No,Yes,Yes,0.67817,1.25,1.2164,14615,16775,0,1074.41,990.88
106100793,ADVENTIST HEALTH SELMA,No,No,No,Yes,Yes,0.36232,1.25,1.2164,14615,16775,0,1074.41,990.88
106560525,ADVENTIST HEALTH SIMI VALLEY,No,No,No,No,No,0.26758,1.4349,1.3963,6584,8366,0,1074.41,990.88
106552209,ADVENTIST HEALTH SONORA - FAIRVIEW,No,No,No,Yes,Yes,0.19694,1.25,1.2164,14615,16775,0,1074.41,990.88
106554011,ADVENTIST HEALTH SONORA - GREENLEY,No,No,No,Yes,Yes,0.19694,1.25,1.2164,14615,16775,0,1074.41,990.88
106281078,ADVENTIST HEALTH ST. HELENA,No,No,No,No,No,0.32037,1.5649,1.5228,6584,8935,0,1074.41,990.88
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,No,No,Yes,Yes,Yes,1,1.25,1.2164,14615,16775,0,1074.41,990.88
