id,raw_code,name,clean_code,slug
1,11383.7HS,"","",113837hs
2,653(W)PC,"","",653wpc
3,1209.9PC,"","",12099pc
4,1326US,"","",1326us
5,290.013PC,"","",290013pc
6,42.00(B)LAMC,"","",4200blamc
7,17708(B)1BM,"","",17708b1bm
8,4.08.091BSC,"","",408091bsc
9,14601.1(A)VC,"","",146011avc
10,12031(A)(2)F,"","",12031a2f
11,4.08.091SM,"","",408091sm
12,41.18(D)LA,"","",4118dla
13,12031A(2)FPC,"","",12031a2fpc
14,23150(A)VC,"","",23150avc
15,12031(A)2FPC,"","",12031a2fpc
16,11351(A)HS,"","",11351ahs
17,5200(A)VC,"","",5200avc
18,12031A2PC,"","",12031a2pc
19,7120FG,"","",7120fg
20,12276.145PC,"","",12276145pc
21,22435.2(B)P,"","",224352bp
22,653.23(A)PC,"","",65323apc
23,290(A)(1)PC,"","",290a1pc
24,12031(D)PC,"","",12031dpc
25,12025(C)PC,"","",12025cpc
26,289.6(A)2PC,"","",2896a2pc
27,41.27(C)LAM,"","",4127clam
28,483.5(B)PC,"","",4835bpc
29,246.3(A)PC,"","",2463apc
30,594(B)(2)BPC,"","",594b2bpc
31,7850FG,"","",7850fg
32,653(A)PC,"","",653apc
33,12403.7(A)PC,"","",124037apc
34,BKMC,"","",bkmc
35,653(K)PC,"","",653kpc
36,537(A)2PC,"","",537a2pc
37,146011AVC,"","",146011avc
38,41.24(A)LA,"","",4124ala
39,8 1326USC,"","",8-1326usc
40,653B(A)PC,"","",653bapc
41,1209PC,"","",1209pc
42,1361.1(A)1PC,"","",13611a1pc
43,22435.2(B)BP,"","",224352bbp
44,41.27(C)LA,"","",4127cla
45,X53.7PC,"","",x537pc
46,288(C)(1)PCF,"","",288c1pcf
47,TITLE18,"","",title18
48,220(A)PC,"","",220apc
49,640(B)(6)PC,"","",640b6pc
50,23223(B)VC,"","",23223bvc
51,487.1PCTFMF,"","",4871pctfmf
52,4024.(B)PC,"","",4024bpc
53,171B(A)6PC,"","",171ba6pc
54,12021A(2)FPC,"","",12021a2fpc
55,424(A)PC,"","",424apc
56,11377PC,"","",11377pc
57,11360 HS,"","",11360-hs
58,14601.2(A)VC,"","",146012avc
59,853.7,"","",8537
60,602(0)PC,"","",6020pc
61,594(B)4PC,"","",594b4pc
62,A261PC,"","",a261pc
63,12403.7(G)PC,"","",124037gpc
64,14601.1(A)V,"","",146011av
65,14601.1VC,"","",146011vc
66,12020A(1)PC,"","",12020a1pc
67,23224AVC,"","",23224avc
68,31PC,"","",31pc
69,653(F)DPC,"","",653fdpc
70,21956(A)VC,"","",21956avc
71,COURT ORDER,"","",court-order
72,8USC1325,"","",8usc1325
73,1551.5PC,"","",15515pc
74,4127(C)LAMC,"","",4127clamc
75,243(C)1PC,"","",243c1pc
76,1209.06,"","",120906
77,10815(A)VC,"","",10815avc
78,290(B)PC,"","",290bpc
79,415.3PC,"","",4153pc
80,148(A)(1))PC,"","",148a1pc
81,653.23PC,"","",65323pc
82,594B(2)BPC,"","",594b2bpc
83,22435.2(F)B,"","",224352fb
84,273A(A)(1)PC,"","",273aa1pc
85,2800(A)VC,"","",2800avc
86,12553(B)PC,"","",12553bpc
87,22485BP,"","",22485bp
88,11359 HS,"","",11359-hs
89,350(A)2PC,"","",350a2pc
90,22658(L)VC,"","",22658lvc
91,4.08.097(A),"","",408097a
92,3.36.281SC,"","",336281sc
93,5.08.300SC,"","",508300sc
94,41.49(B)BP,"","",4149bbp
95,288.7(B)PC,"","",2887bpc
96,24250AVC,"","",24250avc
97,594(B)2(A)PC,"","",594b2apc
98,5012WI,"","",5012wi
99,4145(C)PC,"","",4145cpc
100,261(A)PC,"","",261apc
101,261PC,"","",261pc
102,1326USC,"","",1326usc
103,368PC,"","",368pc
104,14601AVC,"","",14601avc
105,A261(A)(1)PC,"","",a261a1pc
106,300(B)WIC,"","",300bwic
107,14601.5(A)V,"","",146015av
108,211(A)PC,"","",211apc
109,211 PC,"","",211-pc
110,11350HS,"","",11350hs
111,66.25,"","",6625
112,11351.1HS,"","",113511hs
113,10855(A)VC,"","",10855avc
114,12021APC,"","",12021apc
115,12553(A)1PC,"","",12553a1pc
116,41.27(C),"","",4127c
117,12020C1CPC,"","",12020c1cpc
118,63.44I(13),"","",6344i13
119,290.013(A)PC,"","",290013apc
120,11350(A)HS F,"","",11350ahs-f
121,3.12.350A1S,"","",312350a1s
122,885US,"","",885us
123,12031(A)2PC,"","",12031a2pc
124,X4601.1AVC,"","",x46011avc
125,273(A)(2)PC,"","",273a2pc
126,588(A)PC,"","",588apc
127,12020(C)1PC,"","",12020c1pc
128,626.81PC,"","",62681pc
129,640B1XXPC,"","",640b1xxpc
130,41.49BP,"","",4149bp
131,42.00(B),"","",4200b
132,C245(A)2PC,"","",c245a2pc
133,14601.2(A)V,"","",146012av
134,290.012APC,"","",290012apc
135,12700HS,"","",12700hs
136,647(J)(1)PC,"","",647j1pc
137,11383(B)1HS,"","",11383b1hs
138,7.26IG,"","",726ig
139,23123(A)VC,"","",23123avc
140,494(A)PC,"","",494apc
141,405(B)PC,"","",405bpc
142,290(D)PC,"","",290dpc
143,40508(A)VCC,"","",40508avcc
144,653(F)(E)PC,"","",653fepc
145,519.1(A)PC,"","",5191apc
146,647.6(2)PC,"","",64762pc
147,273(A)(B)PC,"","",273abpc
148,243(4)(E)1PC,"","",2434e1pc
149,41.47.2LAMC,"","",41472lamc
150,594(B)1PC,"","",594b1pc
151,290.010PC,"","",290010pc
152,653(M)(A)),"","",653ma
153,487PCTFMV,"","",487pctfmv
154,602.5 PC,"","",6025-pc
155,640B1PC,"","",640b1pc
156,273.5PC,"","",2735pc
157,125OO(A)VC,"","",125ooavc
158,12031A1PC,"","",12031a1pc
159,9.08.010MC,"","",908010mc
160,602(V)PC,"","",602vpc
161,1324USC,"","",1324usc
162,23103.5VC,"","",231035vc
163,602(O)(2)PC,"","",602o2pc
164,368APC,"","",368apc
165,288(A) PC,"","",288a-pc
166,14601(A)1VC,"","",14601a1vc
