date,year,month,weekday,win_loss,home_away,opp,runs_scored,runs_allowed,ab,h,1b,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,tb,gidp,hbp,sh,sf,ibb
2012-09-12,2012,9,Wednesday,L,away,ARI,2,3,30,4,3,1,0,0,2,0,0,0,8,0.133,0.161,0.167,0.328,5,0,1,1,0,0
2012-09-11,2012,9,Tuesday,L,away,ARI,0,1,30,5,2,3,0,0,0,0,0,0,8,0.167,0.167,0.267,0.433,8,2,0,0,0,0
2012-09-09,2012,9,Sunday,L,away,SFG,0,4,31,5,4,1,0,0,0,0,0,4,8,0.161,0.257,0.194,0.451,6,0,0,1,0,0
2012-09-08,2012,9,Saturday,W,away,SFG,3,2,28,8,4,3,1,0,2,0,3,3,5,0.286,0.344,0.464,0.808,13,2,0,1,1,0
2012-09-07,2012,9,Friday,L,away,SFG,2,5,33,6,5,0,0,1,2,1,0,7,9,0.182,0.325,0.273,0.598,9,0,0,0,0,0
2012-09-05,2012,9,Wednesday,L,home,SDP,3,4,36,10,10,0,0,0,3,0,0,2,5,0.278,0.333,0.278,0.611,10,1,1,0,0,1
2012-09-04,2012,9,Tuesday,L,home,SDP,3,6,38,10,6,3,0,1,3,1,0,3,6,0.263,0.31,0.421,0.731,16,0,0,3,1,0
2012-09-03,2012,9,Monday,W,home,SDP,4,3,42,11,9,0,0,2,4,0,0,1,13,0.262,0.279,0.405,0.684,17,0,0,1,0,0
2012-09-02,2012,9,Sunday,W,home,ARI,5,4,35,11,6,4,0,1,5,0,0,4,4,0.314,0.385,0.514,0.899,18,1,0,0,0,0
2012-09-01,2012,9,Saturday,W,home,ARI,2,1,29,6,4,0,0,2,2,1,0,2,8,0.207,0.258,0.414,0.672,12,0,0,0,0,0
2012-08-31,2012,8,Friday,L,home,ARI,3,4,38,6,6,0,0,0,3,1,0,5,12,0.158,0.273,0.158,0.431,6,1,1,0,0,0
2012-08-30,2012,8,Thursday,L,home,ARI,0,2,31,5,5,0,0,0,0,0,0,2,8,0.161,0.235,0.161,0.397,5,1,1,0,0,0
2012-08-29,2012,8,Wednesday,W,away,COL,10,8,39,12,9,1,0,2,10,0,0,3,8,0.308,0.357,0.487,0.844,19,0,0,1,0,0
2012-08-28,2012,8,Tuesday,L,away,COL,4,8,30,7,4,2,0,1,3,1,0,4,6,0.233,0.306,0.4,0.706,12,1,0,0,2,1
2012-08-27,2012,8,Monday,L,away,COL,0,10,30,4,1,2,1,0,0,1,0,3,8,0.133,0.235,0.267,0.502,8,1,1,0,0,0
2012-08-26,2012,8,Sunday,L,home,MIA,2,6,37,11,11,0,0,0,2,3,0,6,7,0.297,0.422,0.297,0.72,11,0,2,0,0,0
2012-08-25,2012,8,Saturday,W,home,MIA,8,2,37,16,9,4,0,3,8,0,0,3,8,0.432,0.475,0.784,1.259,29,1,0,1,0,0
2012-08-24,2012,8,Friday,W,home,MIA,11,4,34,13,9,1,0,3,8,0,0,3,10,0.382,0.432,0.676,1.109,23,2,0,1,0,1
2012-08-22,2012,8,Wednesday,L,home,SFG,4,8,37,12,7,5,0,0,4,0,0,1,8,0.324,0.342,0.459,0.802,17,1,0,1,0,0
2012-08-21,2012,8,Tuesday,L,home,SFG,1,4,29,6,5,1,0,0,1,0,0,1,6,0.207,0.226,0.241,0.467,7,2,0,0,1,0
2012-08-20,2012,8,Monday,L,home,SFG,1,2,31,5,4,0,0,1,1,2,2,0,11,0.161,0.188,0.258,0.446,8,0,1,0,0,0
2012-08-19,2012,8,Sunday,W,away,ATL,5,0,36,10,7,2,0,1,5,0,0,3,3,0.278,0.333,0.417,0.75,15,1,0,1,0,0
2012-08-18,2012,8,Saturday,W,away,ATL,6,2,31,4,0,0,0,4,6,1,0,3,3,0.129,0.206,0.516,0.722,16,0,0,0,0,0
2012-08-17,2012,8,Friday,L,away,ATL,3,4,38,9,4,4,0,1,3,0,1,4,7,0.237,0.31,0.421,0.731,16,1,0,2,0,1
2012-08-16,2012,8,Thursday,L,away,PIT,6,10,36,8,5,1,0,2,5,1,0,1,7,0.222,0.282,0.417,0.699,15,0,2,0,0,0
2012-08-15,2012,8,Wednesday,W,away,PIT,9,3,39,15,11,4,0,0,9,0,0,1,2,0.385,0.386,0.487,0.874,19,0,1,0,3,0
2012-08-14,2012,8,Tuesday,W,away,PIT,11,0,39,13,12,1,0,0,11,0,0,2,3,0.333,0.357,0.359,0.716,14,0,0,1,1,0
2012-08-13,2012,8,Monday,W,away,PIT,5,4,33,9,4,4,0,1,5,0,0,3,7,0.273,0.351,0.485,0.836,16,0,1,2,0,0
2012-08-12,2012,8,Sunday,W,away,MIA,5,0,38,12,9,3,0,0,5,0,0,1,7,0.316,0.325,0.395,0.72,15,0,0,0,1,0
2012-08-11,2012,8,Saturday,L,away,MIA,3,7,37,11,9,2,0,0,3,2,0,1,3,0.297,0.333,0.351,0.685,13,2,1,1,0,0
2012-08-10,2012,8,Friday,W,away,MIA,5,2,36,11,8,2,0,1,5,0,0,3,7,0.306,0.359,0.444,0.803,16,1,0,1,0,1
2012-08-08,2012,8,Wednesday,W,home,COL,6,4,31,9,8,0,0,1,6,1,0,4,3,0.29,0.389,0.387,0.776,12,1,1,1,0,0
2012-08-07,2012,8,Tuesday,L,home,COL,1,3,31,4,3,1,0,0,1,2,0,6,5,0.129,0.27,0.161,0.432,5,0,0,0,0,1
2012-08-06,2012,8,Monday,L,home,COL,0,2,31,5,5,0,0,0,0,0,0,4,10,0.161,0.297,0.161,0.459,5,1,2,0,0,0
2012-08-05,2012,8,Sunday,W,home,CHC,7,6,33,9,7,2,0,0,7,1,0,6,7,0.273,0.4,0.333,0.733,11,0,1,1,0,1
2012-08-04,2012,8,Saturday,W,home,CHC,3,1,31,8,6,1,0,1,3,0,0,2,3,0.258,0.303,0.387,0.69,12,1,0,0,0,1
2012-08-03,2012,8,Friday,W,home,CHC,6,1,33,10,5,3,0,2,6,1,0,0,5,0.303,0.303,0.576,0.879,19,1,0,0,0,0
2012-08-01,2012,8,Wednesday,L,home,ARI,0,4,29,2,2,0,0,0,0,0,0,2,8,0.069,0.156,0.069,0.225,2,1,1,0,0,0
2012-07-31,2012,7,Tuesday,L,home,ARI,2,8,32,5,3,1,0,1,2,0,0,1,8,0.156,0.182,0.281,0.463,9,0,0,0,0,0
2012-07-30,2012,7,Monday,L,home,ARI,2,7,32,8,6,2,0,0,2,2,0,3,7,0.25,0.314,0.313,0.627,10,2,0,1,0,0
2012-07-29,2012,7,Sunday,W,away,SFG,4,0,38,12,9,3,0,0,4,0,1,4,8,0.316,0.381,0.395,0.776,15,1,0,0,0,1
2012-07-28,2012,7,Saturday,W,away,SFG,10,0,38,13,5,6,0,2,10,0,1,2,6,0.342,0.366,0.658,1.024,25,1,0,0,1,0
2012-07-27,2012,7,Friday,W,away,SFG,5,3,40,12,7,4,0,1,5,1,0,2,4,0.3,0.333,0.475,0.808,19,1,0,1,0,1
2012-07-26,2012,7,Thursday,L,away,STL,4,7,33,8,8,0,0,0,3,2,0,2,11,0.242,0.278,0.242,0.52,8,1,0,0,1,0
2012-07-25,2012,7,Wednesday,L,away,STL,2,3,42,8,4,3,1,0,2,0,0,1,9,0.19,0.205,0.31,0.514,13,1,0,0,1,0
2012-07-24,2012,7,Tuesday,L,away,STL,2,8,33,7,5,2,0,0,2,0,0,1,8,0.212,0.257,0.273,0.53,9,3,1,0,0,0
2012-07-23,2012,7,Monday,W,away,STL,5,3,33,7,4,2,0,1,5,0,1,3,4,0.212,0.278,0.364,0.641,12,1,0,0,0,0
2012-07-22,2012,7,Sunday,W,away,NYM,8,3,48,14,12,1,0,1,8,0,0,4,5,0.292,0.346,0.375,0.721,18,1,0,2,0,2
2012-07-21,2012,7,Saturday,W,away,NYM,8,5,37,11,7,2,1,1,8,0,1,6,8,0.297,0.395,0.486,0.882,18,0,0,0,0,0
2012-07-20,2012,7,Friday,W,away,NYM,7,6,37,10,6,2,0,2,7,2,0,4,10,0.27,0.341,0.486,0.828,18,0,0,0,0,0
2012-07-18,2012,7,Wednesday,W,home,PHI,5,3,43,10,6,2,0,2,5,1,0,4,10,0.233,0.298,0.419,0.716,18,0,0,1,0,2
2012-07-17,2012,7,Tuesday,L,home,PHI,2,3,33,7,6,1,0,0,2,0,0,0,9,0.212,0.235,0.242,0.478,8,1,1,0,0,0
2012-07-16,2012,7,Monday,L,home,PHI,2,3,34,7,6,1,0,0,0,1,0,0,8,0.206,0.206,0.235,0.441,8,1,0,0,0,0
2012-07-15,2012,7,Sunday,L,home,SDP,2,7,34,7,5,2,0,0,2,1,0,3,6,0.206,0.27,0.265,0.535,9,1,0,0,0,2
2012-07-14,2012,7,Saturday,L,home,SDP,6,7,38,10,8,1,0,1,5,2,0,6,11,0.263,0.364,0.368,0.732,14,0,0,0,0,1
2012-07-13,2012,7,Friday,W,home,SDP,2,1,29,6,3,2,0,1,2,0,0,0,2,0.207,0.233,0.379,0.613,11,1,1,0,0,0
2012-07-08,2012,7,Sunday,L,away,ARI,1,7,31,5,3,2,0,0,1,0,0,3,8,0.161,0.229,0.226,0.454,7,0,0,0,1,0
2012-07-07,2012,7,Saturday,L,away,ARI,3,5,32,7,4,1,0,2,3,0,0,3,9,0.219,0.286,0.438,0.723,14,2,0,0,0,0
2012-07-06,2012,7,Friday,L,away,ARI,3,5,38,13,9,3,0,1,3,1,0,3,9,0.342,0.39,0.5,0.89,19,1,0,1,0,0
2012-07-05,2012,7,Thursday,W,away,ARI,4,1,34,9,5,2,0,2,4,0,0,4,6,0.265,0.342,0.5,0.842,17,2,0,0,0,0
2012-07-04,2012,7,Wednesday,W,home,CIN,4,1,28,6,4,2,0,0,3,2,1,3,6,0.214,0.303,0.286,0.589,8,0,1,0,1,1
2012-07-03,2012,7,Tuesday,W,home,CIN,3,1,30,7,6,1,0,0,2,1,0,1,8,0.233,0.258,0.267,0.525,8,0,0,1,0,0
2012-07-02,2012,7,Monday,L,home,CIN,2,8,30,6,5,0,0,1,2,0,0,1,9,0.2,0.219,0.3,0.519,9,0,0,1,1,0
2012-07-01,2012,7,Sunday,W,home,NYM,8,3,30,7,3,4,0,0,6,3,0,5,5,0.233,0.324,0.367,0.691,11,1,0,1,2,0
2012-06-30,2012,6,Saturday,L,home,NYM,0,5,29,3,3,0,0,0,0,1,0,2,3,0.103,0.161,0.103,0.265,3,1,0,0,0,0
2012-06-29,2012,6,Friday,L,home,NYM,0,9,30,4,3,1,0,0,0,0,0,1,10,0.133,0.188,0.167,0.354,5,1,1,0,0,0
2012-06-28,2012,6,Thursday,L,home,NYM,2,3,32,7,5,1,1,0,2,0,0,1,7,0.219,0.242,0.313,0.555,10,1,0,1,0,1
2012-06-27,2012,6,Wednesday,L,away,SFG,0,3,30,4,3,1,0,0,0,0,0,2,9,0.133,0.188,0.167,0.354,5,1,0,0,0,0
2012-06-26,2012,6,Tuesday,L,away,SFG,0,2,32,7,6,1,0,0,0,0,1,2,5,0.219,0.265,0.25,0.515,8,1,0,0,0,0
2012-06-25,2012,6,Monday,L,away,SFG,0,8,31,5,4,1,0,0,0,1,0,4,6,0.161,0.278,0.194,0.471,6,1,1,0,0,0
2012-06-24,2012,6,Sunday,L,away,LAA,3,5,32,10,7,3,0,0,3,1,1,3,8,0.313,0.361,0.406,0.767,13,2,0,1,1,0
2012-06-23,2012,6,Saturday,W,away,LAA,3,1,32,4,3,0,1,0,1,1,0,0,11,0.125,0.125,0.188,0.313,6,1,0,0,0,0
2012-06-22,2012,6,Friday,L,away,LAA,5,8,37,12,11,0,0,1,5,1,0,4,6,0.324,0.39,0.405,0.796,15,2,0,0,0,0
2012-06-21,2012,6,Thursday,L,away,OAK,1,4,28,3,1,2,0,0,1,0,1,1,7,0.107,0.138,0.179,0.317,5,0,0,0,0,0
2012-06-20,2012,6,Wednesday,L,away,OAK,1,4,31,3,2,1,0,0,1,0,0,1,2,0.097,0.125,0.129,0.254,4,0,0,0,0,0
2012-06-19,2012,6,Tuesday,L,away,OAK,0,3,29,2,2,0,0,0,0,0,0,3,7,0.069,0.156,0.069,0.225,2,1,0,0,0,0
2012-06-17,2012,6,Sunday,W,home,CHW,2,1,33,9,7,1,1,0,2,0,1,2,7,0.273,0.306,0.364,0.669,12,1,0,1,1,2
2012-06-16,2012,6,Saturday,L,home,CHW,4,5,33,9,9,0,0,0,4,1,1,4,9,0.273,0.342,0.273,0.615,9,1,0,0,1,0
2012-06-15,2012,6,Friday,W,home,CHW,7,6,33,10,7,3,0,0,6,1,0,5,9,0.303,0.395,0.394,0.789,13,0,0,1,0,0
2012-06-13,2012,6,Wednesday,L,home,LAA,1,2,30,5,4,1,0,0,1,0,0,7,5,0.167,0.324,0.2,0.524,6,2,0,0,0,0
2012-06-12,2012,6,Tuesday,W,home,LAA,5,2,29,6,5,0,0,1,5,3,1,3,7,0.207,0.281,0.31,0.592,9,1,0,0,0,0
2012-06-11,2012,6,Monday,L,home,LAA,2,3,29,6,4,2,0,0,1,2,0,7,7,0.207,0.378,0.276,0.654,8,2,1,0,0,0
2012-06-10,2012,6,Sunday,W,away,SEA,8,2,35,11,8,2,0,1,8,0,1,5,6,0.314,0.4,0.457,0.857,16,2,0,0,0,0
2012-06-09,2012,6,Saturday,W,away,SEA,8,3,37,14,11,2,0,1,8,4,1,2,5,0.378,0.4,0.514,0.914,19,3,0,0,1,1
2012-06-08,2012,6,Friday,L,away,SEA,0,1,26,0,0,0,0,0,0,0,0,3,9,0.0,0.103,0.0,0.103,0,1,0,1,0,0
2012-06-07,2012,6,Thursday,W,away,PHI,8,3,39,12,11,1,0,0,8,0,1,2,7,0.308,0.333,0.333,0.667,13,0,0,0,1,0
2012-06-06,2012,6,Wednesday,W,away,PHI,6,5,35,7,4,2,1,0,5,0,1,7,12,0.2,0.349,0.314,0.663,11,0,1,0,0,1
2012-06-05,2012,6,Tuesday,W,away,PHI,2,1,32,6,4,2,0,0,2,0,0,1,12,0.188,0.212,0.25,0.462,8,0,0,0,0,0
2012-06-04,2012,6,Monday,W,away,PHI,4,3,34,9,7,1,1,0,4,2,1,3,12,0.265,0.359,0.353,0.712,12,0,2,2,0,0
2012-06-03,2012,6,Sunday,L,away,COL,2,3,30,3,2,0,0,1,2,1,0,5,2,0.1,0.229,0.2,0.429,6,0,0,0,0,0
2012-06-02,2012,6,Saturday,W,away,COL,6,2,37,10,6,3,0,1,6,1,0,5,8,0.27,0.357,0.432,0.79,16,0,0,1,0,0
2012-06-01,2012,6,Friday,L,away,COL,3,13,34,10,5,4,1,0,3,3,0,4,9,0.294,0.359,0.471,0.83,16,2,0,0,1,0
2012-05-31,2012,5,Thursday,L,home,MIL,2,6,37,13,12,1,0,0,2,1,0,2,7,0.351,0.4,0.378,0.778,14,3,1,0,0,0
2012-05-30,2012,5,Wednesday,L,home,MIL,3,6,33,10,9,1,0,0,3,0,0,4,11,0.303,0.378,0.333,0.712,11,4,0,0,0,0
2012-05-29,2012,5,Tuesday,L,home,MIL,1,2,32,6,3,3,0,0,1,0,0,0,4,0.188,0.212,0.281,0.493,9,1,1,0,0,0
2012-05-28,2012,5,Monday,L,home,MIL,2,3,34,8,7,1,0,0,2,2,0,3,12,0.235,0.297,0.265,0.562,9,0,0,1,0,0
2012-05-27,2012,5,Sunday,W,home,HOU,5,1,34,12,10,1,0,1,5,4,0,5,11,0.353,0.436,0.471,0.906,16,2,0,2,0,1
2012-05-26,2012,5,Saturday,W,home,HOU,6,3,36,12,9,2,0,1,6,0,0,5,6,0.333,0.429,0.472,0.901,17,0,1,1,0,1
2012-05-25,2012,5,Friday,L,home,HOU,1,3,33,7,7,0,0,0,1,0,0,5,3,0.212,0.316,0.212,0.528,7,1,0,0,0,0
2012-05-23,2012,5,Wednesday,L,away,ARI,4,11,34,8,5,2,0,1,4,0,0,2,9,0.235,0.278,0.382,0.66,13,1,0,0,0,0
2012-05-22,2012,5,Tuesday,W,away,ARI,8,7,35,12,10,2,0,0,8,0,2,5,9,0.343,0.405,0.4,0.805,14,2,0,0,2,0
2012-05-21,2012,5,Monday,W,away,ARI,6,1,38,11,7,0,1,3,6,0,0,3,8,0.289,0.341,0.579,0.92,22,0,0,1,0,0
2012-05-20,2012,5,Sunday,W,home,STL,6,5,35,14,12,0,1,1,5,0,1,2,7,0.4,0.432,0.543,0.975,19,2,0,0,0,0
2012-05-19,2012,5,Saturday,W,home,STL,6,0,34,9,3,5,0,1,4,0,0,2,6,0.265,0.306,0.5,0.806,17,0,0,0,0,0
2012-05-18,2012,5,Friday,W,home,STL,6,5,36,13,9,3,1,0,6,0,0,6,8,0.361,0.452,0.5,0.952,18,1,0,1,0,1
2012-05-17,2012,5,Thursday,W,away,SDP,8,1,38,13,8,4,1,0,8,0,0,4,11,0.342,0.395,0.5,0.895,19,0,0,1,1,1
2012-05-16,2012,5,Wednesday,L,away,SDP,2,4,31,5,2,3,0,0,2,0,1,0,9,0.161,0.156,0.258,0.414,8,0,0,0,1,0
2012-05-15,2012,5,Tuesday,L,home,ARI,1,5,35,10,8,1,0,1,1,0,0,1,7,0.286,0.324,0.4,0.724,14,2,1,0,0,0
2012-05-14,2012,5,Monday,W,home,ARI,3,1,30,7,6,0,0,1,3,0,0,2,8,0.233,0.273,0.333,0.606,10,0,0,0,1,0
2012-05-13,2012,5,Sunday,W,home,COL,11,5,30,8,2,5,0,1,11,1,0,10,6,0.267,0.45,0.533,0.983,16,0,0,2,0,1
2012-05-12,2012,5,Saturday,W,home,COL,2,1,28,7,6,1,0,0,2,0,0,0,9,0.25,0.25,0.286,0.536,8,1,0,1,0,0
2012-05-11,2012,5,Friday,W,home,COL,7,3,33,11,6,2,0,3,7,0,0,3,10,0.333,0.389,0.667,1.056,22,0,0,1,0,1
2012-05-09,2012,5,Wednesday,W,home,SFG,6,2,35,13,8,3,2,0,6,0,0,3,9,0.371,0.421,0.571,0.992,20,1,0,1,0,0
2012-05-08,2012,5,Tuesday,L,home,SFG,1,2,30,8,6,2,0,0,1,0,0,3,1,0.267,0.333,0.333,0.667,10,4,0,1,0,2
2012-05-07,2012,5,Monday,W,home,SFG,9,1,37,13,9,4,0,0,7,0,1,5,3,0.351,0.429,0.459,0.888,17,0,0,1,0,1
2012-05-06,2012,5,Sunday,L,away,CHC,3,4,38,6,5,0,0,1,3,1,1,3,6,0.158,0.22,0.237,0.456,9,1,0,0,0,0
2012-05-05,2012,5,Saturday,W,away,CHC,5,1,31,6,3,3,0,0,5,1,0,4,4,0.194,0.27,0.29,0.561,9,0,0,1,2,1
2012-05-04,2012,5,Friday,L,away,CHC,4,5,31,6,2,1,2,1,4,2,0,2,5,0.194,0.278,0.452,0.729,14,1,2,0,1,0
2012-05-02,2012,5,Wednesday,L,away,COL,5,8,34,9,7,2,0,0,5,0,0,6,9,0.265,0.375,0.324,0.699,11,0,0,2,0,3
2012-05-01,2012,5,Tuesday,W,away,COL,7,6,38,14,9,2,0,3,7,1,1,5,6,0.368,0.442,0.658,1.1,25,2,0,0,0,0
2012-04-30,2012,4,Monday,L,away,COL,2,6,35,9,7,1,0,1,2,0,0,4,9,0.257,0.333,0.371,0.705,13,1,0,0,0,0
2012-04-29,2012,4,Sunday,W,home,WSN,2,0,26,3,2,1,0,0,2,0,0,6,8,0.115,0.281,0.154,0.435,4,0,0,1,0,0
2012-04-28,2012,4,Saturday,W,home,WSN,4,3,36,9,7,1,0,1,3,1,0,1,13,0.25,0.308,0.361,0.669,13,2,2,0,0,0
2012-04-27,2012,4,Friday,W,home,WSN,3,2,29,7,5,1,0,1,3,0,0,4,5,0.241,0.333,0.379,0.713,11,0,0,1,0,0
2012-04-25,2012,4,Wednesday,L,home,ATL,2,4,34,7,5,1,0,1,2,2,0,2,12,0.206,0.25,0.324,0.574,11,0,0,1,0,0
2012-04-24,2012,4,Tuesday,L,home,ATL,3,4,34,10,9,0,0,1,2,0,0,2,5,0.294,0.333,0.382,0.716,13,1,0,0,0,0
2012-04-23,2012,4,Monday,W,home,ATL,7,2,29,15,14,1,0,0,7,1,2,2,1,0.517,0.531,0.552,1.083,16,2,0,3,1,1
2012-04-22,2012,4,Sunday,L,away,HOU,0,12,31,6,5,1,0,0,0,1,0,3,7,0.194,0.265,0.226,0.491,7,2,0,0,0,0
2012-04-21,2012,4,Saturday,W,away,HOU,5,1,31,8,4,2,0,2,5,0,1,5,7,0.258,0.361,0.516,0.877,16,3,0,0,0,0
2012-04-20,2012,4,Friday,W,away,HOU,3,1,33,9,6,2,0,1,3,0,0,4,5,0.273,0.351,0.424,0.776,14,1,0,1,0,0
2012-04-19,2012,4,Thursday,W,away,MIL,4,3,33,9,5,2,1,1,4,0,2,4,4,0.273,0.359,0.485,0.844,16,0,1,0,1,0
2012-04-18,2012,4,Wednesday,L,away,MIL,2,3,32,6,4,1,1,0,2,1,1,3,8,0.188,0.257,0.281,0.538,9,1,0,1,0,0
2012-04-17,2012,4,Tuesday,L,away,MIL,4,5,34,9,3,5,0,1,3,0,1,1,9,0.265,0.286,0.5,0.786,17,0,0,0,0,1
2012-04-15,2012,4,Sunday,W,home,SDP,5,4,33,11,8,2,0,1,5,2,1,9,7,0.333,0.477,0.485,0.962,16,1,1,2,1,2
2012-04-14,2012,4,Saturday,W,home,SDP,6,1,29,8,4,1,0,3,6,0,0,3,2,0.276,0.353,0.621,0.974,18,1,1,1,1,0
2012-04-13,2012,4,Friday,W,home,SDP,9,8,30,6,3,2,0,1,9,1,1,10,6,0.2,0.4,0.367,0.767,11,1,0,1,0,0
2012-04-12,2012,4,Thursday,W,home,PIT,3,2,30,8,7,1,0,0,3,0,0,1,4,0.267,0.303,0.3,0.603,9,0,1,1,1,0
2012-04-11,2012,4,Wednesday,W,home,PIT,4,1,36,12,10,2,0,0,4,1,0,2,6,0.333,0.368,0.389,0.757,14,0,0,0,0,1
2012-04-10,2012,4,Tuesday,W,home,PIT,2,1,29,7,6,0,0,1,2,1,0,2,7,0.241,0.29,0.345,0.635,10,1,0,1,0,0
2012-04-08,2012,4,Sunday,L,away,SDP,4,8,33,4,2,0,0,2,4,0,0,1,5,0.121,0.147,0.303,0.45,10,1,0,0,0,0
2012-04-07,2012,4,Saturday,W,away,SDP,6,5,39,9,4,4,0,1,6,3,0,6,7,0.231,0.326,0.41,0.736,16,1,0,1,1,1
2012-04-06,2012,4,Friday,W,away,SDP,6,0,34,10,7,2,1,0,6,1,1,3,9,0.294,0.351,0.412,0.763,14,1,0,1,0,0
2012-04-05,2012,4,Thursday,W,away,SDP,5,3,33,7,4,2,0,1,5,0,1,5,10,0.212,0.333,0.364,0.697,12,0,1,0,0,0
