season,team,gp,w,l,wl%,bat#,pa,ab,r,h,1b,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops+,tb,gidp,hbp,sh,sf,ibb,lob,r/gm,decade,series_win,hr/gm,h/gm,bb/gm,sb/gm
2002,Los Angeles Dodgers,162,92,70,0.568,41,6146,5554,713,1464,994,286,29,155,693.0,96.0,37.0,428,940.0,0.264,0.32,0.409,0.729,98,2273,140.0,53,67.0,44.0,50.0,1087.0,4.4,2000s,No win,0.96,9.04,2.64,0.59
2001,Los Angeles Dodgers,162,86,76,0.531,41,6169,5493,758,1399,902,264,27,206,714.0,89.0,42.0,519,1062.0,0.255,0.323,0.425,0.748,99,2335,115.0,56,57.0,44.0,45.0,1075.0,4.7,2000s,No win,1.27,8.64,3.2,0.55
2000,Los Angeles Dodgers,162,86,76,0.531,46,6312,5481,798,1408,904,265,28,211,756.0,95.0,42.0,668,1083.0,0.257,0.341,0.431,0.771,99,2362,129.0,51,66.0,46.0,42.0,1188.0,4.9,2000s,No win,1.3,8.69,4.12,0.59
1999,Los Angeles Dodgers,162,77,85,0.475,43,6338,5567,793,1480,1017,253,23,187,761.0,167.0,68.0,594,1030.0,0.266,0.339,0.42,0.76,96,2340,109.0,52,74.0,51.0,34.0,1173.0,4.9,1990s,No win,1.15,9.14,3.67,1.03
1998,Los Angeles Dodgers,162,83,79,0.512,53,6077,5459,669,1374,979,209,27,159,630.0,137.0,53.0,447,1056.0,0.252,0.31,0.387,0.698,87,2114,98.0,36,91.0,43.0,31.0,1069.0,4.1,1990s,No win,0.98,8.48,2.76,0.85
1997,Los Angeles Dodgers,162,88,74,0.543,44,6216,5544,742,1488,1039,242,33,174,706.0,131.0,64.0,498,1079.0,0.268,0.33,0.418,0.748,101,2318,109.0,33,105.0,36.0,46.0,1120.0,4.6,1990s,No win,1.07,9.19,3.07,0.81
1996,Los Angeles Dodgers,162,90,72,0.556,40,6185,5538,703,1396,998,215,33,150,661.0,124.0,40.0,516,1190.0,0.252,0.316,0.384,0.701,90,2127,112.0,22,74.0,35.0,59.0,1113.0,4.3,1990s,No win,0.93,8.62,3.19,0.77
1995,Los Angeles Dodgers,144,78,66,0.542,49,5544,4942,634,1303,941,191,31,140,593.0,127.0,45.0,468,1023.0,0.264,0.329,0.4,0.729,99,1976,99.0,30,68.0,35.0,46.0,1049.0,4.4,1990s,No win,0.97,9.05,3.25,0.88
1994,Los Angeles Dodgers,114,58,56,0.509,35,4371,3904,532,1055,751,160,29,115,505.0,74.0,37.0,366,687.0,0.27,0.333,0.414,0.748,99,1618,89.0,19,51.0,31.0,33.0,789.0,4.7,1990s,No win,1.01,9.25,3.21,0.65
1993,Los Angeles Dodgers,162,81,81,0.5,35,6261,5588,675,1458,1066,234,28,130,639.0,126.0,61.0,492,937.0,0.261,0.321,0.383,0.704,93,2138,105.0,27,107.0,47.0,48.0,1162.0,4.2,1990s,No win,0.8,9.0,3.04,0.78
1992,Los Angeles Dodgers,162,63,99,0.389,36,6038,5368,548,1333,1026,201,34,72,499.0,142.0,78.0,503,899.0,0.248,0.313,0.339,0.652,86,1818,111.0,24,102.0,40.0,36.0,1138.0,3.4,1990s,No win,0.44,8.23,3.1,0.88
1991,Los Angeles Dodgers,162,93,69,0.574,39,6159,5408,665,1366,1038,191,29,108,605.0,126.0,68.0,583,957.0,0.253,0.326,0.359,0.685,95,1939,109.0,28,94.0,46.0,50.0,1151.0,4.1,1990s,No win,0.67,8.43,3.6,0.78
1990,Los Angeles Dodgers,162,86,76,0.531,46,6179,5491,728,1436,1058,222,27,129,669.0,141.0,65.0,538,952.0,0.262,0.328,0.382,0.711,98,2099,110.0,31,71.0,48.0,78.0,1132.0,4.5,1990s,No win,0.8,8.86,3.32,0.87
1989,Los Angeles Dodgers,160,77,83,0.481,40,6124,5465,554,1313,966,241,17,89,513.0,81.0,54.0,507,885.0,0.24,0.306,0.339,0.645,86,1855,98.0,27,83.0,41.0,77.0,1171.0,3.5,1980s,No win,0.56,8.21,3.17,0.51
1988,Los Angeles Dodgers,162,94,67,0.584,38,6045,5431,628,1346,1005,217,25,99,587.0,131.0,46.0,437,947.0,0.248,0.305,0.352,0.657,90,1910,118.0,32,95.0,50.0,65.0,1075.0,3.9,1980s,World Series win,0.61,8.31,2.7,0.81
1987,Los Angeles Dodgers,162,73,89,0.451,48,6114,5517,635,1389,1005,236,23,125,594.0,128.0,59.0,445,923.0,0.252,0.309,0.371,0.68,81,2046,126.0,31,82.0,39.0,70.0,1094.0,3.9,1980s,No win,0.77,8.57,2.75,0.79
1986,Los Angeles Dodgers,162,73,89,0.451,38,6101,5471,638,1373,997,232,14,130,599.0,155.0,67.0,478,966.0,0.251,0.313,0.37,0.683,94,2023,109.0,32,81.0,39.0,58.0,1083.0,3.9,1980s,No win,0.8,8.48,2.95,0.96
1985,Los Angeles Dodgers,162,95,67,0.586,41,6224,5502,682,1434,1051,226,28,129,632.0,136.0,58.0,539,846.0,0.261,0.328,0.382,0.71,102,2103,108.0,31,104.0,46.0,69.0,1187.0,4.2,1980s,No win,0.8,8.85,3.33,0.84
1984,Los Angeles Dodgers,162,79,83,0.488,38,6042,5399,580,1316,978,213,23,102,530.0,109.0,69.0,488,829.0,0.244,0.306,0.348,0.654,86,1881,120.0,14,92.0,48.0,56.0,1075.0,3.6,1980s,No win,0.63,8.12,3.01,0.67
1983,Los Angeles Dodgers,163,91,71,0.562,40,6130,5440,654,1358,981,197,34,146,613.0,166.0,76.0,541,925.0,0.25,0.318,0.379,0.697,94,2061,112.0,22,86.0,40.0,61.0,1104.0,4.0,1980s,No win,0.9,8.33,3.32,1.02
1982,Los Angeles Dodgers,162,88,74,0.543,39,6361,5642,691,1487,1095,222,32,138,661.0,151.0,56.0,528,804.0,0.264,0.327,0.388,0.715,102,2187,98.0,30,106.0,55.0,83.0,1223.0,4.3,1980s,No win,0.85,9.18,3.26,0.93
1981,Los Angeles Dodgers,110,63,47,0.573,37,4189,3751,450,984,749,133,20,82,427.0,73.0,46.0,331,550.0,0.262,0.323,0.374,0.697,101,1403,83.0,17,62.0,27.0,38.0,776.0,4.1,1980s,World Series win,0.75,8.95,3.01,0.66
1980,Los Angeles Dodgers,163,92,71,0.564,35,6221,5568,663,1462,1081,209,24,148,638.0,123.0,72.0,492,846.0,0.263,0.323,0.388,0.711,99,2163,108.0,24,96.0,41.0,52.0,1173.0,4.1,1980s,No win,0.91,8.97,3.02,0.75
1979,Los Angeles Dodgers,162,79,83,0.488,35,6188,5490,739,1443,1016,220,24,183,713.0,106.0,46.0,556,834.0,0.263,0.331,0.412,0.743,103,2260,145.0,23,83.0,36.0,62.0,1111.0,4.6,1970s,No win,1.13,8.91,3.43,0.65
1978,Los Angeles Dodgers,162,95,67,0.586,38,6225,5437,727,1435,1008,251,27,149,686.0,137.0,52.0,610,818.0,0.264,0.338,0.402,0.74,108,2187,101.0,20,111.0,47.0,76.0,1214.0,4.5,1970s,No win,0.92,8.86,3.77,0.85
1977,Los Angeles Dodgers,162,98,64,0.605,37,6328,5589,769,1484,1042,223,28,191,729.0,114.0,62.0,588,896.0,0.266,0.336,0.418,0.753,102,2336,103.0,23,83.0,44.0,67.0,1183.0,4.7,1970s,No win,1.18,9.16,3.63,0.7
1976,Los Angeles Dodgers,162,92,70,0.568,37,6125,5472,608,1371,1046,200,34,91,561.0,144.0,55.0,486,744.0,0.251,0.313,0.349,0.662,90,1912,129.0,29,91.0,47.0,71.0,1138.0,3.8,1970s,No win,0.56,8.46,3.0,0.89
1975,Los Angeles Dodgers,162,88,74,0.543,37,6246,5453,648,1355,989,217,31,118,606.0,138.0,52.0,611,825.0,0.248,0.325,0.365,0.69,96,1988,123.0,31,104.0,47.0,72.0,1208.0,4.0,1970s,No win,0.73,8.36,3.77,0.85
1974,Los Angeles Dodgers,162,102,60,0.63,35,6332,5557,798,1511,1107,231,34,139,744.0,149.0,75.0,597,820.0,0.272,0.342,0.401,0.743,112,2227,117.0,28,86.0,64.0,95.0,1192.0,4.9,1970s,No win,0.86,9.33,3.69,0.92
1973,Los Angeles Dodgers,162,95,66,0.59,33,6267,5604,675,1473,1115,219,29,110,623.0,109.0,50.0,497,795.0,0.263,0.323,0.371,0.694,96,2080,123.0,28,81.0,57.0,92.0,1163.0,4.2,1970s,No win,0.68,9.09,3.07,0.67
1972,Los Angeles Dodgers,155,85,70,0.548,36,5904,5270,584,1349,1034,178,39,98,543.0,82.0,39.0,480,786.0,0.256,0.319,0.36,0.679,95,1899,121.0,24,89.0,40.0,53.0,1124.0,3.8,1970s,No win,0.63,8.7,3.1,0.53
1971,Los Angeles Dodgers,162,89,73,0.549,34,6156,5523,663,1469,1123,213,38,95,631.0,76.0,40.0,489,755.0,0.266,0.325,0.37,0.695,102,2043,140.0,21,72.0,50.0,62.0,1165.0,4.1,1970s,No win,0.59,9.07,3.02,0.47
1970,Los Angeles Dodgers,161,87,74,0.54,37,6293,5606,749,1515,1128,233,67,87,695.0,138.0,57.0,541,841.0,0.27,0.334,0.382,0.717,96,2143,113.0,24,72.0,50.0,67.0,1185.0,4.7,1970s,No win,0.54,9.41,3.36,0.86
1969,Los Angeles Dodgers,162,85,77,0.525,38,6167,5532,645,1405,1071,185,52,97,584.0,80.0,51.0,484,823.0,0.254,0.315,0.359,0.673,95,1985,110.0,21,96.0,33.0,63.0,1160.0,4.0,1960s,No win,0.6,8.67,2.99,0.49
1968,Los Angeles Dodgers,162,76,86,0.469,35,5935,5354,470,1234,929,202,36,67,434.0,57.0,43.0,439,980.0,0.23,0.289,0.319,0.608,90,1709,89.0,18,79.0,45.0,61.0,1093.0,2.9,1960s,No win,0.41,7.62,2.71,0.35
1967,Los Angeles Dodgers,162,73,89,0.451,34,6110,5456,519,1285,962,203,38,82,465.0,56.0,47.0,485,881.0,0.236,0.301,0.332,0.633,89,1810,133.0,43,91.0,35.0,75.0,1142.0,3.2,1960s,No win,0.51,7.93,2.99,0.35
1966,Los Angeles Dodgers,162,95,67,0.586,35,6067,5471,606,1399,1063,201,27,108,565.0,94.0,64.0,430,830.0,0.256,0.314,0.362,0.675,95,1978,117.0,49,84.0,32.0,54.0,1116.0,3.7,1960s,No win,0.67,8.64,2.65,0.58
1965,Los Angeles Dodgers,162,97,65,0.599,33,6108,5425,608,1329,1026,193,32,78,548.0,172.0,77.0,492,891.0,0.245,0.312,0.335,0.647,89,1820,79.0,52,103.0,35.0,57.0,1118.0,3.8,1960s,World Series win,0.48,8.2,3.04,1.06
1964,Los Angeles Dodgers,164,80,82,0.494,33,6121,5499,614,1375,1077,180,39,79,555.0,141.0,60.0,438,893.0,0.25,0.305,0.34,0.645,88,1870,105.0,19,120.0,44.0,55.0,1062.0,3.7,1960s,No win,0.48,8.38,2.67,0.86
1963,Los Angeles Dodgers,163,99,63,0.611,35,6045,5428,640,1361,1039,178,34,110,584.0,124.0,70.0,453,867.0,0.251,0.309,0.357,0.666,99,1937,121.0,26,85.0,53.0,47.0,1034.0,3.9,1960s,World Series win,0.67,8.35,2.78,0.76
1962,Los Angeles Dodgers,165,102,63,0.618,30,6363,5628,842,1510,1113,192,65,140,781.0,198.0,43.0,572,886.0,0.268,0.337,0.4,0.737,103,2252,126.0,32,83.0,47.0,65.0,1104.0,5.1,1960s,No win,0.85,9.15,3.47,1.2
1961,Los Angeles Dodgers,154,89,65,0.578,34,5940,5189,735,1358,968,193,40,157,673.0,86.0,45.0,596,796.0,0.262,0.338,0.405,0.743,91,2102,117.0,23,96.0,36.0,53.0,1095.0,4.8,1960s,No win,1.02,8.82,3.87,0.56
1960,Los Angeles Dodgers,154,82,72,0.532,37,5936,5227,662,1333,953,216,38,126,606.0,95.0,53.0,529,837.0,0.255,0.324,0.383,0.707,89,2003,108.0,27,102.0,50.0,46.0,1095.0,4.3,1960s,No win,0.82,8.66,3.44,0.62
1959,Los Angeles Dodgers,156,88,68,0.564,38,6034,5282,705,1360,970,196,46,148,667.0,84.0,51.0,591,891.0,0.257,0.334,0.396,0.73,89,2092,115.0,28,100.0,32.0,61.0,1122.0,4.5,1950s,World Series win,0.95,8.72,3.79,0.54
1958,Los Angeles Dodgers,154,71,83,0.461,43,5804,5173,668,1297,909,166,50,172,627.0,73.0,47.0,495,850.0,0.251,0.317,0.402,0.719,86,2079,132.0,25,68.0,43.0,22.0,1014.0,4.3,1950s,No win,1.12,8.42,3.21,0.47
