name,author_url,bio,twitter,instagram,tiktok,sort,is_suggested
El Presidente,/bio/54/el-presidente,"Founder/Chief of Content. Host of The Rundown, Pizza Reviews, The Dave Portnoy Show, BFFs. Founder of DDTG Global. 2x bee sting survivor, US Open champ. I invented the Internet. Brick by brick. ",stoolpresidente,stoolpresidente,stoolpresidente,68,True
Big Cat,/bio/45/big-cat,"Host of Pardon My Take, Yak, and The Rundown. Football guy’s guy. I only bet overs. Hold record for most stingrays pet at the Shedd Aquarium. ",BarstoolBigCat,barstoolbigcat,,67,True
KFC,/bio/44/kfc,"Host of KFC Radio, We Gotta Believe, One Minute Man. Hater of the Year and OG blogger since 2009. Tortured Mets, Jets and Knicks fan. ",KFCBarstool,kfcbarstool,kfcbarstool,66,True
Kmarko,/bio/47/kmarko,Journalism school dropout. Launched Barstool NY in '09 and Barstool U in '11. Spelling Bee champ. Barstool Idol host.  Invented the email newsletter. Will never fix a typo on Barstool Sports.,Kmarkobarstool,kmarkobarstool,,65,True
Feitelberg,/bio/40/feitelberg,I blog and tell my life exploits on KFC Radio. Been to jail for Tom Brady. Mistaken for everyone from ISIS leaders to fish. Creator of the SAFTB movement.,FeitsBarstool,feitelberg,,64,True
Nate,/bio/46/nate,Very good blogger. All world poker player. Head of Barstool DMV. Tambo for O.A.R. Stanley Cup champion.,BarstoolNate,barstoolnate,,63,True
Smitty,/bio/11404/smitty,"Blogger and host of Gametime. Head of Barstool Philly. RnR2 champ. Super Bowl 52 champ. Former pasta pusher, and mush at standup/poker/life.",SmittyBarstool,smittybarstool,smittybarstool1v1,62,False
Chaps,/bio/57564/chaps,Host of Zero Blog Thirty and co-host of The Podfathers. Marine and Purple Heart recipient. Never seen a gourd I didn't like. I’ve had diarrhea since Easter 2007. ,UncleChaps,unclechaps,,61,True
Liz Gonzales,/bio/63356/liz-gonzales,"Yankee, Packer, and Longhorn fan. Texan. Our resident Mexican. Bring back Blockbuster.",thelizgonzales,thelizgonzales,,60,True
Kayce Smith,/bio/63376/kayce-smith,"Host of the Barstool College Football Show with Pres, Big Cat and Brandon Walker. Host of the Pro Football Football Show. Host of Unnecessary Roughness. Sports blogger. Cancer survivor. Aggie. Clear eyes, full heart, can't lose.",KayceSmith,kayce_smith,,59,True
Trent,/bio/50/trent,Blogger and co-host of Fore Play. Iowan. Paige Spiranac likes to hit golf balls out of my ass. Howard Stern once called me a cunthead. Tweeted by Justin 4.7.14,BarstoolTrent,barstooltrent,,58,True
Ria,/bio/62311/ria,"We are the Chicks In The Office! Experts in all things pop culture, giving you the hottest news in Hollywood daily. Followed by Justin Bieber and blocked by Kris Jenner. ",barstoolria,mariaciuffo,chicksintheoffice,57,True
hubbs,/bio/32267/hubbs,Editor. MLB/Yankees blogger. The only person who cares about tennis in America. ,BarstoolHubbs,eric_hubbs,,56,True
Kate,/bio/63379/kate,"Co-host of Zero Blog Thirty. USMC enthusiast and Afghanistan vet. When I die, bury me under a Wawa. ",katebarstool,katebarstool,katebarstoolsports,55,True
Carl,/bio/14658/carl,Cubs blogger. Mike Matheny hater. I broke the Yu Darvish signing two months early #ScoopCity,BARSTOOLCARL,barstoolcarl,,51,False
Caleb Pressley,/bio/34534/caleb-pressley,Giving you facts on the @thinker Instagram. Asking people the hard-hitting questions on the streets. Was a UNC QB/Supervisor of Morale. ,calebpressley,calebpressley,calebpressley,50,False
Clem,/bio/10177/clem,Host of The Podfathers podcast with Chaps and blogger. Visited Kristaps Porzingis’ hometown in Latvia. He used to follow me on Twitter. Now he doesn’t. ,TheClemReport,theclemreport,theclemreport,49,False
Coley Mick,/bio/39858/coley-mick,E.I.C. Section 10. ,Coleymick,coleymick,,48,False
Devlin,/bio/63335/devlin,"First-ever intern in 2010. Milton Tough. Survived 150,000 miles on the Blackout Tour... Rough N' Rowdy promoter, VIVA beat writer, Gametime social network creator, voice behind our daily @BarstoolSports IG Story.",devlincage,devlincage,,47,False
The Wonton Don,/bio/62720/the-wonton-don,I'm The Wonton Don. Woke up in Shanghai in 2012 and never looked back. My Donnie Does videos document my adventures in China and any other countries I end up in,donniedoesworld,thewontondon,,46,False
Fran,/bio/63429/fran,"One half of Chicks in the Office. Obsessed with all things pop culture, Disney, and reality TV. Just a jersey girl who loves Philly sports. ",BarstoolFran,francescamariano,,44,False
Frank The Tank,/bio/63331/frank-the-tank,Blogger and Vlogger. Creator of sportsencyclopedia.com. Devils fan. The Mets make me miserable. The New Jersey Transit is INCOMPETENT!,NjTank99,,,43,False
Pat,/bio/63334/pat,"Zamboni driver turned blogger. Host of Out & About, RnR 4 champion.",barstoolpat,barstoolpat,,42,False
Glenny Balls,/bio/61920/glenny-balls,Host of Boozin’ Burgers. I’m deceptively fast. Wearer of jerseys and Hawaiian shirts. Love to bet overs. Once upon a time Guy Fieri told me I chug like a pussy.,glenny_balls,glennyballs,,41,False
Greenie,/bio/14607/greenie,"Celtics and NBA blogger. Proud Sun Devil. I once lost a game of knock out to Walter McCarty, and it was the best day of my life.",StoolGreenie,,,40,False
Handsome Hank,/bio/39/handsome-hank,Pardon My Take producer. Invented the car stick. RnR1 champ. Dave’s former right hand man. Leading the war on viral tweets. Member of The Brady 4. Milton tough.,hen_ease,henrylockwood1,,39,False
Jack Mac,/bio/63337/jack-mac,College football/gambling blogger and social media intern. 67-49 ATS during the 2017 CFB season. Fordham 2019. ,JackMacCFB,jackmaccfb,jackmacbarstool,34,False
Jeff D Lowe,/bio/63387/jeff-d-lowe,"Movie boy and co-host of Lights, Camera, Barstool. Two-time Emmy Award Winner. ",JeffDLowe,jeffdlowe,,33,False
Jerry Thornton,/bio/62114/jerry-thornton,"Patriots/NFL writer. From Barstool, to WEEI, to back on the pirate ship. Staunch defender of Tom Brady, Bill Belichick, and all things Patriots. ",jerrythornton1,jerrythornton1,,32,False
