Name,CandidateCommittee,Office,Party,Income,Expense,CashBalance,IEFor,IEAgainst,...10,id
"Abdo, Jeremy (100994)",Abdo for Arizona State House LD3,State Representative - District 3,Republican,0,0,0,0,0,NA,100994
"Abdussamad, Shams (100894)",Shams For AZ (Clean Elections),State Representative - District 27,Democratic,190,17.26,172.74,0,0,NA,100894
"Abeytia, Anna Lynn(100883)",Abeytia for AZ (Clean Elections),State Representative - District 24,Democratic,0,0,0,0,0,NA,100883
"Abraham, Morgan (100677)",Morgan Abraham for Arizona,State Senator - District No. 18,Democratic,0,0,100182.88,0,0,NA,100677
"Abraham, Morgan (100677)",Morgan Abraham for Arizona,State Representative - District 10,Democratic,103480,3297.12,100182.88,0,0,NA,100677
"Aguilar, Cesar (100986)",Cesar Aguilar for State Representative - District 26 (Clean Elections),State Representative - District 26,Democratic,0,0,0,0,0,NA,100986
"Alger, David M(101037)",David Alger for State Representative - District 8,State Representative - District 8,NA,0,0,0,0,0,NA,101037
"Alger, David Michael(100015)",Vote David Alger for House 2020,State Representative - District 24,Republican,1174.8,0,1060,0,5.22,NA,100015
"Algozzini, George (202000080)",George for Arizona,State Representative - District 20,Other,0,0,0,0,0,NA,202000080
"Allen, Sylvia Tenney (201800077)",Senate Committee to Elect Sylvia Allen,State Senator - District No. 6,Republican,89119.78,134242.31,0,107283.94,135698.83,NA,201800077
"Allmond, Dana (100568)",Dana Allmond for State Representative - District 11,State Representative - District 11,Other,42773.15,24852.63,17920.52,0,0,NA,100568
"Alonzo, Jesse L(100849)",Jesse Alonzo for State Senator - District No. 9,State Senator - District No. 9,Democratic,0,0,0,0,0,NA,100849
"Alston, Lela (100516)",2022 Lela Alston for State Senator LD 24,State Senator - District No. 24,Democratic,0,0,0,0,0,NA,100516
"Alston, Lela (202000060)",Lela Alston AZ Senate 2022,State Senator - District No. 5,Democratic,0,0,53744.57,0,0,NA,202000060
