name,city,team,sports_league,lng,lat,state_name,state_abbr
Angel Stadium,Anaheim,Los Angeles Angels,MLB,-117.882713318097,33.8003082275895,,
Chase Field,Phoeniz,Arizona Diamondbacks,MLB,-112.066802978529,33.4452705379753,,
Citizens Bank Park,Philadelphia,Philadelphia Phillies,MLB,-75.1664733890932,39.9061813357695,,
Comerica Park,Detroit,Detroit Tigers,MLB,-83.0488281254213,42.3392791745254,,
Coors Field,Denver,Colorado Rockies,MLB,-104.994140625428,39.756351470836,,
Dodger Stadium,Los Angeles,Los Angeles Dodgers,MLB,-118.239952087486,34.0738792418214,,
Fenway Park,Boston,Boston Red Sox,MLB,-71.0977096553359,42.3462219236935,,
Great American Ballpark,Cincinnati,Cincinnati Reds,MLB,-84.5064620971876,39.0972099307475,,
Progressive Field,Cleveland,Cleveland Indians,MLB,-81.6852951051178,41.4957885739293,,
Kauffman Stadium,Kansas City,Kansas City Royals,MLB,-94.4804306034026,39.0516395566833,,
Miller Park,Milwaukee,Milwaukee Brewers,MLB,-87.9711837766665,43.0281181337818,,
Minute Maid Park,Houston,Houston Astros,MLB,-95.3555374144902,29.7571792603003,,
Busch Stadium,St. Louis,St. Louis Cardinals,MLB,-90.1930618281869,38.6225814820497,,
Oriole Park at Camden Yards,Baltimore,Baltimore Orioles,MLB,-76.6215591431307,39.2839508055659,,
Oracle Park,San Francisco,San Francisco Giants,MLB,-122.389694213578,37.7784004208903,,
Petco Park,San Diego,San Diego Padres,MLB,-117.157043457192,32.7075691226914,,
PNC Park,Pittsburgh,Pittsburgh Pirates,MLB,-80.0061569212474,40.4470481871433,,
T-Mobile Park,Seattle,Seattle Mariners,MLB,-122.33235168484,47.591468811031,,
Citi Field,Flushing,New York Mets,MLB,-73.8458862308838,40.7570419310606,,
Global Life Park in Arlington,Arlington,Texas Rangers,MLB,-97.0825500483966,32.7512283325695,,
Tropicana Field,St. Petersburg,Tampa Bay Rays,MLB,-82.6534576419026,27.7681255342831,,
Guaranteed Rate Field,Chicago,Chicago White Sox,MLB,-87.6336517332458,41.8298492429133,,
Wrigley Field,Chicago,Chicago Cubs,MLB,-87.6556472776249,41.9480590822225,,
Yankee Stadium,Bronx,New York Yankees,MLB,-73.9262390139972,40.8296318054932,,
Nationals Park,Washington,Washington Nationals,MLB,-77.0074005128129,38.8730506899125,,
Target Field,Minneapolis,Minnesota Twins,MLB,-93.2777709959434,44.9817504884415,,
Rogers Centre,Toronto,Toronto Blue Jays,MLB,-79.3894195555735,43.6414222718758,,
Marlins Park,Miami,Miami Marlins,MLB,-80.2195281981975,25.778089523319,,
Oakland–Alameda County Coliseum,Oakland,Oakland Athletics,MLB,-122.200622558201,37.7516098021078,,
SunTrust Park,Cumberland,Atlanta Braves,MLB,-84.4676055908456,33.8906097413675,,
State Farm Stadium,Glendale,Arizona Cardinals,NFL,-112.18627000003,33.5386100000199,,
Mercedes-Benz Stadium,Atlanta,Atlanta Falcons,NFL,-84.3911100001874,33.7483100000036,,
M&T Bank Stadium,Baltimore,Baltimore Ravens,NFL,-76.6092599995553,39.2905800002388,,
New Era Field,Orchard Park,Buffalo Bills,NFL,-78.74388000012,42.7671799999031,,
Bank of America Stadium,Charlotte,Carolina Panthers,NFL,-80.8379600002963,35.2228599996504,,
Soldier Field,Chicago,Chicago Bears,NFL,-87.6324500002964,41.8842500001071,,
Paul Brown Stadium,Cincinnati,Cincinnati Bengals,NFL,-84.4568900001481,39.1619999998582,,
FirstEnergy Stadium,Cleveland,Cleveland Browns,NFL,-81.6907399997691,41.5047300002011,,
AT&T Stadium,Arlington,Dallas Cowboys,NFL,-97.1077200000378,32.735599999636,,
Broncos Stadium at Mile High,Denver,Denver Broncos,NFL,-104.992020000385,39.7400100002571,,
Ford Field,Detroit,Detroit Lions,NFL,-83.0480000000019,42.3316799998756,,
Lambeau Field,Green Bay,Green Bay Packers,NFL,-88.0100099999019,44.5129999996809,,
NRG Stadium,Houston,Houston Texans,NFL,-95.3696799998433,29.7605799999114,,
Lucas Oil Stadium,Indianapolis,Indianapolis Colts,NFL,-86.1499600003514,39.7669100002681,,
TIAA Bank Field,Jacksonville,Jacksonville Jaguars,NFL,-81.6562199999684,30.3314700002035,,
Arrowhead Stadium,Kansas City,Kansas City Chiefs,NFL,-94.5831099996031,39.1034499998896,,
StubHub Center,Carson,Los Angeles Chargers,NFL,-118.262089999566,33.8316100000724,,
Los Angeles Memorial Coliseum,Los Angeles,Los Angeles Rams,NFL,-118.245320000111,34.0534899996378,,
Hard Rock Stadium,Miami Gardens,Miami Dolphins,NFL,-80.2232400001206,25.9274899998337,,
U.S. Bank Stadium,Minneapolis,Minnesota Vikings,NFL,-93.2649400003125,44.9790200002452,,
Gillette Stadium,Foxborough,New England Patriots,NFL,-71.2483899996356,42.0658699999554,,
Mercedes-Benz Superdome,New Orleans,New Orleans Saints,NFL,-90.0777499999659,29.9536999996267,,
MetLife Stadium,East Rutherford,New York Giants,NFL,-74.0983499998045,40.8345499998369,,
MetLife Stadium,East Rutherford,New York Jets,NFL,-74.0983499998045,40.8345499998369,,
Oakland–Alameda County Coliseum,Oakland,Oakland Raiders,NFL,-122.273069999728,37.8050800001946,,
Lincoln Financial Field,Philadelphia,Philadelphia Eagles,NFL,-75.1621799998889,39.9522199998612,,
Heinz Field,Pittsburgh,Pittsburgh Steelers,NFL,-79.9973399998529,40.4385100000188,,
Levi's Stadium,Santa Clara,San Francisco 49ers,NFL,-121.95508999957,37.3557900000856,,
CenturyLink Field,Seattle,Seattle Seahawks,NFL,-122.329449999809,47.6035699998996,,
Raymond James Stadium,Tampa,Tampa Bay Buccaneers,NFL,-82.4592700001342,27.946530000082,,
Nissan Stadium,Nashville,Tennessee Titans,NFL,-86.7781600002046,36.1678399996402,,
FedExField,Landover,Washington Redskins,NFL,-76.8966399998772,38.9340000000727,,
Gillette Stadium,FOXBORO,New England Revolution,MLS,-71.2643571621454,42.0909159218699,,
Nissan Stadium,NASHVILLE,Nashville SC,MLS,-86.7712800001746,36.1664499997283,,
Soldier Field,CHICAGO,Chicago Fire FC,MLS,-87.6166985915583,41.8623572991893,,
Lumen Field,SEATTLE,Seattle Sounders,MLS,-122.331561861787,47.5951704876995,,
Children's Mercy Park,KANSAS CITY,Sporting Kansas City,MLS,-94.8232988462235,39.1216122289302,,
Red Bull Arena,HARRISON,New York Red Bulls,MLS,-74.1502694431905,40.7369146810539,,
Dick's Sporting Goods Park,COMMERCE CITY,Colorado Rapids,MLS,-104.891844174745,39.8056436441819,,
Mapfre Stadium,COLUMBUS,Columbus Crew SC,MLS,-82.9910499712619,40.0095500059179,,
Toyota Stadium,FRISCO,FC Dallas,MLS,-96.83522179075,33.1543322187474,,
Dignity Health Sports Park,CARSON,LA Galaxy,MLS,-118.26111257235,33.8642867120558,,
Rio Tinto Stadium,SANDY,Real Salt Lake,MLS,-111.89332712931,40.5829121690818,,
Subaru Park,CHESTER,Philadelphia Union,MLS,-75.3785152348813,39.8327791730697,,
BMO Field,TORONTO,Toronto FC,MLS,-79.4185931538074,43.6331825091788,,
Paypal Park,SAN JOSE,San Jose Earthquakes,MLS,-121.924857000155,37.3511579999509,,
Providence Park,PORTLAND,Portland Timbers,MLS,-122.691804045022,45.5215604807908,,
BC Place,VANCOUVER,Vancouver Whitecaps FC,MLS,-123.112021277123,49.2766372329708,,
Yankee Stadium,BRONX,New York City FC,MLS,-73.9262400003474,40.8296300001659,,
Saputo Stadium,MONTREAL,CF Montreal,MLS,-73.5526534109402,45.5630930510364,,
BBVA Compass Stadium,HOUSTON,Houston Dynamo FC,MLS,-95.3520600000928,29.7523249999229,,
Mercedes-Benz Stadium,ATLANTA,Atlanta United FC,MLS,-84.4011784517408,33.7556685049479,,
Exploria Stadium,ORLANDO,Orlando City SC,MLS,-81.3890716372865,28.5411051712488,,
Allianz Field,SAINT PAUL,Minnesota United FC,MLS,-93.1651810001512,44.9526890001338,,
Banc of California Stadium,LOS ANGELES,Los Angeles FC,MLS,-118.28407894582,34.0127834460613,,
Audi Field,WASHINGTON,DC United,MLS,-77.0129175179269,38.8685411787956,,
Drive Pink Stadium,FORT LAUDERDALE,Inter Miami CF,MLS,-80.1610598854733,26.1931469382443,,
TQL Stadium,CINCINNATI,FC Cincinnati,MLS,-84.5227844409843,39.1108254419721,,
Q2 Stadium,AUSTIN,Austin FC,MLS,-97.7193578894569,30.3880263870207,,
American Airlines Arena,Miami,Miami Heat,NBA,-80.1875799629449,25.7811699534307,,
ARCO Arena,Sacramento,Sacramento Kings,NBA,-121.518689968767,38.6493199265734,,
EnergySolutions Arena,Salt Lake City,Utah Jazz,NBA,-111.901025101427,40.7682055288621,,
Fed Ex Forum,Memphis,Memphis Gizzlies,NBA,-90.0512999329455,35.1381000771569,,
Quicken Loans Arena,Cleveland,Cleveland Cavaliers,NBA,-81.6886999531403,41.4964799364999,,
Oracle Arena,Oakland,Golden State Warriors,NBA,-122.20217000774,37.7513099239139,,
New Orleans Arena,New Orleans,New Orleans Hornets,NBA,-90.0820300028823,29.9488900014724,,
Rose Garden,Portland,Portland Trailblazers,NBA,-122.666920079098,45.5316500682961,,
