flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
549792090,10610099,N221LA,AS50,N221LA,,,,,
549636420,11058416,N662PD,AS50,N662PD,,,LAX,LAX,
549625498,11358115,N957LA,AS50,,,,LGB,LGB,
549767719,11057465,N661PD,AS50,N661PD,,,,,
549786700,10656249,N267LA,AS50,N267LA,,,,,
549636527,11057465,N661PD,AS50,N661PD,,,VNY,VNY,
549623294,10610099,N221LA,AS50,N221LA,,,SMO,SMO,
549819664,11353317,N952JH,AS32,N952JH,,YLY,YXX,YXX,
549769167,10656249,N267LA,AS50,N267LA,,,,,
549764241,11353317,N952JH,AS32,N952JH,,YLY,YXX,YXX,
549734918,11061269,N665PD,AS50,N665PD,,VNY,,,
549623825,11351614,N950SG,AS32,L950SG,,,,,
549624997,11355262,N954LA,AS50,N954LA,,PMD,,,
549635230,11358115,N957LA,AS50,,,CPM,,,
549762759,10656249,N267LA,AS50,N267LA,,,BUR,BUR,
549786449,11061269,N665PD,AS50,N665PD,,,,,
549779701,10695270,N305FD,A139,N305FD,,VNY,VNY,VNY,
549762666,11061269,N665PD,AS50,N665PD,,,BUR,BUR,
549743722,11353317,N952JH,AS32,N952JH,,YLY,YLY,YLY,
549804191,10695270,N305FD,A139,N305FD,,VNY,VNY,VNY,
549750589,11353317,N952JH,AS32,N952JH,,YLY,,,
549790521,10865027,N472LA,AS50,N472LA,,,VNY,VNY,
549807697,11353317,N952JH,AS32,N952JH,,YLY,YLY,YLY,
549809050,11314118,N913WB,AS50,N913WB,,FUL,,,
549799747,11363471,N962LA,AS50,N962LA,,LGB,LGB,LGB,
549814302,11057465,N661PD,AS50,N661PD,,,BUR,BUR,
549788448,11058416,N662PD,AS50,N662PD,,VNY,VNY,VNY,
549658679,10527058,N14LA,B412,N14LA,,POC,POC,POC,
549691973,11058416,N662PD,AS50,N662PD,,,,,
549744387,11100597,N703WP,AS50,N703WP,,WHP,,,
549819149,11355262,N954LA,AS50,N954LA,,VNY,,,
549761650,11351614,N950SG,AS32,L950SG,,,,,
549652639,10610099,N221LA,AS50,N221LA,,,,,
549814445,11058416,N662PD,AS50,N662PD,,,,,
549742462,10610099,N221LA,AS50,N221LA,,,WHP,WHP,
549729652,11351614,N950SG,AS32,L950SG,,LGB,,,
549775395,11353317,N952JH,AS32,N952JH,,YXX,BLI,BLI,
549670924,11058416,N662PD,AS50,N662PD,,,,,
549774927,11058416,N662PD,AS50,N662PD,,,,,
549766012,11060318,N664PD,B06,N664PD,,,,,
549664046,10610099,N221LA,AS50,N221LA,,VNY,BUR,BUR,
549698199,11057465,N661PD,AS50,N661PD,,,,,
549814176,11355262,N954LA,AS50,N954LA,,BUR,BUR,BUR,
