flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
577449197,10616756,N228LA,AS50,N228LA,,,,,
577591259,10497326,N110LA,B412,N110LA,,,SMO,SMO,
577579198,11061269,N665PD,AS50,N665PD,,LGB,,,
577448986,11360017,N959LA,AS50,N959LA,,,,,
577461342,11057465,N661PD,AS50,N661PD,,,,,
577444322,11058416,N662PD,AS50,N662PD,,,EMT,EMT,
577603570,10497326,N110LA,B412,N110LA,,,SMO,SMO,
577613926,11363471,N962LA,AS50,N962LA,,BUR,VNY,VNY,
577428120,11057465,N661PD,AS50,N661PD,,,LAX,LAX,
577437691,10696221,N306FD,B06,N306FD,,WHP,,,
577423093,11314118,N913WB,AS50,N913WB,,VNY,VNY,VNY,
577612951,11352409,N951LA,AS50,N951LA,,CPM,,,
577596683,11352409,N951LA,AS50,N951LA,,LGB,,,
577562149,10497326,N110LA,B412,N110LA,,WHP,WHP,WHP,
577575178,11356213,N955LA,AS50,N955LA,,POC,LGB,LGB,
577599066,11057465,N661PD,AS50,N661PD,,,BUR,BUR,
577423662,11352409,N951LA,AS50,N951LA,,LGB,CPM,CPM,
577594780,11353317,N952JH,AS32,N952JH,,,EMT,EMT,
577453928,11363471,N962LA,AS50,N962LA,,EMT,EMT,EMT,
577547298,11356213,N955LA,AS50,N955LA,,CPM,POC,POC,
577538880,11061269,N665PD,AS50,N665PD,,,TOA,TOA,
577592664,10616756,N228LA,AS50,N228LA,,,HHR,HHR,
577479133,11058416,N662PD,AS50,N662PD,,,,,
577609217,11353317,N952JH,AS32,N952JH,,EMT,,,
577479198,11061269,N665PD,AS50,N665PD,,,,,
577615458,10497326,N110LA,B412,N110LA,,,,,
577345386,10696221,N306FD,B06,N306FD,,VNY,TOA,TOA,
577492078,11058416,N662PD,AS50,N662PD,,,WHP,WHP,
577544023,11353317,N952JH,AS32,N952JH,,LGB,,,
577433740,11356213,N955LA,AS50,N955LA,,POC,POC,POC,
577571275,11352409,N951LA,AS50,N951LA,,EMT,LGB,LGB,
577572961,11364575,N963SD,AS50,N963SD,,LGB,,,
577406717,11363471,N962LA,AS50,N962LA,,,,,
577444387,11061269,N665PD,AS50,N665PD,,,,,
577624746,11360017,N959LA,AS50,N959LA,,EMT,,,
577592418,11058416,N662PD,AS50,N662PD,,VNY,,,
577539109,11057465,N661PD,AS50,N661PD,,,BUR,BUR,
577429433,11353317,N952JH,AS32,N952JH,,EMT,SNA,SNA,
577621216,10601970,N213PF,AS50,N213PF,,,CPM,CPM,
577438916,11352409,N951LA,AS50,N951LA,,,LGB,LGB,
577514414,10601970,N213PF,AS50,N213PF,,,SMO,SMO,
577461145,11314118,N913WB,AS50,N913WB,,,VNY,VNY,
577467160,11356213,N955LA,AS50,N955LA,,POC,HHR,HHR,
577628768,11058416,N662PD,AS50,N662PD,,,,,
577439865,11363471,N962LA,AS50,N962LA,,,VNY,VNY,
577618060,11363471,N962LA,AS50,N962LA,,WHP,WJF,WJF,
577454130,11352409,N951LA,AS50,N951LA,,LGB,EMT,EMT,
577532790,11356213,N955LA,AS50,N955LA,,POC,,,
577548528,11314118,N913WB,AS50,N913WB,,,BUR,BUR,
577410448,11360017,N959LA,AS50,N959LA,,EMT,SMO,SMO,
577573333,11058416,N662PD,AS50,N662PD,,,,,
577573508,11351458,N950LA,AS50,N950LA,,LGB,EMT,EMT,
577603901,10578214,N190LA,H60,N190LA,,WHP,,,
577546617,11352409,N951LA,AS50,N951LA,,LGB,EMT,EMT,
577434732,11352409,N951LA,AS50,N951LA,,CPM,EMT,EMT,
577591067,10578214,N190LA,H60,N190LA,,WHP,,,
577424186,10527058,N14LA,B412,N14LA,,,OXR,OXR,
577564743,11353317,N952JH,AS32,N952JH,,,WHP,WHP,
577569268,10610099,N221LA,AS50,N221LA,,,POC,POC,
577557366,10601970,N213PF,AS50,N213PF,,,SMO,SMO,
577586184,11356213,N955LA,AS50,N955LA,,CPM,BUR,BUR,
577560207,11352409,N951LA,AS50,N951LA,,,,,
577587871,11061269,N665PD,AS50,N665PD,,LGB,,,
