flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
537236748,10694319,N304FD,A139,FIRE4,,VNY,,,
537235059,10612001,N223LA,AS50,POLICE,,VNY,EMT,EMT,
537188315,11351614,N950SG,AS32,N950SG,,,POC,POC,
537127178,10610099,N221LA,AS50,N221LA,,,WHP,WHP,
537212793,11064122,N668PD,AS50,N668PD,,,,,
537165413,11351458,N950LA,AS50,N950LA,,LGB,,,
537185170,10656249,N267LA,AS50,N267LA,,,SMO,SMO,
537076636,11355262,N954LA,AS50,N954LA,,,,,
537213679,10601970,N213PF,AS50,N213PF,,VNY,,,
537203773,11314118,N913WB,AS50,N913WB,,LAX,,,
537197106,10610099,N221LA,AS50,N221LA,,,WHP,WHP,
537249652,11352409,N951LA,AS50,N951LA,,,CCB,CCB,
537069842,11359066,N958LA,AS50,N958LA,,CPM,,,
537263485,11358115,N957LA,AS50,,,WHP,,,
537231692,11057465,N661PD,AS50,N661PD,,,SZP,SZP,
537219629,11101548,N704WP,AS50,N704WP,,WHP,,,
537195537,11351614,N950SG,AS32,N950SG,,EMT,,,
537216048,11351458,N950LA,AS50,,,POC,,,
537248214,10656249,N267LA,AS50,N267LA,,,CPM,CPM,
537090909,10656249,N267LA,AS50,N267LA,,,SMO,SMO,
537125872,11352409,N951LA,AS50,N951LA,,,,,
537098665,11359066,N958LA,AS50,N958LA,,LGB,BUR,BUR,
537119956,10656249,N267LA,AS50,N267LA,,CPM,CPM,CPM,
537197942,11057465,N661PD,AS50,N661PD,,,EMT,EMT,
537259025,11359066,N958LA,AS50,N958LA,,LGB,,,
537078643,10656249,N267LA,AS50,N267LA,,,HHR,HHR,
537094763,10610099,N221LA,AS50,N221LA,,,LAX,LAX,
537239085,11351458,N950LA,AS50,N950LA,,,,,
537232982,10656249,N267LA,AS50,N267LA,,,,,
537085332,11352409,N951LA,AS50,,,LGB,POC,POC,
537079024,10865027,N472LA,,N472LA,,,BUR,BUR,
537256190,10610099,N221LA,AS50,N221LA,,,,,
537110851,10865027,N472LA,,N472LA,,,SMO,SMO,
537178102,11351458,N950LA,AS50,N950LA,,,,,
537089732,11352409,N951LA,AS50,N951LA,,EMT,POC,POC,
537256419,10865027,N472LA,,N472LA,,,CPM,CPM,
537220470,11060318,N664PD,B06,N664PD,,LGB,,,
537079196,11359066,N958LA,AS50,N958LA,,,CPM,CPM,
537110991,10656249,N267LA,AS50,N267LA,,,BUR,BUR,
537204237,10656249,N267LA,AS50,N267LA,,TOA,,,
537213531,11060318,N664PD,B06,N664PD,,,LGB,LGB,
537069993,11351614,N950SG,AS32,N950SG,,,,,
537263458,11351614,N950SG,AS32,N950SG,,,,,
537215161,10656249,N267LA,AS50,N267LA,,,,,
537116913,11352409,N951LA,AS50,N951LA,,POC,LGB,LGB,
537235206,11352409,N951LA,AS50,N951LA,,EMT,EMT,EMT,
537212087,10865027,N472LA,,N472LA,,,,,
537186303,11352409,N951LA,AS50,N951LA,,CPM,,,
537180764,11351614,N950SG,AS32,N950SG,,LGB,,,
