flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
532058076,11356213,N955LA,AS50,N955LA,,LGB,,,
531976689,10656249,N267LA,AS50,N267LA,,,,,
531978685,11360017,N959LA,AS50,N959LA,,,POC,POC,
531957644,10865027,N472LA,,N472LA,,,VNY,VNY,
531957185,11057465,N661PD,AS50,N661PD,,,CPM,CPM,
531976341,10601970,N213PF,AS50,N213PF,,,,,
531962462,11358115,N957LA,AS50,,,CCB,,,
532089059,11352410,N951LB,AS32,,,LGB,,,
531970355,11360017,N959LA,AS50,N959LA,,LGB,,,
531987273,11357164,N956LA,AS50,N956LA,,CPM,,,
531981058,11357164,N956LA,AS50,N956LA,,LGB,,,
531966080,11352410,N951LB,AS32,,,CPM,,,
