flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
574489337,11359066,N958LA,AS50,N958LA,,BUR,LGB,LGB,
574359916,10656249,N267LA,AS50,N267LA,,,SMO,SMO,
574448945,10865027,N472LA,AS50,N472LA,,,WHP,WHP,
574326421,11061269,N665PD,AS50,N665PD,,,SMO,SMO,
574499718,10578214,N190LA,H60,N190LA,,WHP,,,
574326261,10656249,N267LA,AS50,N267LA,,,,,
574491751,11355262,N954LA,AS50,N954LA,,EMT,,,
574524687,11352409,N951LA,AS50,N951LA,,LGB,,,
574488465,11061269,N665PD,AS50,N665PD,,VNY,SMO,SMO,
574514039,11355262,N954LA,AS50,N954LA,,LAX,TOA,TOA,
574528531,10578214,N190LA,H60,N190LA,,WHP,WJF,WJF,
574520377,10616756,N228LA,AS50,N228LA,,,EMT,EMT,
574354745,11352409,N951LA,AS50,N951LA,,CPM,LAX,LAX,
574431334,10497326,N110LA,B412,N110LA,,POC,BUR,BUR,
574342695,10865027,N472LA,AS50,N472LA,,,LAX,LAX,
574502646,10612001,N223LA,AS50,POLICE,,VNY,EMT,EMT,
574375125,10696221,N306FD,B06,N306FD,,VNY,VNY,VNY,
574354911,11361569,N960LA,AS50,N960LA,,WHP,,,
574483689,11351614,N950SG,AS32,L950SG,,LGB,,,
574473611,10617707,N229LA,AS50,N229LA,,,,,
574523322,10617707,N229LA,AS50,N229LA,,,LAX,LAX,
574359781,11061269,N665PD,AS50,N665PD,,,,,
574354114,10497326,N110LA,B412,N110LA,,,POC,POC,
574469655,11351614,N950SG,AS32,N950SG,,LGB,,,
574526540,11358115,N957LA,AS50,N957LA,,OXR,LGB,LGB,
574358741,10865027,N472LA,AS50,N472LA,,,SMO,SMO,
574350782,11314118,N913WB,AS50,N913WB,,VNY,,,
574471701,10696221,N306FD,B06,N306FD,,VNY,,,
574458185,11314118,N913WB,AS50,N913WB,,,VNY,VNY,
574329815,10527058,N14LA,B412,N14LA,,VNY,BUR,BUR,
574424971,11352409,N951LA,AS50,N951LA,,LGB,,,
574347000,10497326,N110LA,B412,N110LA,,POC,EMT,EMT,
574311353,11352409,N951LA,AS50,N951LA,,POC,,,
574499459,11314118,N913WB,AS50,N913WB,,,BUR,BUR,
574337129,11061269,N665PD,AS50,N665PD,,VNY,LGB,LGB,
574473424,11061269,N665PD,AS50,N665PD,,,SMO,SMO,
574491360,10612001,N223LA,AS50,POLICE,,VNY,EMT,EMT,
574502914,11351458,N950LA,AS50,N950LA,,FUL,,,
574464399,10617707,N229LA,AS50,N229LA,,VNY,,,
574527253,11359066,N958LA,AS50,N958LA,,WHP,,,
574440284,11101548,N704WP,AS50,N704WP,,WHP,IYK,IYK,
574378295,11360017,N959LA,AS50,N959LA,,CPM,,,
574328521,11353317,N952JH,AS32,N952JH,,PMD,,,
574372076,11061269,N665PD,AS50,N665PD,,VNY,HHR,HHR,
574523060,11061269,N665PD,AS50,N665PD,,,,,
574472563,10578214,N190LA,H60,N190LA,,WHP,WHP,WHP,
574521189,11359066,N958LA,AS50,N958LA,,LGB,PMD,PMD,
574457027,10578214,N190LA,H60,N190LA,,VNY,,,
574495162,11057465,N661PD,AS50,N661PD,,VNY,,,
574436420,11352409,N951LA,AS50,N951LA,,EMT,,,
574463023,10497326,N110LA,B412,N110LA,,WHP,POC,POC,
574346958,11352409,N951LA,AS50,N951LA,,LGB,,,
574339545,10497326,N110LA,B412,N110LA,,POC,,,
574505902,11351458,N950LA,AS50,N950LA,,HHR,,,
574334901,10497326,N110LA,B412,N110LA,,CCB,,,
574529802,10691466,N301FD,A139,FIRE1,,VNY,VNY,VNY,
574532545,11355262,N954LA,AS50,N954LA,,LGB,TOA,TOA,
574313194,11353317,N952JH,AS32,N952JH,,PMD,,,
574455308,11351458,N950LA,AS50,N950LA,,CPM,,,
574511517,11351614,N950SG,AS32,L950SG,,,,,
574332001,10497326,N110LA,B412,N110LA,,POC,CCB,CCB,
574475997,11352409,N951LA,AS50,N951LA,,POC,,,
574488176,10617707,N229LA,AS50,N229LA,,,LAX,LAX,
574455014,11101548,N704WP,AS50,N704WP,,IYK,IYK,IYK,
574325137,11352409,N951LA,AS50,N951LA,,,,,
574465085,11351458,N950LA,AS50,,,CPM,,,
574456935,11358115,N957LA,AS50,N957LA,,LGB,,,
574460011,10656249,N267LA,AS50,N267LA,,,CNO,CNO,
574324948,10527058,N14LA,B412,N14LA,,WHP,PMD,PMD,
574462695,11351458,N950LA,AS50,N950LA,,CPM,,,
574474594,11351614,N950SG,AS32,L950SG,,LGB,,,
574377442,11314118,N913WB,AS50,N913WB,,,SMO,SMO,
574480962,11355262,N954LA,AS50,N954LA,,LGB,,,
574498823,10865027,N472LA,AS50,N472LA,,,SMO,SMO,
574475981,10612001,N223LA,AS50,POLICE,,VNY,EMT,EMT,
574335631,10691466,N301FD,A139,FIRE1,,VNY,,,
574342846,10610099,N221LA,AS50,N221LA,,,BUR,BUR,
574387419,11314118,N913WB,AS50,N913WB,,VNY,LAX,LAX,
574490261,11101548,N704WP,AS50,N704WP,,,,,
574316202,10610099,N221LA,AS50,N221LA,,VNY,,,
574453810,10578214,N190LA,H60,N190LA,,WHP,WHP,WHP,
