NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,combined statistical area
"Greenville-Spartanburg-Anderson, SC CSA",1442020.0,,-555555555.0,*****,273
"Greenville-Washington, NC CSA",224615.0,,-555555555.0,*****,274
"Harrisburg-York-Lebanon, PA CSA",1252583.0,,-555555555.0,*****,276
"Harrisonburg-Staunton-Waynesboro, VA CSA",253914.0,,-555555555.0,*****,277
"Hartford-West Hartford, CT CSA",1478248.0,,-555555555.0,*****,278
"Hickory-Lenoir, NC CSA",410448.0,,-555555555.0,*****,280
"Hot Springs-Malvern, AR CSA",131816.0,,-555555555.0,*****,284
"Houston-The Woodlands, TX CSA",6978302.0,,-555555555.0,*****,288
"Huntsville-Decatur-Albertville, AL CSA",769250.0,,-555555555.0,*****,290
"Idaho Falls-Rexburg-Blackfoot, ID CSA",240189.0,,-555555555.0,*****,292
"Indianapolis-Carmel-Muncie, IN CSA",2389982.0,,-555555555.0,*****,294
"Ithaca-Cortland, NY CSA",151085.0,,-555555555.0,*****,296
"Jackson-Brownsville, TN CSA",147110.0,,-555555555.0,*****,297
"Jackson-Vicksburg-Brookhaven, MS CSA",670907.0,,-555555555.0,*****,298
"Jacksonville-St. Marys-Palatka, FL-GA CSA",1600866.0,,-555555555.0,*****,300
"Johnson City-Kingsport-Bristol, TN-VA CSA",507620.0,,-555555555.0,*****,304
"Johnstown-Somerset, PA CSA",209499.0,,-555555555.0,*****,306
"Jonesboro-Paragould, AR CSA",174378.0,,-555555555.0,*****,308
"Joplin-Miami, MO-OK CSA",209006.0,,-555555555.0,*****,309
"Kalamazoo-Battle Creek-Portage, MI CSA",532215.0,,-555555555.0,*****,310
"Kansas City-Overland Park-Kansas City, MO-KS CSA",2448345.0,,-555555555.0,*****,312
"Knoxville-Morristown-Sevierville, TN CSA",1117109.0,,-555555555.0,*****,314
"Kokomo-Peru, IN CSA",118288.0,,-555555555.0,*****,316
"Lafayette-Opelousas-Morgan City, LA CSA",624152.0,,-555555555.0,*****,318
"Lafayette-West Lafayette-Frankfort, IN CSA",250256.0,,-555555555.0,*****,320
"Lake Charles-Jennings, LA CSA",238517.0,,-555555555.0,*****,324
"Lansing-East Lansing-Owosso, MI CSA",545108.0,,-555555555.0,*****,330
"Las Vegas-Henderson, NV-AZ CSA",2391343.0,,-555555555.0,*****,332
"Lexington-Fayette--Richmond--Frankfort, KY CSA",732255.0,,-555555555.0,*****,336
"Lima-Van Wert-Celina, OH CSA",218513.0,,-555555555.0,*****,338
"Lincoln-Beatrice, NE CSA",348816.0,,-555555555.0,*****,339
"Little Rock-North Little Rock, AR CSA",905651.0,,-555555555.0,*****,340
"Longview-Marshall, TX CSA",284503.0,,-555555555.0,*****,346
"Los Angeles-Long Beach, CA CSA",18629045.0,,-555555555.0,*****,348
"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN CSA",1513472.0,,-555555555.0,*****,350
"Lubbock-Levelland, TX CSA",336285.0,,-555555555.0,*****,352
"Macon-Bibb County--Warner Robins, GA CSA",419619.0,,-555555555.0,*****,356
"Madison-Janesville-Beloit, WI CSA",872646.0,,-555555555.0,*****,357
"Manhattan-Junction City, KS CSA",133736.0,,-555555555.0,*****,358
"Mankato-New Ulm-North Mankato, MN CSA",125316.0,,-555555555.0,*****,359
"Mansfield-Ashland-Bucyrus, OH CSA",216822.0,,-555555555.0,*****,360
"Martin-Union City, TN-KY CSA",70356.0,,-555555555.0,*****,362
"Mayag�ez-San Germ�n, PR CSA",220923.0,,-555555555.0,*****,364
"McAllen-Edinburg, TX CSA",913283.0,,-555555555.0,*****,365
"Midland-Odessa, TX CSA",328150.0,,-555555555.0,*****,372
"Medford-Grants Pass, OR CSA",299748.0,,-555555555.0,*****,366
"Memphis-Forrest City, TN-MS-AR CSA",1372285.0,,-555555555.0,*****,368
"Miami-Fort Lauderdale-Port St. Lucie, FL CSA",6725672.0,,-555555555.0,*****,370
"Milwaukee-Racine-Waukesha, WI CSA",2046746.0,,-555555555.0,*****,376
"Minneapolis-St. Paul, MN-WI CSA",3901933.0,,-555555555.0,*****,378
"Mobile-Daphne-Fairhope, AL CSA",622766.0,,-555555555.0,*****,380
"Modesto-Merced, CA CSA",808376.0,,-555555555.0,*****,382
"Monroe-Ruston-Bastrop, LA CSA",251898.0,,-555555555.0,*****,384
"Morgantown-Fairmont, WV CSA",195586.0,,-555555555.0,*****,390
"Moses Lake-Othello, WA CSA",114312.0,,-555555555.0,*****,393
"Mount Pleasant-Alma, MI CSA",111842.0,,-555555555.0,*****,394
"Myrtle Beach-Conway, SC-NC CSA",509380.0,,-555555555.0,*****,396
"Nashville-Davidson--Murfreesboro, TN CSA",1986902.0,,-555555555.0,*****,400
"New Bern-Morehead City, NC CSA",194439.0,,-555555555.0,*****,404
"New Orleans-Metairie-Hammond, LA-MS CSA",1495745.0,,-555555555.0,*****,406
"New York-Newark, NY-NJ-CT-PA CSA",23527576.0,,-555555555.0,*****,408
"North Port-Sarasota, FL CSA",999350.0,,-555555555.0,*****,412
"Oklahoma City-Shawnee, OK CSA",1441759.0,,-555555555.0,*****,416
"Parkersburg-Marietta-Vienna, WV-OH CSA",152024.0,,-555555555.0,*****,425
"Pensacola-Ferry Pass, FL-AL CSA",519292.0,,-555555555.0,*****,426
"Peoria-Canton, IL CSA",409844.0,,-555555555.0,*****,427
"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",7176556.0,,-555555555.0,*****,428
"Omaha-Council Bluffs-Fremont, NE-IA CSA",959574.0,,-555555555.0,*****,420
"Orlando-Deltona-Daytona Beach, FL CSA",3206033.0,,-555555555.0,*****,422
"Oskaloosa-Pella, IA CSA",55415.0,,-555555555.0,*****,423
"Paducah-Mayfield, KY-IL CSA",134361.0,,-555555555.0,*****,424
"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",2632416.0,,-555555555.0,*****,430
