NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,metropolitan statistical area/micropolitan statistical area
"Aberdeen, SD Micro Area",42780.0,,-555555555.0,*****,10100
"Aberdeen, WA Micro Area",71967.0,,-555555555.0,*****,10140
"Abilene, TX Metro Area",170009.0,,-555555555.0,*****,10180
"Ada, OK Micro Area",38358.0,,-555555555.0,*****,10220
"Adjuntas, PR Micro Area",18181.0,,-555555555.0,*****,10260
"Adrian, MI Micro Area",98474.0,,-555555555.0,*****,10300
"Aguadilla-Isabela, PR Metro Area",307555.0,,-555555555.0,*****,10380
"Akron, OH Metro Area",704454.0,,-555555555.0,*****,10420
"Alamogordo, NM Micro Area",65745.0,,-555555555.0,*****,10460
"Albany, GA Metro Area",153101.0,,-555555555.0,*****,10500
"Albany, OR Metro Area",122870.0,,-555555555.0,*****,10540
"Albany-Schenectady-Troy, NY Metro Area",880481.0,,-555555555.0,*****,10580
"Albemarle, NC Micro Area",61114.0,,-555555555.0,*****,10620
"Albert Lea, MN Micro Area",30526.0,,-555555555.0,*****,10660
"Albertville, AL Micro Area",95145.0,,-555555555.0,*****,10700
"Albuquerque, NM Metro Area",910012.0,,-555555555.0,*****,10740
"Alexander City, AL Micro Area",40636.0,,-555555555.0,*****,10760
"Alexandria, LA Metro Area",153894.0,,-555555555.0,*****,10780
"Alexandria, MN Micro Area",37203.0,,-555555555.0,*****,10820
"Alice, TX Micro Area",41192.0,,-555555555.0,*****,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",834615.0,,-555555555.0,*****,10900
"Alma, MI Micro Area",41067.0,,-555555555.0,*****,10940
"Alpena, MI Micro Area",28612.0,,-555555555.0,*****,10980
"Altoona, PA Metro Area",123842.0,,-555555555.0,*****,11020
"Altus, OK Micro Area",25384.0,,-555555555.0,*****,11060
"Americus, GA Micro Area",35563.0,,-555555555.0,*****,11140
"Ames, IA Metro Area",96922.0,,-555555555.0,*****,11180
"Amsterdam, NY Micro Area",49426.0,,-555555555.0,*****,11220
"Anchorage, AK Metro Area",399576.0,,-555555555.0,*****,11260
"Andrews, TX Micro Area",17818.0,,-555555555.0,*****,11380
"Angola, IN Micro Area",34474.0,,-555555555.0,*****,11420
"Ann Arbor, MI Metro Area",365961.0,,-555555555.0,*****,11460
"Anniston-Oxford-Jacksonville, AL Metro Area",115098.0,,-555555555.0,*****,11500
"Appleton, WI Metro Area",234561.0,,-555555555.0,*****,11540
"Arcadia, FL Micro Area",36399.0,,-555555555.0,*****,11580
"Ardmore, OK Micro Area",48406.0,,-555555555.0,*****,11620
"Arecibo, PR Metro Area",183890.0,,-555555555.0,*****,11640
"Arkadelphia, AR Micro Area",22385.0,,-555555555.0,*****,11660
"Arkansas City-Winfield, KS Micro Area",35591.0,,-555555555.0,*****,11680
"Asheville, NC Metro Area",449937.0,,-555555555.0,*****,11700
"Ashland, OH Micro Area",53477.0,,-555555555.0,*****,11740
"Ashtabula, OH Micro Area",98136.0,,-555555555.0,*****,11780
"Astoria, OR Micro Area",38562.0,,-555555555.0,*****,11820
"Atchison, KS Micro Area",16363.0,,-555555555.0,*****,11860
"Athens, OH Micro Area",65936.0,,-555555555.0,*****,11900
"Athens, TN Micro Area",52773.0,,-555555555.0,*****,11940
"Athens, TX Micro Area",80460.0,,-555555555.0,*****,11980
"Athens-Clarke County, GA Metro Area",205303.0,,-555555555.0,*****,12020
"Atlanta-Sandy Springs-Roswell, GA Metro Area",5779463.0,,-555555555.0,*****,12060
"Atlantic City-Hammonton, NJ Metro Area",268539.0,,-555555555.0,*****,12100
"Atmore, AL Micro Area",37328.0,,-555555555.0,*****,12120
"Auburn, IN Micro Area",42704.0,,-555555555.0,*****,12140
"Auburn, NY Micro Area",77868.0,,-555555555.0,*****,12180
"Auburn-Opelika, AL Metro Area",159287.0,,-555555555.0,*****,12220
"Augusta-Richmond County, GA-SC Metro Area",594300.0,,-555555555.0,*****,12260
"Augusta-Waterville, ME Micro Area",121545.0,,-555555555.0,*****,12300
"Austin, MN Micro Area",39602.0,,-555555555.0,*****,12380
"Austin-Round Rock, TX Metro Area",2058351.0,,-555555555.0,*****,12420
"Bainbridge, GA Micro Area",26833.0,,-555555555.0,*****,12460
"Bakersfield, CA Metro Area",883053.0,,-555555555.0,*****,12540
"Baltimore-Columbia-Towson, MD Metro Area",2793250.0,,-555555555.0,*****,12580
"Bangor, ME Metro Area",151748.0,,-555555555.0,*****,12620
"Baraboo, WI Micro Area",63596.0,,-555555555.0,*****,12660
"Bardstown, KY Micro Area",45388.0,,-555555555.0,*****,12680
"Barnstable Town, MA Metro Area",213690.0,,-555555555.0,*****,12700
"Barre, VT Micro Area",58477.0,,-555555555.0,*****,12740
"Bartlesville, OK Micro Area",52001.0,,-555555555.0,*****,12780
"Bastrop, LA Micro Area",25992.0,,-555555555.0,*****,12820
"Batavia, NY Micro Area",58112.0,,-555555555.0,*****,12860
"Batesville, AR Micro Area",37264.0,,-555555555.0,*****,12900
"Baton Rouge, LA Metro Area",829642.0,,-555555555.0,*****,12940
