,position,total
0,!ST ASSISTANT FIRE CHIEF,1
1,1 FIRE CHIEF,1
2,10428.FIRE PREVENTION SYS ENGR.NON EXEMPT,7
3,1102 FIRE CHIEF,1
4,20 FIREFIGHTERS,1
5,20-401001 - FIRE MARSHALL,1
6,2805.E.FIRE DIVISION CHIEF,1
7,2ND ASSISTANT FIRE CHIEF,1
8,30-400575 - FIRE INSPECTOR I,1
9,30-400576 - FIRE INSPECTOR I,1
10,30-400602 - FIRE INSPECTOR I I,1
11,30-400603 - FIRE INSPECTOR I I,1
12,30-400701 - FIRE SAFETY SPECIALIST,1
13,30-400702 - FIRE SAFETY SPECIALIST,1
14,3352.E.DEPUTY FIRE MARSHAL,1
15,346-RESERVE FIREFIGHTER,20
16,37 FIREFIGHTERS AND EMS,1
17,40 HR FIRE CAPTAIN,2
18,4015 ASST FIRE MARSHALL,1
19,4064 FIREFIGHTER,1
20,4066 FIRE ENGINEER,4
21,4069 FIRE CAPTAIN,6
22,4625 FIRE DIVISION CHIEF,1
23,50-400501 - FIRE PREVENTION TECH,2
24,6002 FIRE FIGHTER II,11
25,6003 FIRE FIGHTER II-80,2
26,6020 FIRE ENGINEER - 80 HOURS,2
27,6021 FIRE ENGINEER,13
28,6040 FIRE CAPTAIN,16
29,6100 FIRE BATTALION CHIEF,1
30,6101 FIRE BATTALION CHIEF - 112 HOURS,3
31,7300.N.FIRE PREVENTION INSPECTOR II,2
32,7305.N.FIRE PREVENTION INSPECTOR FLEX,1
33,7914 FIRE AUTHORITY ADMINISTRATOR,1
34,7918 FIREFIGHTER (SEASONAL),4
35,7920 FIRE ENGINEER (SEASONAL),3
36,8045 FIRE CHIEF,1
37,8050 FIRE CAPTAIN,1
38,8055 FIRE CAPTAIN/PARAMEDIC,3
39,8070 FIRE ENGINEER PARAMEDIC,3
40,8090 FIREFIGHTER/PARAMEDIC,5
41,A/LS DEP FIRE MARSHAL III,1
42,A/LS FIRE CAPTAIN I,3
43,A/LS FIRE CAPTAIN II,2
44,A/LS FIRE CAPTAIN III,15
45,A/LS FIRE CHIEF,3
46,A/LS FIREFIGHTER I,2
47,A/LS FIREFIGHTER III,10
48,A/LS FIREFIGHTER PROB,4
49,A/LS FIREFIGHTER/PARAMEDIC I,2
50,A/LS FIREFIGHTER/PARAMEDIC II,5
51,A/LS FIREFIGHTER/PARAMEDIC III,19
52,A/LS FIREFIGHTER/PARAMEDIC PROB,2
53,ACCOUNTING ASSISTANT II / FIRE,3
54,ACCOUNTING ASST I/FIRE,3
55,ACTG-FIRE PREV SPECI,1
56,ACTING DEPUTY FIRE CHIEF,2
57,ACTING DEPUTY FIRE MARSHALL,3
58,ACTING FIRE BATTALION CHIEF,18
59,ACTING FIRE BATTALION CHIEF (40-HOUR),1
60,ACTING FIRE CAPTAIN,19
61,ACTING FIRE CAPTAIN (PARAMEDIC),1
62,ACTING FIRE CAPTAIN / PARAMEDIC,1
63,ACTING FIRE CAPTAIN/PARAMEDIC,6
64,ACTING FIRE CHIEF,13
65,ACTING FIRE CHIEF P/T,1
66,ACTING FIRE DIV CHIEF,1
67,ACTING FIRE DIVISION CHIEF,1
68,ACTING FIRE ENGINEER,12
69,ACTING FIRE ENGINEER (56-HOUR),1
70,ACTING FIRE MARSHAL,1
71,ACTING FIRE PREVENTION SPECIALIST,1
72,ACTING POSITION-FIRE CHIEF,2
73,ACTIVITIES LOG - AT THE FIREHOUSE: NEWSPAPER,2
74,"ADMIN ANALYST, FIRE",1
75,ADMIN ASSISTANT FIRE,2
76,ADMIN ASSISTANT TO FIRE CHIEF,3
77,ADMIN ASSISTANT-FIRE CHF,1
78,ADMIN ASSISTANT-FIRE CHIEF,2
79,ADMIN ASST -FIRE,1
80,ADMIN ASST TO FIRE CHIEF,3
81,ADMIN ASST-FIRE CHIEF,1
82,ADMIN CHIEF / FIRE MARSHALL,1
83,ADMIN FIRE CAPTAIN,3
84,ADMIN TECHNICIAN/FIRE,4
85,ADMINISTRATIVE ASSISTANT (FIRE),2
86,ADMINISTRATIVE ASSISTANT / FIRE PDM,2
87,ADMINISTRATIVE ASSISTANT TO FIRE CHIEF,3
88,ADMINISTRATIVE ASSISTANT TO FIRE CHIEF - CONFIDENTIAL,1
89,ADMINISTRATIVE ASSISTANT TO THE FIRE CHIEF,2
90,ADMINISTRATIVE ASSISTANT-FIRE,11
91,ADMINISTRATIVE ASSISTANT./FIRE INSPECTOR 1,1
92,ADMINISTRATIVE ASSISTANT/FIRE,9
93,ADMINISTRATIVE CHIEF/FIRE MARSHAL,2
94,ADMINISTRATIVE CHIEF/FIRE MARSHAL (RM),3
95,ADMINISTRATIVE FIRE CAPTAIN,20
96,ADMINISTRATIVE FIREFIGHTER,1
97,ADMINISTRATIVE SECRETARY - FIRE,1
98,ADMINISTRATIVE SERVICES DIRECTOR - FIRE,3
99,ADMINISTRATIVE SPECIALIST-FIRE,2
100,ADMINISTRATIVE SUPERVISOR/DEPUTY FIRE MARSHALL,1
101,ADMN SEC TO FIRE CHIEF,2
102,"AGENCY DIRECTOR, FIRE SERVICES",3
103,AIRCRAFT RESCUE AND FIREFIGHTING SPECIALIST I,1
104,AIRCRAFT RESCUE AND FIREFIGHTING SPECIALIST II,2
105,ALS FIREFIGHTER,9
106,AMBUL OP/FIRE INTERN,103
107,AMBULANCE/FIRE CREWMAN,20
108,AMBULANCE/FIREFIGHTER  (VOLUNTEER),9
