ID,Incident Date,City,State,School name,Latitude,Longitude,School Type,Intent,Outcome,Number Killed,Number Wounded,Narrative,Source 1,URL 1,Source 2,URL 2,Source 3,URL 3,Created,Last Modified
1,1/7/13,Fort Myers,FL,Apostolic Revival Center Christian School,26.640628,-81.8723084,Elementary School,Attack on others,Death,1,0,"An unidentified person fatally shot another man, 27, in the school parking lot. Police did not immediately identify the person and did not make any arrests.",NBC-2,http://bit.ly/1k3p1sx,,,,,2021-02-24T19:31:59.000Z,2021-03-25T13:30:15.000Z
2,1/10/13,Taft,CA,Taft Union High School,35.1424671,-119.4565078,High School,Attack on others,Injury,0,2,"A sixteen-year-old opened fire on his classmates, hitting and injuring another 16-year-old student. A teacher in the classroom persuaded the shooter to put down the firearm and surrender to police. Police believe the gun belonged to his brother.",Huffington Post,https://bit.ly/2uMkAMU,,,,,2021-02-24T19:31:59.000Z,2021-03-25T13:30:15.000Z
3,1/15/13,Hazard,KY,Hazard Community and Technical College,37.24954,-83.1932284,College or University,Attack on others,Death,3,0,"A 21 year-old used a semi-automatic pistol he had purchased earlier in the day to shoot and kill his former girlfriend, 20, her uncle, 53, and her 12-year-old cousin in the school parking lot. The man turned himself in to police later that afternoon.",WKYT,https://bit.ly/1tSr4Nc,,,,,2021-02-24T19:31:59.000Z,2021-03-25T13:30:15.000Z
4,1/15/13,St. Louis,MO,Stevens Institute of Business & Arts,38.6270025,-90.1994042,College or University,Attack on others,Injury,0,1,"A 34-year-old shot and injured a man, 45, in his office with a 9mm handgun. The shooter then shot himself in the stomach when fleeing the scene, which was believed to have been unintentional. The shooting followed an argument that had occurred between the two the day before. According to police, the handgun used in the shooting had been stolen during a burglary.",St. Louis Post-Dispatch,http://bit.ly/1cuVS2u,,,,,2021-02-24T19:31:59.000Z,2021-03-25T13:30:15.000Z
5,1/16/13,Chicago,IL,Chicago State University,41.8781136,-87.6297982,College or University,Attack on others,Death,1,0,A twenty-nine-year-old and a 32-year-old shot and killed a 17-year-old student outside of the basketball gym. It started with a brawl inside of the gym after the basketball game between players of both teams. Law enforcement apprehended one of the shooters near the school and charged him with first-degree murder.,Chicago Tribune,http://trib.in/1JocZmf,,,,,2021-02-24T19:31:59.000Z,2022-02-01T14:51:49.000Z
6,1/22/13,Houston,TX,Lone Star College - North Harris,29.7604267,-95.3698028,College or University,Attack on others,Injury,0,3,A twenty-two-year-old shot and injured three people. The shooter had had an argument with two of the victims prior to the shooting. Law enforcement arrested the shooter and charged him with aggravated assault with a deadly weapon.,Houston Chronicle,https://bit.ly/2uOCw9N,,,,,2021-02-24T19:31:59.000Z,2021-03-25T13:30:15.000Z
7,1/24/13,Arlington,TX,Tarrant County College — Southeast Campus,32.735687,-97.1080656,College or University,Legal Intervention,Death,1,0,"A felony theft suspect, 22, was pursued by police into the parking lot of a community college. After fighting with an officer and grabbing the officer’s stun gun, the suspect was shot multiple times. He died at the scene.  ",NBC DFW,https://bit.ly/2Mq4Xja,,,,,2021-02-24T19:31:59.000Z,2021-03-25T13:30:15.000Z
8,1/31/13,Atlanta,GA,Price Middle School,33.7489954,-84.3879824,Middle School,Attack on others,Injury,0,1,An unidentified 15-year-old shot and wounded an eighth grade student in the school courtyard. A school safety officer then disarmed the 15-year-old. Atlanta Police said that the shooting was not random and that there had had been an argument prior to the shooting.,CBS,https://cbsn.ws/2BRsjwPht,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
9,2/1/13,Altanta,GA,Morehouse College,33.7489954,-84.3879824,College or University,Attack on others,Injury,0,1,"A man shot and injured another man in the arm; according to the shooter, the victim had taken aggressive steps toward him. On February 24, 2014, the shooter was convicted of aggravated assault with a deadly weapon and possession of a weapon on school property among other charges.",CBS,http://bit.ly/1NFBBLe,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
10,2/1/13,Detroit,MI,Martin Luther King Jr. High School,42.331427,-83.0457538,High School,Other,Death,1,1,"An assistant girls basketball coach at Martin Luther King Jr. High School, 70. was walking two female students to their vehicles in the school paring lot when two armed teens ambushed them. The coach opened fire and fatally wounded a teen, 16, and shot and injured the other teen. Police took the coach into custody. ",M Live,https://bit.ly/2FKlaiY,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
11,2/7/13,Fort Pierce,FL,Indian River State College,27.4467056,-80.3256056,College or University,Other,Injury,0,1,Police were pursuing an armed person into a parking lot on the campus of Indian River State College. A bystander in the parking lot was injured when shots were fired. It is unclear who fired the shot that injured her.,TCPalm,http://archive.tcpalm.com/news/eight-months-later-still-no-way-of-knowing-who-shot-irsc-student--photo-gallery-ep-306483666-342334511.html/,WPBF,https://www.wpbf.com/article/shooting-victim-files-lawsuit-against-indian-river-state-college/1322956,,,2021-02-24T19:31:59.000Z,2022-02-05T19:58:04.000Z
12,2/13/13,San Leandro,CA,Hillside Elementary School,37.7257663,-122.1568554,Elementary School,Attack on others,Death,1,0,A twenty-year-old fatally shot an 18-year-old on the school's basketball court. This occurred after the victim did not pay the shooter $5 he had lost on a bet.,Patch,http://bit.ly/11uUGcQ,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
13,2/27/13,Atlanta,GA,Henry W. Grady High School,33.7489954,-84.3879824,High School,Unintentional discharge,Injury,0,1,A seventeen-year-old unintentionally shot herself in the thigh with a handgun in the courtyard of the high school. Law enforcement charged her with possession of a pistol by a minor and carrying a weapon within a school safety zone.,WABE NPR,https://bit.ly/2Jmbp96,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
14,3/6/13,Highland,NY,Highland High School,41.7209267,-73.9601382,High School,Unintentional discharge,No one shot,0,0,A school resource officer unintentionally discharged his service weapon inside Highland High School. No one was injured.,USA Today,https://www.usatoday.com/story/news/nation/2013/03/07/guns-school-officer-shoots/1970017/,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
15,3/6/13,Manchester,CT,Manchester Community College,41.7759301,-72.5215009,College or University,Unintentional discharge,Injury,0,1,"Police responded to the Manchester Community College after reports of a gun on campus. While searching the campus, an officer's gun unintentionally discharged, injuring his foot. No one else was injured, and police did not locate anyone with a gun on campus. ",NBC Connecticut,https://www.nbcconnecticut.com/news/local/unconfirmed-report-of-person-with-gun-at-manchester-community-college/2023824/,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
16,3/18/13,Orlando,FL,University of Central Florida,28.5383355,-81.3792365,College or University,Other,Death,1,0,A thirty-year-old threatened to shoot his roommate in the residence they shared on campus. He held his roommate at gunpoint but eventually released him before fatally shooting himself.,CNN,https://cnn.it/2GUKEdP,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
17,3/21/13,Southgate,MI,Davidson Middle School,42.2139284,-83.1938147,Middle School,Self-harm - no intent to hurt others,Death,1,0,A thirteen-year-old fatally shot himself in the school bathroom with a firearm he had brought from his home.,Michigan Live,https://bit.ly/2wCggQo,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
18,4/12/13,Dublin,VA,New River Community College,37.1056784,-80.6853433,College or University,Attack on others,Injury,0,2,An eighteen-year-old shot and injured two women in a classroom that was part of a satellite campus. He was charged with two counts of attempted murder.,Roanoke Times,http://bit.ly/1pfSD0W,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
19,4/13/13,Elizabeth City,NC,Elizabeth City State University,36.2946008,-76.2510461,College or University,Attack on others,Injury,0,1,"An unidentified person shot and injured someone, 23, outside of a residence hall on campus. Police believed that the shooting was in retaliation for a fight that had occurred on campus earlier in the day. Law enforcement did not apprehend the person.",WXII,http://bit.ly/1YSCwuZ,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
20,4/15/13,Grambling,LA,Grambling State University,32.5276503,-92.7140402,College or University,Attack on others,Injury,0,3,"A person unidentified by the press fired a gun on campus, injuring three students. Press reports and media did not provide further information regarding the identity of the person.",NOLA.com,http://bit.ly/1N6v5ga,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
21,4/16/13,Temple,TX,Temple High School,31.0982344,-97.342782,High School,Self-harm - no intent to hurt others,Death,1,0,"A sophomore at Temple High School shot himself in the head on the school's tennis courts. He was taken to a hospital in critical condition but died of his injuries. No other students were injured, and the school was locked down in response. ",KTEM News Radio,https://bit.ly/2TfLTai,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
22,4/16/13,Tuscaloosa,AL,Stillman College,33.2098407,-87.5691735,College or University,Attack on others,Injury,0,1,A twenty-two year-old shot and injured an unidentified student in a residence hall after an argument. He was charged with attempted murder.,AL.com,http://bit.ly/1hgxFhH,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
23,4/18/13,Cambridge,MA,Massachusetts Insititute of Technology,42.3736158,-71.1097335,College or University,Attack on others,Death,1,0,"Three days after the Boston Marathon bombing, an officer at MIT, 27, was shot multiple times in his car on campus by one of the brothers involved — twice in the side of the head and once between the eyes. The victim died as a result of his injuries. ",ABC News,https://abcn.ws/2JXkzvU,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
24,4/29/13,Cincinnati,OH,La Salle High School,39.1031182,-84.5120196,High School,Self-harm - no intent to hurt others,Injury,0,1,A seventeen-year-old tried to take his own life using a handgun in a classroom. Law enforcement reported that approximately 22 students witnessed the shooting. He was transported to a medical facility and survived.,USA Today,http://usat.ly/1Rj4Y4l,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
25,4/30/13,Tularosa,NM,Tularosa Elementary School,33.073973,-106.0186025,Elementary School,Legal Intervention,Death,1,0,"Tularosa police engaged in a gunfight on the school campus with a man, 19, after an officer recognized the man and confronted him, believing there was a warrant out for his arrest. The man had pulled out a rifle, causing the officer and sheriff’s deputies to open fire. The shooter was hit several times and died at the scene.",Albuquerque Journal,https://bit.ly/2sYN3Mf,,,,,2021-02-24T19:31:59.000Z,2022-02-05T20:16:48.000Z
26,5/3/13,Hattiesburg,MS,University of Southern Mississipi,31.3271189,-89.2903392,College or University,Unintentional discharge,Injury,0,1,"While sitting in his car in a campus parking lot, a student, 22, unintentionally fired his handgun, hitting himself in the thigh. He was treated at a local hospital for non-life threatening injuries. Campus security announced that, as a concealed carry permit holder, he was entitled to carry a gun on campus and would not be charged. ",WLOX,http://bit.ly/1Qqj859,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
27,5/13/13,Birmingham,AL,Ossie Ware Mitchell Middle School,33.5185892,-86.8103567,Middle School,Other,No one shot,0,0,"During an altercation between several female students on campus, a mother to one of the girls pointed a gun at a group of people and then fired it into the ground. She was later arrested and charged with reckless endangerment and certain person forbidden to possess firearms.",WRBC,https://bit.ly/2t917lw,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
28,5/24/13,Homestead,FL,Redland Middle School,25.4687224,-80.4775569,Middle School,Unintentional discharge,Injury,0,1,"A student brought a gun to school in his book bag which discharged, according to witnesses, when the bag was dropped. A student, 12, was hit in the leg. He was airlifted to Miami Children's Hospital with non-life threatening injuries, and the school was placed on temporary lockdown. ",NBC Miami,https://bit.ly/2LG25RK,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
29,6/7/13,Santa Monica,CA,Santa Monica College,34.0194543,-118.4911912,College or University,Attack on others,Death,3,0,"A twenty-three year-old fatally shot his father, 55, and brother, 25, at their home, and set the building on fire. He then shot and injured a passing motorist, carjacked another mortorist, and ordered her to drive to campus. While in the car, he shot at a bus and into a neighborhood. On campus, he shot a man, his daughter, 26, and a woman, 68, before responding police fatally shot him.",USA Today,http://usat.ly/1FLOWOT,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
30,6/18/13,Charlotte,NC,Hidden Valley Elementary School,35.2270869,-80.8431267,Elementary School,Attack on others,Injury,0,1,"A shootout occurred at Hidden Valley Elementary School between two individuals and an undercover officer. The individuals, both 17, sold drugs to an informant and undercover police officer in the parking lot of the school. As the informant and officer walked away, the teenagers opened fire and hit the informant in the shoulder. The officer returned fire and shot one of the individuals, who later died at the hospital from a head injury.",Fox 8,https://bit.ly/2MpqwAg,,,,,2021-02-24T19:31:59.000Z,2022-02-07T14:34:12.000Z
31,6/19/13,West Palm Beach,FL,Alexander W. Dreyfoos School of the Arts,26.7153424,-80.0533746,High School,Attack on others,Death,2,0,"A fifty-three-year-old school custodian fatally shot two other school custodians inside the school's maintenance room. After the shooting the shooter fled to an unidentifed location outside of the U.S., according to press; he was sentenced to life in prison in 2017.",Palm Beach Post,http://bit.ly/1Vrm3ik,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
32,8/15/13,Clarksville,TN,Northwest High School,36.5297706,-87.3594528,High School,Attack on others,Death,1,0,"An unknown person(s) fatally shot a man, 38, in the school parking lot. In 2015, law enforcement arrested two men in connection with the shooting; however, their role in the incident is not clear. A third man was also arrested, but it is still unclear if all 3 were involved and if so, who was the shooter.",WKRN,http://bit.ly/1KYy3g9,,,,,2021-02-24T19:31:59.000Z,2022-02-06T22:16:01.000Z
33,8/20/13,Decatur,GA,Ronald E. McNair Discovery Learning Academy,33.7748275,-84.2963123,Elementary School,Attack on others,No one shot,0,0,"A twenty-year-old fired an AK-47 while inside an elementary school, but did not physically injure anyone. The school bookkeeper convinced the shooter to surrender and was successful in detaining him until law enforcement arrived. He was arrested and was ultimately sentenced to 20 years in prison.",AJC.com,http://on-ajc.com/1wnTZMw,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
34,8/22/13,Memphis,TN,Westside Elementary School,35.1495343,-90.0489801,Elementary School,Unintentional discharge,No one shot,0,0,"A five-year-old student brought a gun to school in his backpack. The firearm discharged in the school cafeteria but no one was injured. The child's parents were charged with reckless endangerment, a felony.",NBC,http://nbcnews.to/12nJb7c,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
35,8/23/13,Chula Vista,CA,Southwestern College,32.6400541,-117.0841955,College or University,Unintentional discharge,No one shot,0,0,"A man, 52, unintentionally fired his service weapon in the police headquarters at Southwestern College. No one was injured. ",San Diego Union-Tribune,https://www.sandiegouniontribune.com/news/education/sdut-southwestern-college-police-weapon-2014jan09-story.html,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
36,8/23/13,Sardis,MS,North Panola High School,34.4370511,-89.9159227,High School,Attack on others,Death,1,2,"A fifteen-year-old was shot and killed when gunfire erupted during a dispute on campus after a football game. Two others were wounded. Three people were arrested and charged with murder. The charges were brought to a grand jury, which did not issue any murder charges but indicted four people for possessing a handgun and displaying it in a threatening manner on school property. One of the four was also charged with aggravated assault for shooting at an occupied vehicle.",WREG 3,https://bit.ly/2MdojY0,https://bit.ly/2LAaq5q,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
37,8/26/13,York,SC,York Comprehensive High School,34.9943021,-81.2420175,High School,Unintentional discharge,No one shot,0,0,A school resource officer at York Comprehensive High School had his service weapon holstered when it unintentionally discharged on the grounds of the school.,WRHI,http://www.wrhi.com/2013/08/resource-officers-weapon-accidentally-discharges-82487,,,,,2021-02-24T19:31:59.000Z,2021-03-09T15:40:39.000Z
