id,lat,long,phone,instagram,addressnumber,streetname,streetnameposttype,placename,statename,zipcode
20425856,40.115447,-75.120986,215 885 1037,@kungfutea_abington,1129,York,Road,Abington,PA,19001
20425897,29.475774,-98.462935,210-455-0092,kungfutea_alamoheights,5231,Broadway,Street,Antonio,TX,78209
23264519,31.613851,-84.216871,,kftalbanyga,2801,Dawson,Rd,Albany,GA,31707
20425894,35.147218,-106.688964,505 503 8450,kungfutea_abq,5600,Coors,Blvd,Albuquerque,NM,87120
38103149,35.129575,-106.549095,,kft.northeastabq,4410,Wyoming,Boulevard,Albuquerque,NM,87111
38230346,38.77951,-77.080065,571-371-8075,kftalexandria,6328,Richmond,Highway,Alexandria,VA,22306
33729261,40.58546,-75.4604,,,1502,4th,Street,Allentown,PA,18103
20425717,42.35219,-71.13216,617-783-3388 ,,131,Harvard,Ave,Allston,MA,02134
20425718,38.825945,-77.212795,703-992-8599,,7895,Heritage,Dr,Annandale,VA,22003
20425855,40.008074,-75.291941,610 222 5888,kungfutea_ardmore,22,Lancaster,Ave,Ardmore,PA,19003
23656176,32.73705,-97.106975,817 583 6574,kftarlingtontx,101,Abram,St,Arlington,TX,76010
20425831,38.887945,-77.094292,703 528 1686,,3018,Wilson,Boulevard,Arlington,VA,22201
48349918,38.863731,-77.060561,,,1100,Hayes,St,Arlington,VA,22202
40455105,39.790813,-105.077532,,kungfuteaco,7310,52nd,Ave,Arvada,CO,80002
33729256,39.043363,-77.47448,,kungfuteaashburnvillage,44110,Shopping,Plaza,Ashburn,VA,20147
34702461,39.007255,-77.486835,703-857-1173,kungfutea_ryan,43800,Station,Drive,Ashburn,VA,20147
29210292,40.765519,-73.91934,917-396-1734,kungfutea.astoria,30-10,34th,Street,Astoria,NY,11103
30743870,32.607116,-85.481377,,,116,College,St,Auburn,AL,36830
26536645,39.697768,-104.846332,,kungfuteaco,12201,Mississippi,Ave,Aurora,CO,80012
29277139,30.250261,-97.895239,,,8701,71,,Austin,TX,78735
40678514,38.879631,-77.1109,,kungfutea_ballstonqrt,4238,Wilson,Blvd,Arlington,VA,22203
39563774,29.481504,-98.603733,,kungfutea_bandera,5755,410,,Antonio,TX,78238
20425848,30.381099,-91.099098,225 228 2789,kungfutea_br,7584,Bluebonnet,Blvd,Rouge,LA,70810
20425842,40.763066,-73.770695,718 631 0011,kungfutea.bayside,42-21,Bell,Blvd,Bayside,NY,11361
43263399,30.115842,-94.170259,,,3939,Dowlen,Road,Beaumont,TX,77706
25504626,39.778069,-84.054572,,kungfutea_beavercreek,2630,Glenn,Highway,Fairborn,OH,45324
44950107,37.719968,-97.364338,,,2021,Amidon,Ave,Wichita,KS,67203
47378036,37.866429,-122.258331,,,2431,Telegraph,Ave,Berkeley,CA,94704
42351896,40.048332,-75.439996,,kungfutea_berwyn,558,Lancaster,Avenue,Berwyn,PA,19312
20425833,39.025772,-77.147576,301 767 0200,,20817,Entrance),Blvd,Bethesda,MD,
