address1,city,state,zip,storetimezone,storenumber,latitude,longitude
357 Maine Mall Rd.,South Portland,ME,04106,-4,665,43.6361776,-70.3387282
1795 Andover St.,Tewksbury,MA,01876,-4,373,42.6422271,-71.2354022
16 Nashua Rd,Londonderry,NH,03053,-4,412,42.8737058,-71.3392933
1048 South Street Suite 40,Wrentham,MA,02093,-4,497,42.0370383,-71.34834
825 Centre of New England Blvd,Coventry,RI,02816,-4,452,41.66109,-71.546451
215 Charlton Rd.,Sturbridge,MA,01566,-4,462,42.1163011,-72.0671855
227 Whiting Farms Rd.,Holyoke,MA,01040,-4,294,42.1771241,-72.6421884
145 Prospect Hill Rd.,East Windsor,CT,06088,-4,436,41.9321563,-72.6062926
30 Research Dr.,Milford,CT,06460,-4,318,41.2386057,-73.0199779
4 Tower Way,Clifton Park,NY,12065,-4,293,42.8617156,-73.7697169
122 Troy Rd.,East Greenbush,NY,12061,-4,317,42.6247822,-73.699539
4 Merritt Blvd.,Fishkill,NY,12524,-4,350,41.5295698,-73.8922063
1289 Coffeen St.,Watertown,NY,13601,-4,302,43.9875874,-75.9431941
172 Howard Blvd.,Mount Arlington,NJ,07856,-4,406,40.902333,-74.6331811
825 Market Place Blvd.,Hamilton Township,NJ,08691,-4,504,40.1979334,-74.6379388
14 Frontage Rd.,Clinton,NJ,08809,-4,386,40.6288002,-74.9187307
8400 Pardee Rd.,Cicero,NY,13039,-4,306,43.1790843,-76.1154148
110 Hancock Ln.,Mount Holly,NJ,08060,-4,411,40.028441,-74.8150308
3611 Horizon Blvd,Trevose,PA,19053,-4,598,40.1368037,-74.9635274
876 Front St.,Binghamton,NY,13905,-4,410,42.1313338,-75.9049576
1240 Route 73,Mount Laurel,NJ,08054,-4,484,39.9194614,-74.947455
2095 Gallagher Rd.,Plymouth Meeting,PA,19462,-4,449,40.1006305,-75.2953436
2320 Wilkes Barre Township Mar,Wilkes Barre,PA,18702,-4,512,41.2364754,-75.8579168
7720 Main St. Suite 19,Fogelsville,PA,18051,-4,291,40.5834994,-75.6268553
125 S. Stewart Ave.,Ridley Park,PA,19078,-4,743,39.8702736,-75.3205374
427 North Broadway,Pennsville,NJ,08070,-4,342,39.6786487,-75.4946844
1215 E. Lancaster Ave.,Downingtown,PA,19335,-4,509,40.0211175,-75.6705374
21 Industrial Dr.,Hamburg,PA,19526,-4,312,40.5591678,-75.9967399
19550 Coastal Hwy.,Rehoboth Beach,DE,19971,-4,485,38.719275,-75.117595
1740 County Route 64,Horseheads,NY,14845,-4,699,42.1595766,-76.8594203
956 Schuylkill Mall,Frackville,PA,17931,-4,299,40.7697591,-76.2211873
300 Belle Hill Rd.,Elkton,MD,21921,-4,472,39.6369011,-75.8043201
228 Mall Blvd,Bloomsburg,PA,17815,-4,435,41.017896,-76.4916418
2075 Hylan Dr.,Rochester,NY,14623,-4,387,43.0728573,-77.6259313
35 S. Willowdale Dr Suite 1822,Lancaster,PA,17602,-4,442,40.0211734,-76.1945845
260 S Lycoming Mall Rd,Muncy,PA,17756,-4,696,41.2427424,-76.8335562
1440 Handlir Dr.,Bel Air,MD,21015,-4,333,39.4822129,-76.2513065
2525 Brindle Dr.,Harrisburg,PA,17110,-4,374,40.3027918,-76.8460144
236 Pauline Dr.,York,PA,17402,-4,199,39.9340341,-76.6852489
13600 Wolfe Rd,New Freedom,PA,17349,-4,555,39.7725153,-76.6642825
115 Blue Jay Ct,Stevensville,MD,21666,-4,608,38.9754696,-76.3091693
395 Cumberland Pkwy,Mechanicsburg,PA,17055,-4,550,40.194929,-76.9769525
1520 W. Nursery Rd,Linthicum Heights,MD,21090,-4,718,39.2091724,-76.679982
3 E. Garland Dr.,Carlisle,PA,17013,-4,431,40.186866,-77.1900774
6643 Transit Rd.,Williamsville,NY,14221,-4,298,42.9509304,-78.6959045
45315 Abell House Ln,California,MD,20619,-4,572,38.2990915,-76.5091241
215 Colonnade Blvd,State College,PA,16803,-4,681,40.8165398,-77.9004522
3742 Crain Hwy.,Waldorf,MD,20602,-4,687,38.6086847,-76.927319
757 Lynnhaven Pkwy.,Virginia Beach,VA,23452,-4,677,36.8159178,-76.0673832
1162 Wayne Ave,Chambersburg,PA,17202,-4,258,39.9078216,-77.6489144
7408 Shockley Dr.,Frederick,MD,21704,-4,262,39.3766667,-77.4069903
1440 Greenbrier Pkwy.,Chesapeake,VA,23320,-4,629,36.7792432,-76.2322057
106 Market place Dr,Hampton,VA,23666,-4,559,37.0380339,-76.4016183
18214 Col. Henry K. Douglas Dr.,Hagerstown,MD,21740,-4,434,39.6008566,-77.7307671
217 Hillcrest Pkwy,Chesapeake,VA,23322,-4,658,36.6564481,-76.2321402
23030 Indian Creek Dr.,Sterling,VA,20166,-4,704,38.9799544,-77.4327704
12357 Hornsby Ln.,Newport News,VA,23602,-4,184,37.1130718,-76.5018789
17115 Dumfries Rd.,Dumfries,VA,22025,-4,239,38.5814844,-77.3240966
4700 PORTSMOUTH BLVD.,Chesapeake,VA,23321,-4,652,36.8183544,-76.4380058
200 Bypass Rd.,Williamsburg,VA,23185,-4,72,37.2841246,-76.7167868
10801 Battleview Pkwy.,Manassas,VA,20109,-4,238,38.8046019,-77.5197521
100 Charlotte Dr.,Altoona,PA,16601,-4,482,40.4666484,-78.4095057
725 Foxcroft Ave.,Martinsburg,WV,25401,-4,280,39.4564796,-77.9887672
1971 Carl D. Silver Pkwy.,Fredericksburg,VA,22401,-4,537,38.3090792,-77.5126293
5200 Southpoint Pkwy.,Fredericksburg,VA,22407,-4,106,38.2323796,-77.4991442
200 Front Royal Pike,Winchester,VA,22602,-4,164,39.1598192,-78.1584473
7367 Bell Creek Rd. South,Mechanicsville,VA,23111,-4,207,37.6059779,-77.3564042
106 S Carter Rd.,Ashland,VA,23005,-4,248,37.7578975,-77.460052
4435 S Laburnum Ave,Richmond,VA,23231,-4,659,37.5282706,-77.3562204
15 Riverton Commons Plaza,Front Royal,VA,22630,-4,605,38.9620808,-78.1898399
12401 Red Water Creek Rd.,Chester,VA,23831,-4,329,37.3562841,-77.4071197
3620 Mayland Court,Richmond,VA,23233,-4,592,37.6393468,-77.5704917
4720 Craig Rath Blvd.,Midlothian,VA,23112,-4,502,37.4140376,-77.6425652
7810 Interstate Dr.,Erie,PA,16509,-4,261,42.0491226,-80.0855316
13 Campground Rd.,LaVale,MD,21502,-4,731,39.6375262,-78.8303452
451 West Reservoir Rd,Woodstock,VA,22664,-4,582,38.8717768,-78.5303244
103 Sadler Ln.,Emporia,VA,23847,-4,560,36.700986,-77.5429092
11311 Pennsylvania Ave.,Meadville,PA,16335,-4,371,41.6222983,-80.1743848
