,facid,npi,facname,fac_type_code,fac_fdr,ltc,capacity,address,city,zip,zip9,facadmin,contact_email,contact_fax,contact_phone_number,county_code,county_name,district_number,district_name,isfacmain,license_number,business_name,initial_license_date,license_effective_date,license_expiration_date,entity_type_description,latitude,longitude,location,oshpd_id,streetnum,streetname,cclho_code,cclho_name,fips_county_code,birthing_facility_flag,trauma_ped_ctr,trauma_ctr,type_of_care,critical_access_hospital,geometry
263,30000113,1710918545,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,625,2315 STOCKTON BOULEVARD,SACRAMENTO,95817,2201.0,"SIMMONS, BRADLEY",LTNAVARRA@UCDAVIS.EDU,(916) 734-3234,(916) 734-2011,440,SACRAMENTO,3,SACRAMENTO,Y,30000086.0,UNIVERSITY OF CALIFORNIA BOARD OF REGENTS,1953-08-26,2019-12-06,2020-04-07,UC REGENT,38.55429,-121.455181,"(-121.455181,38.55429)",106341006.0,2315,STOCKTON BOULEVARD,34,SACRAMENTO,6067,YES,LEVEL I PED,LEVEL I,,,POINT (-121.455181 38.55429)
279,30000135,1275605180,SAN JOAQUIN GENERAL HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,152,500 W. HOSPITAL ROAD,FRENCH CAMP,95231,9693.0,"CULBERSON, DAVID",INFO@SJGH.ORG,(209) 468-7011,(209) 468-6000,490,SAN JOAQUIN,3,SACRAMENTO,Y,30000087.0,COUNTY OF SAN JOAQUIN,1953-07-01,2020-01-01,2020-10-31,COUNTY,37.88655,-121.282211,"(-121.282211,37.88655)",106391010.0,500,W. HOSPITAL ROAD,39,SAN JOAQUIN,6077,YES,,LEVEL III,,,POINT (-121.282211 37.88655)
698,50000039,1629167457,VENTURA COUNTY MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,180,300 HILLMONT AVE,VENTURA,93003,3099.0,"FANKHAUSER, JOHN",,(805) 652-6169,(805) 652-6075,660,VENTURA,5,VENTURA,Y,50000032.0,COUNTY OF VENTURA,1953-07-01,2020-03-01,2021-02-28,COUNTY,34.279145,-119.254337,"(-119.254337,34.279145)",106560481.0,300,HILLMONT AVE,56,VENTURA,6111,YES,,LEVEL II,,,POINT (-119.254337 34.279145)
918,60000027,1295757938,LAC/HARBOR UCLA MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,415,1000 W CARSON ST,TORRANCE,90502,2004.0,"MCKENZIE, KIMBERLY",DFINLEY@DHS.LACOUNTY.GOV,(310) 328-9624,(310) 222-2345,200,LOS ANGELES,6,ORANGE,Y,60000129.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1953-07-01,2019-05-01,2020-04-30,COUNTY,33.83154,-118.294551,"(-118.294551,33.83154)",106191227.0,1000,W CARSON ST,19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,,POINT (-118.294551 33.83154)
919,60000028,1336156363,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,158,7601 IMPERIAL HWY,DOWNEY,90242,3456.0,"OROZCO, JORGE",LZMARTINEZ@DHS.LACOUNTY.GOV,(562) 803-0056,(562) 385-7022,200,LOS ANGELES,6,ORANGE,Y,60000161.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1953-07-01,2020-01-23,2020-03-30,COUNTY,33.9291,-118.158001,"(-118.158001,33.9291)",106191306.0,7601,IMPERIAL HWY,19,LOS ANGELES,6037,,,,,,POINT (-118.158001 33.9291)
927,60000038,1285845982,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,303,14445 OLIVE VIEW DR,SYLMAR,91342,1437.0,"MAASS, JUDITH",,(818) 364-3044,(818) 364-1555,200,LOS ANGELES,6,ORANGE,Y,60000133.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1959-11-20,2019-10-21,2020-05-07,COUNTY,34.32593,-118.445531,"(-118.445531,34.32593)",106191231.0,14445,OLIVE VIEW DR,19,LOS ANGELES,6037,YES,,,,,POINT (-118.445531 34.32593)
929,60000040,1093728743,LAC+USC MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,600,1200 N STATE ST,LOS ANGELES,90033,1029.0,"OROZCO, JORGE",DCASTILLO@DHS.LACOUNTY.GOV,(323) 441-8030,(310) 943-5400,200,LOS ANGELES,6,ORANGE,Y,60000130.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,1953-07-01,2019-04-01,2020-03-31,COUNTY,34.05963,-118.208281,"(-118.208281,34.05963)",106191228.0,1200,N STATE ST,19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,,POINT (-118.208281 34.05963)
953,60000071,1689608150,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,402,101 THE CITY DR S,ORANGE,92868,3201.0,"ANSTINE, LARRY A",DBOURGET@UCI.EDU,(714) 456-8619,(714) 456-5676,400,ORANGE,6,ORANGE,Y,60000148.0,UNIVERSITY OF CALIFORNIA BOARD OF REGENTS,,2019-11-01,2020-10-31,UC REGENT,33.78874,-117.888661,"(-117.888661,33.78874)",106301279.0,101,THE CITY DR S,30,ORANGE,6059,YES,,LEVEL I,,,POINT (-117.888661 33.78874)
1499,70000145,1699979245,NATIVIDAD MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,150,1441 CONSTITUTION BLVD,SALINAS,93906,3100.0,"GRAY, GARY",LICENSINGANDCERTIFICATION@NATIVIDAD.COM,(831) 755-6254,(831) 755-4111,370,MONTEREY,7,SAN JOSE,Y,70000070.0,COUNTY OF MONTEREY,,2019-12-22,2020-12-21,COUNTY,36.69624,-121.633071,"(-121.633071,36.69624)",106274043.0,1441,CONSTITUTION BLVD,27,MONTEREY,6053,YES,,LEVEL II,,,POINT (-121.633071 36.69624)
1500,70000146,,O'CONNOR HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,334,2105 FOREST AVE,SAN JOSE,95128,1425.0,"BHIMANI, MEENESH",PATRYAN@VERITY.ORG,(408) 947-2598,(408) 947-2542,530,SANTA CLARA,7,SAN JOSE,Y,70000085.0,THE COUNTY OF SANTA CLARA,1980-05-01,2020-01-02,2020-04-30,COUNTY,37.32766,-121.937971,"(-121.937971,37.32766)",106430837.0,2105,FOREST AVE,43,SANTA CLARA,6085,YES,,,,,POINT (-121.937971 37.32766)
1502,70000149,1063406551,SANTA CLARA VALLEY MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,681,751 S BASCOM AVE,SAN JOSE,95128,2604.0,"LORENZ, PAUL E",HOSPITAL.ADMIN@HHS.SCCGOV.ORG,(408) 885-3605,(408) 885-5000,530,SANTA CLARA,7,SAN JOSE,Y,70000085.0,THE COUNTY OF SANTA CLARA,1980-05-01,2020-01-02,2020-04-30,COUNTY,37.31439,-121.933911,"(-121.933911,37.31439)",106430883.0,751,S BASCOM AVE,43,SANTA CLARA,6085,YES,LEVEL II PED,LEVEL I,,,POINT (-121.933911 37.31439)
1552,70000635,,ST. LOUISE REGIONAL HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,72,9400 NO NAME UNO,GILROY,95020,3528.0,"DELA MERCED, GLORIA",CORRIERUDD@VERIFY.ORG,(408) 842-2155,(408) 848-8610,530,SANTA CLARA,7,SAN JOSE,Y,70000085.0,THE COUNTY OF SANTA CLARA,1980-05-01,2020-01-02,2020-04-30,COUNTY,37.03688,-121.571671,"(-121.571671,37.03688)",106434138.0,9400,NO NAME UNO,43,SANTA CLARA,6085,YES,,,,,POINT (-121.571671 37.03688)
2074,90000040,1861409823,EL CENTRO REGIONAL MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,161,1415 ROSS AVE,EL CENTRO,92243,4306.0,"EDWARD, ADOLPHE",ADOLPHE.EDWARD@ECRMC.ORG,(760) 339-7177,(760) 339-7100,120,IMPERIAL,10,SAN DIEGO,Y,90000004.0,CITY OF EL CENTRO,1967-01-21,2020-02-10,2020-06-29,CITY,32.781461,-115.568861,"(-115.568861,32.781461)",106130699.0,1415,ROSS AVE,13,IMPERIAL,6025,YES,,LEVEL IV,,,POINT (-115.568861 32.781461)
2123,90000154,1184722779,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,381,200 W ARBOR DR,SAN DIEGO,92103,1911.0,"MAYSENT, PATTY",POLSEN@UCSD.EDU,(619) 543-5789,(619) 543-6222,470,SAN DIEGO,10,SAN DIEGO,Y,90000101.0,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (UCSD),1953-07-01,2020-02-19,2020-10-31,UC REGENT,32.75419,-117.165931,"(-117.165931,32.75419)",106370782.0,200,W ARBOR DR,37,SAN DIEGO,6073,YES,,LEVEL I,,,POINT (-117.165931 32.75419)
2202,90001116,,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCULAR CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,418,9300 CAMPUS POINT DR,LA JOLLA,92037,1300.0,"VIVIANO, PAUL  S",,,(858) 657-7000,470,SAN DIEGO,10,SAN DIEGO,Y,90000101.0,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (UCSD),1953-07-01,2020-02-19,2020-10-31,UC REGENT,32.87819,-117.225291,"(-117.225291,32.87819)",106374141.0,9300,CAMPUS POINT DR,37,SAN DIEGO,6073,YES,,,,,POINT (-117.225291 32.87819)
2689,120000342,1376623538,KERN MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,197,1700 MOUNT VERNON AVE,BAKERSFIELD,93306,4018.0,"JUDD, CEO, RUSSELL",RON.EYRAUD@KERNMEDICAL.COM,(661) 326-2100,(661) 326-2400,140,KERN,12,BAKERSFIELD,Y,120000182.0,KERN COUNTY HOSPITAL AUTHORITY,1953-07-01,2019-07-01,2020-06-30,OTHER PUBLIC AGENCY,35.38221,-118.969811,"(-118.969811,35.38221)",106150736.0,1700,MOUNT VERNON AVE,15,KERN,6029,YES,,LEVEL II,,,POINT (-118.969811 35.38221)
2866,140000011,1831529049,ALAMEDA HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,66,2070 CLINTON AVENUE,ALAMEDA,94501,4399.0,"MCINNES, JANET",RISKMANAGEMENT@ALAMEDAHEALTHSYSTEM.ORG,(510) 338-4161,(510) 522-3700,0,ALAMEDA,2,EAST BAY,Y,140000002.0,ALAMEDA HEALTH SYSTEM,,2019-05-01,2020-04-30,OTHER PUBLIC AGENCY,37.7626,-122.254061,"(-122.254061,37.7626)",106010735.0,2070,CLINTON AVENUE,1,ALAMEDA,6001,,,,,,POINT (-122.254061 37.7626)
2873,140000034,1396764353,HIGHLAND HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,169,1411 E 31ST STREET,OAKLAND,94602,1018.0,"MCINNES, JANET",,(510) 618-5734,(510) 437-4800,0,ALAMEDA,2,EAST BAY,Y,140000046.0,ALAMEDA HEALTH SYSTEM,,2019-12-09,2020-10-31,OTHER PUBLIC AGENCY,37.7989,-122.231231,"(-122.231231,37.7989)",106010846.0,1411,E 31ST STREET,1,ALAMEDA,6001,YES,,LEVEL I,,,POINT (-122.231231 37.7989)
2899,140000184,,FAIRMONT HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,0,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,1009.0,"ESPINOZA, RICHARD",ADALY@ACMEDCTR.ORG,(510) 667-7852,(510) 667-7800,0,ALAMEDA,2,EAST BAY,Y,140000046.0,ALAMEDA HEALTH SYSTEM,,2019-12-09,2020-10-31,OTHER PUBLIC AGENCY,37.70815,-122.119781,"(-122.119781,37.70815)",106010811.0,15400,FOOTHILL BOULEVARD,1,ALAMEDA,6001,,,,,,POINT (-122.119781 37.70815)
2904,140000195,1497820203,CONTRA COSTA REGIONAL MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,124,2500 ALHAMBRA AVENUE,MARTINEZ,94553,3156.0,"BENEPAL, JASPREET K",JASPREET.BENEPAL@CCHEALTH.ORG,(925) 370-5138,(925) 370-5100,60,CONTRA COSTA,2,EAST BAY,Y,140000090.0,COUNTY OF CONTRA COSTA,,2019-12-01,2020-11-30,COUNTY,38.00674,-122.132641,"(-122.132641,38.00674)",106070924.0,2500,ALHAMBRA AVENUE,7,CONTRA COSTA,6013,YES,,,,,POINT (-122.132641 38.00674)
3183,170001874,,PORTERVILLE DEVELOPMENTAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,44,26501 AVENUE 140,PORTERVILLE,93257,9109.0,"MALESZEWSKI, GABRIELA",,(559) 782-2193,(559) 782-2222,640,TULARE,17,STATE FACILITIES SECTION,Y,170000837.0,CALIFORNIA DEPARTMENT OF DEVELOPMENTAL SERVICES,,2020-03-01,2021-02-28,STATE AGENCY,36.0417,-118.979651,"(-118.979651,36.0417)",106541123.0,26501,AVENUE 140,54,TULARE,6107,,,,,,POINT (-118.979651 36.0417)
3196,220000007,1386713030,SAN MATEO MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,69,222 W 39TH AVE,SAN MATEO,94403,4364.0,"KUNNAPPILLY, CHESTER J",CKUNNAPPILLY@SMCGOV.ORG,(650) 573-2030,(650) 573-2305,510,SAN MATEO,22,SAN FRANCISCO,Y,220000015.0,COUNTY OF SAN MATEO,,2020-02-01,2021-01-31,COUNTY,37.53113,-122.299071,"(-122.299071,37.53113)",106410782.0,222,W 39TH AVE,41,SAN MATEO,6081,,,,,,POINT (-122.299071 37.53113)
3200,220000012,1235172560,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,11,375 LAGUNA HONDA BLVD,SAN FRANCISCO,94116,1411.0,"RYKOWSKI, MARGARET",,(415) 759-2374,(415) 759-2300,480,SAN FRANCISCO,22,SAN FRANCISCO,Y,220000040.0,"CITY & COUNTY OF SAN FRANCISCO, DEPT. PUBLIC HEALTH",,2019-11-01,2020-10-31,COUNTY,37.74931,-122.456991,"(-122.456991,37.74931)",106380865.0,375,LAGUNA HONDA BLVD,38,SAN FRANCISCO,6075,,,,,,POINT (-122.456991 37.74931)
3201,220000015,,UCSF MEDICAL CENTER AT MOUNT ZION,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,140,1600 DIVISADERO ST,SAN FRANCISCO,94115,3010.0,"LARET, MARK",,,(415) 567-6600,480,SAN FRANCISCO,22,SAN FRANCISCO,Y,220000091.0,UNIVERSITY OF CALIFORNIA BOARD OF REGENTS,,2020-02-10,2020-03-31,UC REGENT,37.784479,-122.439645,"(-122.439645,37.784479)",106380895.0,1600,DIVISADERO ST,38,SAN FRANCISCO,6075,,,,,,POINT (-122.439645 37.784479)
3204,220000019,1164609962,PRISCILLA CHAN AND MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL AND TRAUMA CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,284,1001 POTRERO AVE,SAN FRANCISCO,94110,3518.0,"EHRLICH, SUSAN P",,(415) 206-4008,(415) 206-8000,480,SAN FRANCISCO,22,SAN FRANCISCO,Y,220000063.0,"CITY & COUNTY OF SAN FRANCISCO, DEPT. PUBLIC HEALTH",1953-07-01,2019-04-14,2020-04-13,COUNTY,37.75529,-122.405371,"(-122.405371,37.75529)",106380939.0,1001,POTRERO AVE,38,SAN FRANCISCO,6075,YES,,LEVEL I,,,POINT (-122.405371 37.75529)
3213,220000031,1689772592,UCSF MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,590,505 PARNASSUS AVE,SAN FRANCISCO,94143,2204.0,"LARET, MARK",,(415) 353-8645,(415) 353-2733,480,SAN FRANCISCO,22,SAN FRANCISCO,Y,220000091.0,UNIVERSITY OF CALIFORNIA BOARD OF REGENTS,,2020-02-10,2020-03-31,UC REGENT,37.763502,-122.457748,"(-122.457748,37.763502)",106381154.0,505,PARNASSUS AVE,38,SAN FRANCISCO,6075,YES,,,,,POINT (-122.457748 37.763502)
