fac_name,county,icu_beds,icu_days,icu_bed_days,icu_occupancy_rate,geometry
ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Alameda,16,3578.0,5840,61.0,POINT (-122.25743 37.85645)
UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,Alameda,23,4881.0,8395,58.0,POINT (-122.26747 37.83722)
HIGHLAND HOSPITAL,Alameda,24,7459.0,8760,85.0,POINT (-122.23138 37.79925)
KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Alameda,10,2475.0,3650,68.0,POINT (-122.13119 37.71621)
ALTA BATES SUMMIT MEDICAL CENTER,Alameda,30,5931.0,10950,54.0,POINT (-122.26257 37.82106)
ST. ROSE HOSPITAL,Alameda,9,3050.0,3285,93.0,POINT (-122.08962 37.63291)
VALLEY MEMORIAL HOSPITAL,Alameda,3,0.0,1095,0.0,POINT (-121.78252 37.6787)
WASHINGTON HOSPITAL - FREMONT,Alameda,13,5310.0,4745,112.0,POINT (-121.98006 37.55847)
SAN LEANDRO HOSPITAL,Alameda,9,1406.0,3285,43.0,POINT (-122.14067 37.71364)
STANFORD HEALTH CARE - VALLEYCARE,Alameda,13,2056.0,4745,43.0,POINT (-121.88095 37.69206)
KAISER FOUNDATION HOSPITAL - FREMONT,Alameda,10,1892.0,3650,52.0,POINT (-121.97483 37.55055)
EDEN MEDICAL CENTER,Alameda,24,7522.0,8760,86.0,POINT (-122.087406 37.698377)
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,Alameda,42,5382.0,15330,35.0,POINT (-122.25791 37.82402)
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,Alameda,30,4118.0,10950,38.0,POINT (-122.16917 37.70611)
SUTTER AMADOR HOSPITAL,Amador,6,1291.0,2190,59.0,POINT (-120.77272 38.34743)
ORCHARD HOSPITAL,Butte,4,475.0,1460,33.0,POINT (-121.68955 39.36701)
OROVILLE HOSPITAL,Butte,10,2878.0,3650,79.0,POINT (-121.5428 39.50485)
ENLOE MEDICAL CENTER- ESPLANADE,Butte,33,5240.0,12045,44.0,POINT (-121.84918 39.74226)
MARK TWAIN MEDICAL CENTER,Calaveras,8,597.0,2920,20.0,POINT (-120.67095 38.19057)
COLUSA MEDICAL CENTER,Colusa,6,18.0,2190,1.0,POINT (-122.00034 39.20731)
CONTRA COSTA REGIONAL MEDICAL CENTER,Contra Costa,8,2537.0,2920,87.0,POINT (-122.13101 38.00646)
SUTTER DELTA MEDICAL CENTER,Contra Costa,12,2592.0,4380,59.0,POINT (-121.8054 37.98222)
JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Contra Costa,55,15194.0,20075,76.0,POINT (-122.040781 37.91304)
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,Contra Costa,24,5270.0,8760,60.0,POINT (-122.05828 37.8923)
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Contra Costa,36,8041.0,13140,61.0,POINT (-122.03874 37.98615)
SAN RAMON REGIONAL MEDICAL CENTER,Contra Costa,6,1860.0,2190,85.0,POINT (-121.95884 37.77549)
