fac_no,fac_name,fac_city,county,license_no,fac_zip,icu_beds,tot_lic_beds
106105051,DEPARTMENT OF STATE HOSPITAL - COALINGA,COALINGA,Fresno,550000061,93210,0,1500
106281266,NAPA STATE HOSPITAL,NAPA,Napa,150000492,94558,0,1418
106361768,PATTON STATE HOSPITAL,PATTON,San Bernardino,170000831,92369,0,1287
106400683,DEPARTMENT OF STATE HOSPITALS - ATASCADERO,ATASCADERO,San Luis Obispo,150000498,93422,0,1275
106541123,PORTERVILLE DEVELOPMENTAL CENTER,PORTERVILLE,Tulare,170000837,93258,0,1226
106301781,FAIRVIEW DEVELOPMENTAL CENTER,COSTA MESA,Orange,170000771,92626,0,1218
106190958,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,NORWALK,Los Angeles,170000832,90650,0,1106
106190555,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,Los Angeles,930000110,90048,126,889
106380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,San Francisco,220000040,94116,0,780
106430883,SANTA CLARA VALLEY MEDICAL CENTER,SAN JOSE,Santa Clara,070000085,95128-2699,68,731
106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,FRESNO,Fresno,040000096,93721,78,685
106191228,LAC+USC MEDICAL CENTER,LOS ANGELES,Los Angeles,060000130,90033,130,676
106370694,SHARP MEMORIAL HOSPITAL,SAN DIEGO,San Diego,080000039,92123,50,656
106341006,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,SACRAMENTO,Sacramento,030000086,95817,116,625
106190400,HUNTINGTON MEMORIAL HOSPITAL,PASADENA,Los Angeles,930000372,91105,38,619
106190422,TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,Los Angeles,930000076,90505-5073,46,610
106381154,UCSF MEDICAL CENTER,SAN FRANCISCO,San Francisco,220000091,94143,86,590
106540734,KAWEAH DELTA MEDICAL CENTER,VISALIA,Tulare,120000580,93291,41,581
106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,WALNUT CREEK,Contra Costa,140000265,94598,55,554
