year,value
2022,0.85
2021,0.79
2020,1.06
2019,0.94
2018,0.8
2017,0.95
2016,1.11
2015,0.87
2014,0.72
2013,0.65
2012,0.6
2011,0.55
2010,0.79
2009,0.6
2008,0.48
2007,0.69
2006,0.59
2005,0.66
2004,0.59
2003,0.61
2002,0.68
2001,0.54
2000,0.48
1999,0.48
1998,0.72
1997,0.44
1996,0.34
1995,0.51
1994,0.31
1993,0.36
1992,0.37
1991,0.44
1990,0.49
1989,0.27
1988,0.47
1987,0.34
1986,0.28
1985,0.16
1984,0.23
1983,0.39
1982,0.17
1981,0.38
1980,0.32
1979,0.15
1978,0.13
1977,0.25
1976,-0.09
1975,0.08
1974,-0.1
1973,0.3
1972,-0.04
1971,-0.1
1970,0.11
1969,0.07
1968,-0.06
1967,-0.02
1966,-0.02
1965,-0.11
1964,-0.1
1963,0.07
1962,0.11
1961,0.16
1960,0.01
1959,0.12
1958,0.16
1957,0.02
1956,-0.2
1955,-0.12
1954,-0.12
1953,0.18
1952,0.07
1951,-0.13
1950,-0.15
1949,-0.05
1948,-0.03
1947,-0.02
1946,0.07
1945,0.16
1944,0.3
1943,0.04
1942,0.16
1941,0.27
1940,0.12
1939,-0.08
1938,0.0
1937,-0.07
1936,-0.2
1935,-0.16
1934,-0.17
1933,-0.26
1932,-0.1
1931,-0.09
1930,-0.19
1929,-0.39
1928,-0.2
1927,-0.23
1926,-0.02
1925,-0.27
1924,-0.18
1923,-0.31
1922,-0.24
1921,-0.19
1920,-0.2
1919,-0.19
1918,-0.38
1917,-0.53
1916,-0.26
1915,-0.07
1914,-0.13
1913,-0.4
1912,-0.22
1911,-0.54
1910,-0.38
1909,-0.51
1908,-0.42
1907,-0.39
1906,-0.16
1905,-0.37
1904,-0.52
1903,-0.29
1902,-0.21
1901,-0.08
1900,-0.1
1899,-0.23
1898,-0.29
1897,-0.05
1896,-0.15
1895,-0.31
1894,-0.34
1893,-0.41
1892,-0.24
1891,-0.29
1890,-0.32
1889,0.03
1888,-0.21
1887,-0.32
1886,-0.23
1885,-0.31
1884,-0.24
1883,-0.19
1882,-0.05
1881,-0.01
1880,-0.09
