year,count
1962,2.0
1963,0.0
1964,0.0
1965,1.0
1966,2.0
1967,2.0
1968,1.0
1969,3.0
1970,2.0
1971,3.0
1972,1.0
1973,2.0
1974,1.0
1975,1.0
1976,0.0
1977,3.0
1978,6.0
1979,2.0
1980,8.0
1981,1.0
1982,1.0
1983,3.0
1984,2.0
1985,2.0
1986,1.0
1987,6.0
1988,2.0
1989,2.0
1990,1.0
1991,5.0
1992,1.0
1993,0.0
1994,2.0
1995,6.0
1996,1.0
1997,0.0
1998,5.0
1999,1.0
2000,3.0
2001,5.0
2002,6.0
2003,1.0
2004,0.0
2005,3.0
2006,2.0
2007,6.0
2008,2.0
2009,3.0
2010,4.0
2011,5.0
2012,5.0
2013,4.0
2014,1.0
2015,5.0
2016,5.0
2017,0.0
2018,2.0
2019,3.0
2020,3.0
