index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employer_full,fire
2507569,2018,COUNTY,2440124.0,RIVERSIDE,FIRE PROTECTION,DEPUTY FIRE MARSHAL,13303.0,120860.0,21724.0,RIVERSIDE,13303.0,120860.0,21724.0,RIVERSIDE_COUNTY,True
2507867,2018,COUNTY,2440124.0,RIVERSIDE,FLOOD CONTROL,ASSOCIATE ENGINEER,901.0,78757.0,17365.0,RIVERSIDE,901.0,78757.0,17365.0,RIVERSIDE_COUNTY,True
2518317,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,23556.0,105328.0,8435.0,RIVERSIDE,23556.0,105328.0,8435.0,RIVERSIDE_COUNTY,True
2518318,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,19330.0,85881.0,17563.0,RIVERSIDE,19330.0,85881.0,17563.0,RIVERSIDE_COUNTY,True
2518319,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,13108.0,93402.0,18158.0,RIVERSIDE,13108.0,93402.0,18158.0,RIVERSIDE_COUNTY,True
2518320,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,13550.0,85491.0,17297.0,RIVERSIDE,13550.0,85491.0,17297.0,RIVERSIDE_COUNTY,True
2518321,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,4381.0,83662.0,18053.0,RIVERSIDE,4381.0,83662.0,18053.0,RIVERSIDE_COUNTY,True
2518322,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,9180.0,89040.0,18113.0,RIVERSIDE,9180.0,89040.0,18113.0,RIVERSIDE_COUNTY,True
2518323,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,4302.0,67571.0,16414.0,RIVERSIDE,4302.0,67571.0,16414.0,RIVERSIDE_COUNTY,True
2518324,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,21614.0,96289.0,17580.0,RIVERSIDE,21614.0,96289.0,17580.0,RIVERSIDE_COUNTY,True
2518325,2018,COUNTY,2440124.0,RIVERSIDE,RCRMC,STATIONARY ENGINEER,14030.0,84209.0,17116.0,RIVERSIDE,14030.0,84209.0,17116.0,RIVERSIDE_COUNTY,True
2522387,2018,COUNTY,2440124.0,RIVERSIDE,TRANSPORTATION,ASSOCIATE ENGINEER,993.0,110794.0,21202.0,RIVERSIDE,993.0,110794.0,21202.0,RIVERSIDE_COUNTY,True
2522863,2018,COUNTY,2440124.0,RIVERSIDE,WASTE DISPOSAL,ASSOCIATE ENGINEER,290.0,110091.0,21202.0,RIVERSIDE,290.0,110091.0,21202.0,RIVERSIDE_COUNTY,True
3864403,2015,COUNTY,2347828.0,RIVERSIDE,FIRE,FIRE PROTECTION ENGINEER,699.0,104589.0,6933.0,RIVERSIDE,740.5536016403887,110806.52452355738,7345.147525282997,RIVERSIDE_COUNTY,True
3864620,2015,COUNTY,2347828.0,RIVERSIDE,FLOOD CONTROL,ASSOCIATE ENGINEER,172.0,102431.0,28662.0,RIVERSIDE,182.22492057531738,108520.23743866473,30365.876008893876,RIVERSIDE_COUNTY,True
3864621,2015,COUNTY,2347828.0,RIVERSIDE,FLOOD CONTROL,ASSOCIATE ENGINEER,2425.0,111844.0,29935.0,RIVERSIDE,2569.1594906694454,118492.81405131277,31714.552310593754,RIVERSIDE_COUNTY,True
3875602,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,12462.0,88675.0,15765.0,RIVERSIDE,13202.831164009332,93946.48158148995,16702.185307383013,RIVERSIDE_COUNTY,True
3875603,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,2803.0,109446.0,11418.0,RIVERSIDE,2969.630537050085,115952.2596353848,12096.76827400566,RIVERSIDE_COUNTY,True
3875604,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,7262.0,82979.0,15730.0,RIVERSIDE,7693.705658243924,87911.87025825151,16665.10465494036,RIVERSIDE_COUNTY,True
3875605,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,5824.0,78102.0,15425.0,RIVERSIDE,6170.220566457258,82744.94620217115,16341.973255082969,RIVERSIDE_COUNTY,True
3875606,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,18637.0,92186.0,6295.0,RIVERSIDE,19744.917702105755,97666.20074509423,6669.220203614087,RIVERSIDE_COUNTY,True
3875607,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,22461.0,82933.0,14437.0,RIVERSIDE,23796.243843268625,87863.13568646974,15295.239408987542,RIVERSIDE_COUNTY,True
3875608,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,8544.0,64166.0,14011.0,RIVERSIDE,9051.916984857628,67980.48984671985,14843.914896399838,RIVERSIDE_COUNTY,True
3875609,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,7062.0,75057.0,15071.0,RIVERSIDE,7481.816215714485,79518.92943966044,15966.928941805863,RIVERSIDE_COUNTY,True
3875610,2015,COUNTY,2347828.0,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM,STATIONARY ENGINEER,13622.0,54111.0,6933.0,RIVERSIDE,14431.789930680077,57327.74812355232,7345.147525282997,RIVERSIDE_COUNTY,True
3880128,2015,COUNTY,2347828.0,RIVERSIDE,TRANSPORTATION,ASSOCIATE ENGINEER,770.0,103892.0,14415.0,RIVERSIDE,815.7743537383395,110068.08981634228,15271.931570309302,RIVERSIDE_COUNTY,True
