date,location,administered,change
2021-06-09,GU,169246,4.85
2021-06-09,PR,2838539,4.28
2021-06-09,GA,7933928,4.25
2021-06-09,FM,45840,4.2
2021-06-09,DD2,3783427,3.59
2021-06-09,MA,8367584,3.54
2021-06-09,OR,4231860,3.52
2021-06-09,CA,39764396,3.24
2021-06-09,NH,1451393,3.16
2021-06-09,WA,7920142,3.11
2021-06-09,MT,895603,3.08
2021-06-09,PA,13034223,3.05
2021-06-09,VT,801943,2.97
2021-06-09,MD,6345426,2.96
2021-06-09,NY,20311072,2.78
2021-06-09,TX,23733581,2.76
2021-06-09,FL,19383815,2.75
2021-06-09,SC,3886530,2.64
2021-06-09,US,304753476,2.64
2021-06-09,IL,12026308,2.63
2021-06-09,NJ,9390172,2.62
2021-06-09,RI,1197274,2.61
2021-06-09,MP,50325,2.6
2021-06-09,CT,4153505,2.59
2021-06-09,VI,73467,2.5
2021-06-09,CO,5778682,2.45
2021-06-09,VA,8609219,2.44
2021-06-09,IN,5244723,2.43
2021-06-09,DE,967452,2.4
2021-06-09,ME,1527953,2.31
2021-06-09,AZ,6121904,2.31
2021-06-09,MI,8915473,2.23
2021-06-09,OH,10149664,2.21
2021-06-09,UT,2646555,2.21
2021-06-09,MN,5549044,2.19
2021-06-09,NV,2571894,2.14
2021-06-09,KY,3732493,2.06
2021-06-09,WI,5600486,2.03
2021-06-09,LA,3157002,1.99
2021-06-09,NE,1740272,1.99
2021-06-09,DC,807157,1.99
2021-06-09,AR,2123438,1.94
2021-06-09,MO,4780515,1.94
2021-06-09,IA,2906088,1.81
2021-06-09,BP2,185989,1.8
2021-06-09,AK,623531,1.74
2021-06-09,MS,1817502,1.73
2021-06-09,MH,30770,1.7
2021-06-09,WY,404188,1.69
2021-06-09,TN,4944356,1.68
2021-06-09,NC,8300624,1.67
2021-06-09,NM,2190127,1.64
2021-06-09,ID,1260970,1.64
2021-06-09,KS,2368557,1.62
2021-06-09,HI,1615918,1.49
2021-06-09,IH2,1392049,1.48
2021-06-09,OK,3004221,1.4
2021-06-09,WV,1336879,1.29
2021-06-09,ND,621954,1.18
2021-06-09,SD,786116,1.13
2021-06-09,AS,43401,0.81
2021-06-09,VA2,5289587,0.62
2021-06-09,RP,24369,0.59
2021-06-09,AL,3040485,0.5
2021-06-09,LTC,7856576,0.1
