agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Army Corps of Engineers (Civil),45100000,MO,H/S,Bustos,Graves,Hinson,Baldwin,Blunt,Duckworth,Durbin,D
Army Corps of Engineers (Civil),200000,,S,,,,Baldwin,Peters,Stabenow,,D
Department of Education,600000,WI,H,Moore,,,Baldwin,,,,D
Department of Education,750000,WI,H/S,Moore,,,Baldwin,,,,D
Department of Housing and Urban Development,1000000,,H,Pocan,,,Baldwin,,,,D
Rural Development,7000000,,H,Kind,,,Baldwin,,,,D
Rural Development,220000,,H,Pocan,,,Baldwin,,,,D
Environmental Protection Agency,530000,,H,Fitzgerald,,,Baldwin,,,,R
Environmental Protection Agency,1600000,,H,Kind,,,Baldwin,,,,D
DOC,1200000,,H/S,Pocan,,,Baldwin,,,,D
Agricultural Research Service,39700000,,H/S,Pocan,,,Baldwin,,,,D
Small Business Administration,174000,,H/S,Pocan,,,Baldwin,,,,D
DOJ,377000,,S,,,,Baldwin,,,,D
DOJ,533000,,S,,,,Baldwin,,,,D
DOJ,622000,,S,,,,Baldwin,,,,D
DOJ,202000,,S,,,,Baldwin,,,,D
FEMA,1666000,,S,,,,Baldwin,,,,D
Department of Transportation,750000,,S,,,,Baldwin,,,,D
Department of Transportation,5000000,,S,,,,Baldwin,,,,D
Department of Transportation,2000000,,S,,,,Baldwin,,,,D
Department of Housing and Urban Development,500000,,S,,,,Baldwin,,,,D
Department of Housing and Urban Development,800000,,S,,,,Baldwin,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Baldwin,,,,D
Rural Development,23000,,S,,,,Baldwin,,,,D
Rural Development,151000,,S,,,,Baldwin,,,,D
Rural Development,5000000,,S,,,,Baldwin,,,,D
Rural Development,54000,,S,,,,Baldwin,,,,D
Rural Development,4000000,,S,,,,Baldwin,,,,D
Rural Development,250000,,S,,,,Baldwin,,,,D
Army Corps of Engineers (Civil),20000,,S,,,,Baldwin,,,,D
Small Business Administration,95000,,S,,,,Baldwin,,,,D
National Archives and Records Administration,500000,,S,,,,Baldwin,,,,D
Department of Transportation,500000,,S,,,,Baldwin,,,,D
Forest Service,800000,,S,,,,Baldwin,,,,D
Environmental Protection Agency,848000,,S,,,,Baldwin,,,,D
Environmental Protection Agency,1022000,,S,,,,Baldwin,,,,D
Environmental Protection Agency,1600000,,S,,,,Baldwin,,,,D
Environmental Protection Agency,2000000,,S,,,,Baldwin,,,,D
Air NG,2280000,,S,,,,Baldwin,,,,D
Environmental Protection Agency,3730000,,S,,,,Baldwin,,,,D
Department of Transportation,5000000,,S,,,,Baldwin,,,,D
Army Reserve,29200000,,S,,,,Baldwin,,,,D
Department of Labor,2000000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,2000000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,300000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,231000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,300000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,217000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,1021000,,S,,,,Baldwin,,,,D
Department of Health & Human Services,2539000,,S,,,,Baldwin,,,,D
