shopid,shopname,street_address,city,state,zipcode,latitude,longitude,type
4010,WALMART #4599  ,4500 Weitzel St,Timnath,CO,80547,40.52654266357422,-104.99043273925781,grocery
949,KING SOOPERS #104  ,1520 Main St,Windsor,CO,80550,40.48143005371094,-104.9276123046875,grocery
4041,WALMART #5051  ,920 47Th Ave,Greeley,CO,80634,40.42274856567383,-104.75469970703125,grocery
3239,WALMART #1008  ,250 W 65Th St,Loveland,CO,80538,40.456878662109375,-105.08097839355469,grocery
3220,WALMART #0953  ,1325 Denver Ave,Loveland,CO,80537,40.4044189453125,-105.046630859375,grocery
935,KING SOOPERS #074  ,1275 Eagle Dr,Loveland,CO,80537,40.38005447387695,-105.09947967529297,grocery
948,KING SOOPERS #102  ,1611 Pace St,Longmont,CO,80504,40.18653869628906,-105.07592010498047,grocery
968,KING SOOPERS #136  ,100 N 50Th Ave,Brighton,CO,80601,39.98872375488281,-104.74987030029297,grocery
965,KING SOOPERS #129  ,1891 State Hwy 7,Erie,CO,80516,40.0023078918457,-105.0099105834961,grocery
3446,WALMART #1659  ,60 W Bromley Ln,Brighton,CO,80601,39.969608306884766,-104.82381439208984,grocery
967,KING SOOPERS #135  ,480 N Us Highway 287,Lafayette,CO,80026,40.001869201660156,-105.10169219970703,grocery
929,KING SOOPERS #061  ,1650 30Th St,Boulder,CO,80301,40.01580047607422,-105.2518310546875,grocery
911,KING SOOPERS #013  ,1375 E South Boulder Rd,Louisville,CO,80027,39.988380432128906,-105.1242446899414,grocery
2946,TARGET #2197  ,14451 Orchard Pkwy,Westminster,CO,80023,39.959049224853516,-104.99568939208984,grocery
955,KING SOOPERS #116  ,13525 E Quebec,Thornton,CO,80602,39.941184997558594,-104.90538787841797,grocery
919,KING SOOPERS #033  ,3600 Table Mesa Dr,Boulder,CO,80305,39.98344039916992,-105.25135803222656,grocery
3999,WALMART #4567  ,7101 E 128Th Ave,Brighton,CO,80602,39.93113708496094,-104.90591430664062,grocery
956,KING SOOPERS #118  ,2355 W 136Th Ave,Broomfield,CO,80023,39.94468688964844,-105.01436614990234,grocery
3901,WALMART #3867  ,200 W 136Th Ave,Westminster,CO,80234,39.94035720825195,-104.99055480957031,grocery
932,KING SOOPERS #068  ,3801 E 120Th Ave,Thornton,CO,80233,39.91472625732422,-104.94359588623047,grocery
944,KING SOOPERS #089  ,1150 Us Highway 287,Broomfield,CO,80020,39.9330940246582,-105.08804321289062,grocery
954,KING SOOPERS #114  ,15051 E 104Th Ave,Commerce City,CO,80022,39.88772964477539,-104.81192779541016,grocery
3951,WALMART #4288  ,4651 W 121St Ave,Broomfield,CO,80020,39.916683197021484,-105.04653930664062,grocery
942,KING SOOPERS #086  ,12167 Sheridan Blvd,Broomfield,CO,80020,39.917030334472656,-105.05496215820312,grocery
915,KING SOOPERS #024  ,750 E 104Th Ave,Thornton,CO,80233,39.883792877197266,-104.97632598876953,grocery
930,KING SOOPERS #062  ,10351 Federal Blvd,Westminster,CO,80260,39.88310623168945,-105.02764129638672,grocery
3307,WALMART #1231  ,9901 Grant St,Thornton,CO,80229,39.876197814941406,-104.98617553710938,grocery
2938,TARGET #1928  ,10445 Reed St,Westminster,CO,80021,39.886436462402344,-105.0792236328125,grocery
3561,WALMART #2223  ,9499 Sheridan Blvd,Westminster,CO,80031,39.868125915527344,-105.05671691894531,grocery
920,KING SOOPERS #034  ,1575 W 84Th Ave,Denver,CO,80260,39.84906768798828,-105.00577545166016,grocery
969,KING SOOPERS #137  ,14967 Candelas Parkway,Arvada,CO,80007,39.86162185668945,-105.16767120361328,grocery
958,KING SOOPERS #121  ,8055 Sheridan Blvd,Arvada,CO,80003,39.8435173034668,-105.05646514892578,grocery
921,KING SOOPERS #036  ,8031 Wadsworth Blvd,Arvada,CO,80003,39.843353271484375,-105.08377838134766,grocery
3896,WALMART #3824  ,7155 Sheridan Blvd,Westminster,CO,80003,39.825286865234375,-105.05638885498047,grocery
3655,WALMART #2752  ,5990 Dahlia St,Commerce City,CO,80022,39.80454635620117,-104.92809295654297,grocery
939,KING SOOPERS #083  ,18605 Green Valley Ranch,Denver,CO,80249,39.785343170166016,-104.77007293701172,grocery
908,KING SOOPERS #003  ,6350 Sheridan Blvd,Arvada,CO,80003,39.81106185913086,-105.05168914794922,grocery
2943,TARGET #2052  ,7930 Northfield Blvd,Denver,CO,80238,39.78349685668945,-104.89554595947266,grocery
4027,WALMART #4734  ,9400 W 58Th Ave,Arvada,CO,80002,39.802833557128906,-105.10135650634766,grocery
941,KING SOOPERS #085  ,15200 W 64Th Ave,Arvada,CO,80007,39.810630798339844,-105.17194366455078,grocery
959,KING SOOPERS #123  ,10406 E. Martin Luther King,Denver,CO,80238,39.759544372558594,-104.86656188964844,grocery
4224,WALMART #5957  ,5957 W 44Th Ave,Wheat Ridge,CO,80212,39.77924346923828,-105.06121063232422,grocery
926,KING SOOPERS #057  ,5301 W 38Th Ave,Wheat Ridge,CO,80212,39.77030563354492,-105.05458068847656,grocery
914,KING SOOPERS #020  ,3400 Youngfield St,Wheat Ridge,CO,80033,39.76462173461914,-105.13994598388672,grocery
