arrest_charge,cases_count
PUBLIC INTOXICATION - MC,28
93OC - OUTSIDE WARRANT (FELONY),24
93OC - OUTSIDE WARRANT (MA & MB),23
POSSESSION OF COCAINE/METH/OPIUM (PG1 SUBSTANCE),16
AGGRAVATED ASSAULT,11
HOLD PPD - FOR FURTHER INVESTIGATION,11
"PUBLIC INTOXICATION - MC, M",10
TERRORISTIC THREAT - MA & MB,8
PUBLIC INTOXICATION - OTHER THAN ALCOHOL - MC,8
POSS DRUG PARAPHERNALIA,8
ASSAULT - FEL (FAMILY VIOLENCE),8
DL - NO TEXAS DL,6
DRIVING WHILE INTOXICATED - MA & MB,5
"93OC - OUTSIDE WARRANT (MA & MB), M",4
EVADING ARREST OR DETENTION - FEL,4
"THEFT - ALL OTHER - FEL, F",4
THEFT - ALL OTHER - MA & MB,4
THEFT - SHOPLIFTING - FEL,4
CRIMINAL MISCHIEF - MA & MB,4
THEFT - SHOPLIFTING - MA & MB,4
"FRAUDULENT USE OR POSSESSION OF IDENTIFYING INFORMATION, F",4
ASSAULT - MA (FAMILY VIOLENCE) (MINOR INJ),4
AGGRAVATED ROBBERY - INDIVIDUAL,4
AGGRAVATED ASSAULT (FAMILY VIOLENCE),4
BURGLARY HABITATION,3
TAMPERING WITH OR FABRICATING PHYSICAL EVIDENCE - FEL,3
"CRIMINAL TRESPASS - MA & MB, M",3
93OC - OUTSIDE WARRANT (CLASS C),3
DISORDERLY CONDUCT - LANGUAGE,3
FAIL TO STOP AND GIVE INFORMATION - MB,2
POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA - MA,2
"RESISTING ARREST, SEARCH OR TRANSPORTATION - MA",2
"SPEEDING, M",2
FAILURE TO IDENTIFY - MC,2
EVADING ARREST OR DETENTION - MA,2
RED LIGHT,2
SPEEDING,2
"THEFT - ALL OTHER - MA & MB, M",2
UNLAWFUL CARRYING WEAPON - MA,2
"THEFT - SHOPLIFTING - MA & MB, M",2
"93OC - OUTSIDE WARRANT (FELONY), F",2
ABANDONING OR ENDANGERING CHILD,2
"POSS DRUG PARAPHERNALIA, M",2
ASSAULT - FEL,2
ASSAULT - MA (FAMILY VIOLENCE),2
ASSAULT - MC,2
"PUBLIC INTOXICATION - OTHER THAN ALCOHOL - MC, M",2
THEFT - ALL OTHER - FEL,2
"NO LIABILITY INSURANCE, M",2
POSSESSION OF MARIJUANA - MA & MB,1
"POSSESSION OF DANGEROUS DRUG, M",1
"POSSESSION OF DANGEROUS DRUG, F",1
"POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA - FEL, F",1
POSSESSION OF MARIJUANA - FEL,1
POSSESSION OF XANAX/VALIUM/RITALIN (PG3 SUBSTANCE) FEL,1
POSSESSION OF DANGEROUS DRUG,1
POSSESSION OF SUBSTANCE IN PENALTY GROUP 1A,1
93MW - MUNICIPAL WARRANT (LOCAL),1
"RED LIGHT, M",1
"TERRORISTIC THREAT - MA & MB, M",1
"VIOLATE PROMISE TO APPEAR (TRC 543.009), M",1
UNSAFE LANE CHANGE,1
UNLAWFUL RESTRAINT - MA,1
UNLAWFUL COLLECTION OR TRANSPORT OF RUBBISH,1
"THEFT - SHOPLIFTING - FEL, F",1
THEFT - ALL OTHER - MC,1
"POSSESSION OF COCAINE/METH/OPIUM (PG1 SUBSTANCE), F",1
REGISTRATION - NOT VALID OR EXPIRED,1
"TAMPERING WITH OR FABRICATING PHYSICAL EVIDENCE - MA, M",1
"STOP SIGN, M",1
"SPEEDING 15 OR MORE OVER POSTED LIMIT, M",1
"SPEEDING - SCHOOL ZONE, M",1
"RESISTING ARREST, SEARCH OR TRANSPORTATION - MA, M",1
"RESISTING ARREST, SEARCH OR TRANSPORTATION - FEL",1
TERRORISTIC THREAT - FEL,1
"INDECENCY WITH A CHILD, F",1
POSSESSION OF COCAINE/CRACK/OPIUM (PG1 SUBSTANCE),1
"PARKED IN FIRE ZONE, M",1
"DRIVING WHILE LICENSE INVALID - MC, M",1
DRIVING WHILE LICENSE INVALID - MC,1
DRIVING WHILE LICENSE INVALID - MA & MB,1
DRIVERS LICENSE - GENERAL VIOLATIONS,1
"DL - NO TEXAS DL, M",1
DISORDERLY CONDUCT - MC,1
DISORDERLY CONDUCT - MB,1
DISCHARGE OF FIREARM IN CERTAIN MUNICIPALITIES,1
"DEADLY CONDUCT - FEL, F",1
CUTTING THROUGH PROPERTY-INTERSECTION (TCD),1
CRIMINAL TRESPASS - MC,1
CRIMINAL TRESPASS - MA & MB,1
CLASS C THEFT - LESS THAN $100,1
BURGLARY BUILDING,1
"BRIBERY, F",1
"ASSAULT - MA (FAMILY VIOLENCE) (MINOR INJ), M",1
AGGRAVATED ROBBERY - BUSINESS,1
"AGGRAVATED ASSAULT (FAMILY VIOLENCE), F",1
"ABANDONING OR ENDANGERING CHILD, F",1
"EVADING ARREST OR DETENTION - MA, M",1
EVADING ARREST OR DETENTION - MB,1
FAIL TO CONTROL SPEED,1
"HOLD PPD - FOR FURTHER INVESTIGATION, M",1
OBSTRUCTION OR RETALIATION,1
NO SEATBELT - DRIVER,1
NO LIABILITY INSURANCE,1
MFG OR DELIVERY OF PENALTY GROUP 3 OR 4 SUBSTANCES,1
LITTERING - CITY ORDINANCE,1
LITTERING (STATE LAW),1
"INJURY TO A CHILD/ELDERLY INDIV/DISABLED INDIVIDUAL, F",1
INJURY TO A CHILD/ELDERLY INDIV/DISABLED INDIVIDUAL,1
"HOLD PPD - FOR FURTHER INVESTIGATION, F",1
FAIL TO DISPLAY DRIVERS LICENSE,1
FRAUDULENT USE/POSSESSION OF IDENTIFYING INFORMATION,1
FALSIFICATION OF DRUG TEST RESULTS - MA & MB,1
FALSE REPORT TO PEACE OFFICER OR LAW ENFORCEMENT EMPLOYEE,1
"FAILURE TO IDENTIFY - MC, M",1
"FAILURE TO IDENTIFY - MA & MB, F",1
FAILURE TO IDENTIFY - MA & MB,1
"FAIL TO YIELD RIGHT OF WAY, M",1
"FAIL TO DRIVE IN A SINGLE LANE, M",1
WALK IN STREET / SIDEWALK PROVIDED,1
