Jurisdiction,Week of Allocations,1st Dose Allocations
Connecticut,03/22/2021,4200
Maine,03/22/2021,1600
Massachusetts,03/22/2021,8000
New Hampshire,03/22/2021,1600
Rhode Island,03/22/2021,1300
Vermont,03/22/2021,800
New Jersey,03/22/2021,10200
New York,03/22/2021,12900
New York City,03/22/2021,9800
Puerto Rico,03/22/2021,4000
U.S. Virgin Islands,03/22/2021,200
Delaware,03/22/2021,1100
District of Columbia,03/22/2021,900
Maryland,03/22/2021,6900
Pennsylvania,03/22/2021,13000
Philadelphia,03/22/2021,1800
Virginia,03/22/2021,9600
West Virginia,03/22/2021,2200
Alabama,03/22/2021,5600
Florida,03/22/2021,24100
Georgia,03/22/2021,11500
Kentucky,03/22/2021,5100
Mississippi,03/22/2021,3400
North Carolina,03/22/2021,11500
South Carolina,03/22/2021,5700
Tennessee,03/22/2021,7600
Chicago,03/22/2021,3100
Illinois,03/22/2021,11500
Indiana,03/22/2021,7500
Michigan,03/22/2021,11400
Minnesota,03/22/2021,6300
Ohio,03/22/2021,13200
Wisconsin,03/22/2021,6700
Arkansas,03/22/2021,3400
Louisiana,03/22/2021,5200
New Mexico,03/22/2021,2400
Oklahoma,03/22/2021,4400
Texas,03/22/2021,30200
Iowa,03/22/2021,3600
Kansas,03/22/2021,3300
Missouri,03/22/2021,6900
Nebraska,03/22/2021,2200
Colorado,03/22/2021,6300
Montana,03/22/2021,1200
North Dakota,03/22/2021,900
South Dakota,03/22/2021,1000
Utah,03/22/2021,3200
Wyoming,03/22/2021,700
Arizona,03/22/2021,7900
California,03/22/2021,44000
Hawaii,03/22/2021,1700
Nevada,03/22/2021,3300
American Samoa,03/22/2021,100
Guam,03/22/2021,200
Marshall Islands,03/22/2021,100
Micronesia,03/22/2021,100
Mariana Islands,03/22/2021,100
Palau,03/22/2021,100
Alaska,03/22/2021,1300
Idaho,03/22/2021,1900
Oregon,03/22/2021,4800
Washington,03/22/2021,8400
Federal Entities,03/22/2021,16700
Connecticut,03/15/2021,4200
Maine,03/15/2021,1600
Massachusetts,03/15/2021,8000
New Hampshire,03/15/2021,1600
Rhode Island,03/15/2021,1300
Vermont,03/15/2021,800
New Jersey,03/15/2021,10200
New York,03/15/2021,12900
New York City,03/15/2021,9800
Puerto Rico,03/15/2021,4000
U.S. Virgin Islands,03/15/2021,200
Delaware,03/15/2021,1100
District of Columbia,03/15/2021,900
Maryland,03/15/2021,6900
Pennsylvania,03/15/2021,13000
Philadelphia,03/15/2021,1800
Virginia,03/15/2021,9600
West Virginia,03/15/2021,2200
Alabama,03/15/2021,5600
Florida,03/15/2021,24100
Georgia,03/15/2021,11500
Kentucky,03/15/2021,5100
Mississippi,03/15/2021,3400
North Carolina,03/15/2021,11500
South Carolina,03/15/2021,5700
Tennessee,03/15/2021,7600
Chicago,03/15/2021,3100
Illinois,03/15/2021,11500
Indiana,03/15/2021,7500
Michigan,03/15/2021,11400
Minnesota,03/15/2021,6300
Ohio,03/15/2021,13200
Wisconsin,03/15/2021,6700
Arkansas,03/15/2021,3400
Louisiana,03/15/2021,5200
New Mexico,03/15/2021,2400
Oklahoma,03/15/2021,4400
Texas,03/15/2021,30200
Iowa,03/15/2021,3600
Kansas,03/15/2021,3300
Missouri,03/15/2021,6900
Nebraska,03/15/2021,2200
Colorado,03/15/2021,6300
Montana,03/15/2021,1200
North Dakota,03/15/2021,900
South Dakota,03/15/2021,1000
Utah,03/15/2021,3200
Wyoming,03/15/2021,700
Arizona,03/15/2021,7900
California,03/15/2021,44000
Hawaii,03/15/2021,1700
Nevada,03/15/2021,3300
American Samoa,03/15/2021,100
Guam,03/15/2021,200
Marshall Islands,03/15/2021,100
Micronesia,03/15/2021,100
Mariana Islands,03/15/2021,100
Palau,03/15/2021,100
Alaska,03/15/2021,1300
Idaho,03/15/2021,1900
Oregon,03/15/2021,4800
Washington,03/15/2021,8400
Federal Entities,03/15/2021,120500
Connecticut,03/01/2021,30200
Maine,03/01/2021,11500
Massachusetts,03/01/2021,58100
New Hampshire,03/01/2021,11600
Rhode Island,03/01/2021,9100
Vermont,03/01/2021,5400
New Jersey,03/01/2021,73600
New York,03/01/2021,93700
New York City,03/01/2021,71100
Puerto Rico,03/01/2021,28800
U.S. Virgin Islands,03/01/2021,900
Delaware,03/01/2021,8000
District of Columbia,03/01/2021,6000
Maryland,03/01/2021,49600
Pennsylvania,03/01/2021,94600
Philadelphia,03/01/2021,13100
Virginia,03/01/2021,69700
West Virginia,03/01/2021,15500
Alabama,03/01/2021,40100
Florida,03/01/2021,175100
Georgia,03/01/2021,83000
Kentucky,03/01/2021,36500
Mississippi,03/01/2021,24200
North Carolina,03/01/2021,83700
South Carolina,03/01/2021,41100
Tennessee,03/01/2021,54800
Chicago,03/01/2021,22300
Illinois,03/01/2021,83100
Indiana,03/01/2021,53900
Michigan,03/01/2021,82700
Minnesota,03/01/2021,45200
Ohio,03/01/2021,96100
Wisconsin,03/01/2021,48000
Arkansas,03/01/2021,24400
Louisiana,03/01/2021,37900
New Mexico,03/01/2021,17200
Oklahoma,03/01/2021,31500
Texas,03/01/2021,219200
Iowa,03/01/2021,25600
Kansas,03/01/2021,23400
Missouri,03/01/2021,50100
Nebraska,03/01/2021,15500
Colorado,03/01/2021,45500
Montana,03/01/2021,8700
North Dakota,03/01/2021,6300
South Dakota,03/01/2021,7000
Utah,03/01/2021,22800
Wyoming,03/01/2021,4800
Arizona,03/01/2021,56800
California,03/01/2021,320100
Hawaii,03/01/2021,11900
Nevada,03/01/2021,24000
American Samoa,03/01/2021,400
Guam,03/01/2021,1300
Marshall Islands,03/01/2021,600
Micronesia,03/01/2021,800
Mariana Islands,03/01/2021,400
Palau,03/01/2021,200
Alaska,03/01/2021,8900
Idaho,03/01/2021,13300
Oregon,03/01/2021,34400
Washington,03/01/2021,60900
Federal Entities,03/01/2021,139200
