Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Connecticut,03/22/2021,35800,35800
Maine,03/22/2021,13700,13700
Massachusetts,03/22/2021,69000,69000
New Hampshire,03/22/2021,13700,13700
Rhode Island,03/22/2021,10800,10800
Vermont,03/22/2021,6500,6500
New Jersey,03/22/2021,87400,87400
New York,03/22/2021,111300,111300
New York City,03/22/2021,84500,84500
Puerto Rico,03/22/2021,34200,34200
U.S. Virgin Islands,03/22/2021,1100,1100
Delaware,03/22/2021,9500,9500
District of Columbia,03/22/2021,7200,7200
Maryland,03/22/2021,59000,59000
Pennsylvania,03/22/2021,112400,112400
Philadelphia,03/22/2021,15600,15600
Virginia,03/22/2021,82800,82800
West Virginia,03/22/2021,18500,18500
Alabama,03/22/2021,47700,47700
Florida,03/22/2021,208000,208000
Georgia,03/22/2021,98600,98600
Kentucky,03/22/2021,43400,43400
Mississippi,03/22/2021,28700,28700
North Carolina,03/22/2021,99500,99500
South Carolina,03/22/2021,48800,48800
Tennessee,03/22/2021,65200,65200
Chicago,03/22/2021,26500,26500
Illinois,03/22/2021,98700,98700
Indiana,03/22/2021,64100,64100
Michigan,03/22/2021,98200,98200
Minnesota,03/22/2021,53800,53800
Ohio,03/22/2021,114100,114100
Wisconsin,03/22/2021,57100,57100
Arkansas,03/22/2021,28900,28900
Louisiana,03/22/2021,45000,45000
New Mexico,03/22/2021,20500,20500
Oklahoma,03/22/2021,37500,37500
Texas,03/22/2021,260400,260400
Iowa,03/22/2021,30400,30400
Kansas,03/22/2021,27800,27800
Missouri,03/22/2021,59500,59500
Nebraska,03/22/2021,18400,18400
Colorado,03/22/2021,54100,54100
Montana,03/22/2021,10400,10400
North Dakota,03/22/2021,7500,7500
South Dakota,03/22/2021,8300,8300
Utah,03/22/2021,27100,27100
Wyoming,03/22/2021,5700,5700
Arizona,03/22/2021,67600,67600
California,03/22/2021,380300,380300
Hawaii,03/22/2021,14200,14200
Nevada,03/22/2021,28500,28500
American Samoa,03/22/2021,0,0
Guam,03/22/2021,0,0
Marshall Islands,03/22/2021,0,0
Micronesia,03/22/2021,0,0
Mariana Islands,03/22/2021,0,0
Palau,03/22/2021,0,0
Alaska,03/22/2021,0,0
