2022-10-28 09:51:39,882 INFO using config /Users/stiles/Library/Application Support/twarc/config
2022-10-28 09:51:39,882 INFO creating HTTP session headers for app auth.
2022-10-28 09:51:39,883 INFO getting ('https://api.twitter.com/2/users/by',) {'params': {'tweet.fields': 'attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,id,in_reply_to_user_id,lang,public_metrics,text,possibly_sensitive,referenced_tweets,reply_settings,source,withheld', 'user.fields': 'created_at,description,entities,id,location,name,pinned_tweet_id,profile_image_url,protected,public_metrics,url,username,verified,withheld', 'usernames': 'elonmusk'}}
2022-10-28 09:51:40,191 WARNING Unable to expand dictionary without includes: {'data': [{'name': 'Elon Musk', 'created_at': '2009-06-02T20:12:29.000Z', 'id': '44196397', 'description': 'Chief Twit', 'location': 'Twitter HQ', 'verified': True, 'username': 'elonmusk', 'public_metrics': {'followers_count': 110920792, 'following_count': 122, 'tweet_count': 19878, 'listed_count': 99511}, 'protected': False, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1580062742693699584/RJ5EI7PS_normal.jpg'}], '__twarc': {'url': 'https://api.twitter.com/2/users/by?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&usernames=elonmusk', 'version': '2.9.5', 'retrieved_at': '2022-10-28T16:51:40+00:00'}}
2022-10-28 09:51:40,232 INFO getting ('https://api.twitter.com/2/tweets/search/all',) {'params': {'expansions': 'author_id,in_reply_to_user_id,referenced_tweets.id,referenced_tweets.id.author_id,entities.mentions.username,attachments.poll_ids,attachments.media_keys,geo.place_id', 'tweet.fields': 'attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,id,in_reply_to_user_id,lang,public_metrics,text,possibly_sensitive,referenced_tweets,reply_settings,source,withheld', 'user.fields': 'created_at,description,entities,id,location,name,pinned_tweet_id,profile_image_url,protected,public_metrics,url,username,verified,withheld', 'media.fields': 'alt_text,duration_ms,height,media_key,preview_image_url,type,url,width,public_metrics', 'poll.fields': 'duration_minutes,end_datetime,id,options,voting_status', 'place.fields': 'contained_within,country,country_code,full_name,geo,id,name,place_type', 'start_time': None, 'end_time': None, 'query': 'from:elonmusk', 'max_results': 100, 'since_id': 1585981766229143552}}
2022-10-28 09:51:41,355 INFO Retrieved an empty page of results.
2022-10-28 09:51:41,356 INFO No more results for search from:elonmusk.
2022-11-11 07:48:45,899 INFO using config /Users/mstiles/Library/Application Support/twarc/config
2022-11-11 07:48:45,899 INFO creating config file: /Users/mstiles/Library/Application Support/twarc/config
2022-11-11 07:48:45,899 INFO creating config directory: /Users/mstiles/Library/Application Support/twarc
2022-11-11 07:51:10,722 INFO using config /Users/mstiles/Library/Application Support/twarc/config
2022-11-11 07:51:10,722 INFO creating HTTP session headers for app auth.
2022-11-11 07:51:10,742 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day'}}
2022-11-11 07:51:12,734 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n5f6gnbifiruntgc0ot'}}
2022-11-11 07:51:14,183 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4dnrf84f3om9f8k9rx'}}
2022-11-11 07:51:15,536 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4diak5cstmf8hz2s8t'}}
2022-11-11 07:51:16,899 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4dctp2l6jk87kplapp'}}
2022-11-11 07:51:18,398 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4d7ctvxevh04hbbce5'}}
2022-11-11 07:51:20,135 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4d1vyt5slet3k1tuv1'}}
2022-11-11 07:51:22,600 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4cwed0t72ac6jx1665'}}
2022-11-11 07:51:24,135 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4cqxhy1ks855mnjon1'}}
2022-11-11 07:51:25,559 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4clgmjlic2uy6zosql'}}
2022-11-11 07:51:27,003 INFO getting ('https://api.twitter.com/2/tweets/counts/all',) {'params': {'start_time': '2006-03-21T00:00:00+00:00', 'end_time': None, 'query': 'elonmusk OR Elon Musk', 'granularity': 'day', 'next_token': '1jzu9lk96azp0b3x7888hrpw8n4cfzrgtw20nx9q7b7h'}}
