License No ,Name,Address,City,State,Zip,Expires,WC Carrier,WC Exp Date,Bond Issuer,Bond Eff Date
TA000205532,ALISON MARCKSTADT  dba RANK ARTISTS MANAGEMENT,408 NORTH BEACHWOOD DRIVE,BURBANK,CA,91506,11/14/17,,,Great America,12/5/16
TA000205812,Hadassah Group LLC,"1801 Century Park East, 24th Floor",Los Angeles,CA,90067,3/8/20,,,The Gray Casualty & Surety Company,12/24/18
TA000206121,Rae Model & Talent Agency LLC,"414 Mason Street, Suite 705",San Francisco,CA,94102,2/14/20,State Fund,4/6/19,Philadelphia,2/29/12
TA000206852,James Weissenbach  dba Weissenbach Management,5951 Airdrome Street,Los Angeles,CA,90035,3/17/20,,,Cna Surety,3/17/06
TA000206953,Paradigm Talent Agency LLC,8942 Wilshire Boulevard,Beverly Hills,CA,90211,12/24/19,FEDERAL INSUR,2/12/19,HARTFORD,2/12/18
TA000206974,Shinn Entertainment Corporation  dba International,191 E. City Place Dr.,Santa Ana,CA,92705,12/22/16,,,Hartford,2/28/13
TA000206977,"Ford Models, Inc.","11 E. 26th St., Floor 14",New York,NY,10010,1/22/17,AMERICAN ZURICH INSURANCE COMPANY,2/1/17,TRAVELERS CASUALTY AND SURETY COMPANY,5/1/98
TA000206980,"Closeup Models, LLC","5455 Wilshire Blvd, Suite 2020",Los Angeles,CA,90036,7/7/16,,,Washington International Insurance Company,12/1/15
TA000206983,KRISTINE KRUPP  dba KRISTINE KRUPP TALENT AGENCY,15 DEL HARO WAY,SAN RAFAEL,CA,94903,12/10/19,,,Hartford Fire Insurance,4/28/06
TA000206994,Craig Scagnetti  dba Jack Scagnetti Agency,5136 Vineland Ave,North Hollywood,CA,91601,4/23/20,,,Hartford Fire,10/6/15
TA000207047,DGReps Inc.,7083 Hollywood Blvd.,Los Angeles,CA,90028,1/6/18,,,HCC Surety,4/1/16
TA000207061,GREGORY DAVID MAYO  dba GREGORY DAVID MAYO REPRESE,"8265 WEST SUNSET BLVD, SUITE 207B",WEST HOLLYWOOD,CA,90046,3/3/20,,,Surety1,5/1/18
TA000207064,David Michael Hewitt  dba David M. Hewitt Enterpri,638 Lindero Canyon Rd #240,Oak Park,CA,91377,3/12/20,,,Hartford Ins,1/1/06
TA000207109,Phillip L. Brock  dba Studio Talent Group,1328 12th Street,Santa Monica,CA,90401,12/25/16,,,State Farm Fire and Casualty Company,10/24/06
TA000207244,Willow Model Management LLC  dba Willow Models & T,206 W. 4th Street  #425,Santa Ana,CA,92701,2/13/21,,,Hanover,2/13/19
TA000207244,Willow Model Management LLC  dba Willow Models & T,"206 W. 4th Street, #425",Santa Ana,CA,92701,2/13/20,,,The Hanover Insurance Company,3/8/19
TA000207481,"Prestige Talent Agency, Inc.","9100 Wilshire Blvd., Ste. 725E",Beverly Hills,CA,90212,12/6/16,State Compensation Insurance Fund,9/10/16,NATIONWIDE MUTUAL INSURANCE CO.,7/18/14
TA000207493,ALOK KUMAR  dba DEAL POINTS ENTERTAINMENT,3141 Michelson Drive Suite 401 East,Irvine,CA,90623,6/4/17,,,Aegis,9/1/15
TA000207596,Deborah Graci  dba Talents Hunters,23216 Respit Dr,Lake Forest,CA,92630,5/26/20,,,Philadelphia,10/6/19
TA000207668,John E. Hutcheson  dba BOOM! MODELS AND TALENT,"2339 3rd Street, #49",San Francisco,CA,94107,10/12/18,,,HARTFORD FIRE INSURANCE COMPANY,2/1/14
TA000207674,Crown North Talent Management Inc.  dba Crown Nort,"1045 North El Dorado St., #12",Stockton,CA,95202,12/15/19,,,The Hartford Fire Insurance,11/14/18
TA000207721,John T. Paizis  dba 98 West Talent,231 E. Spruce Ave.,Inglewood,CA,90301,7/26/18,,,Old Republic,3/8/17
TA000207736,Carrie Macy  dba Carrie Macy Talent Agency,9595 Wilshire Blvd. Ste. 900,Beverly Hills,CA,90212,10/1/20,,,World Wide,12/30/18
TA000207745,"DPM Talent Agency, Inc.","14520 Magnolia, #202",Sherman Oaks,CA,91403,12/29/19,,,The Hanover Insurance Company,7/1/18
TA000207781,"No Ties Management, LLC","434 West Cedar Street, Suite 200",San Diego,CA,92101,3/7/20,PAYCHEX INSUR,1/1/20,VIKING BOND,11/17/19
TA000207794,Bonnie Howard  dba Howard Talent West,17000 Ventura Blvd,Encino,CA,91316,1/3/18,,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,5/13/14
TA000207831,Media Artists Group Inc.,"8222 Melrose Ave, Suite 203",Los Angeles,CA,90046,9/21/16,,,State Farm Insurance Company,9/18/08
TA000207907,"The Polygon Group, Inc.","303 N Glenoaks Blvd., Suite 200",Burbank,CA,91502,4/18/20,State Fund,4/1/20,Surety Bonds,11/5/18
TA000207908,"ASTON MODELS, INC  dba Aston Models and Talent",332 S. BEVERLY DR. #100,BEVERLY HILLS,CA,90212,12/30/19,SCIF,3/6/19,Bond Express,9/3/17
TA000207917,JOHN STEVEN  dba MATRIX MODELS,4230 CENTINELA AVE APT 104,LOS ANGELES,CA,90066,1/8/20,,,ARTISAN BOND,6/6/18
TA000207990,Metric Models LLC,628 1/2 Sunset Ave,Venice,CA,90291,1/25/17,,,American Contractors Indemnity Company,3/13/15
TA000208021,Green and Green Talent Group,"6363 Wilshire blvd., Ste 420",Los Angeles,CA,90048,2/12/17,,,Washington International Insurance Company,3/25/15
TA000208063,LINDA ELIANA PAQUETTE,847 SOUTH GRAND AVENUE,PASADENA,CA,91105,11/6/19,,,American Contractors Indemnity,11/7/19
TA000208070,M.O.B. INC.,6404 WILSHIRE BLVD #505,LOS ANGELES,CA,90048,2/7/20,State Fund,7/1/19,WesternSurety,10/4/18
TA000208132,VINCENT ANTHONY CESARANI  dba THIRD WAVE ASSOCIATE,6320 CANOGA AVENUE SUITE 1502,WOODLAND HILLS,CA,91367,2/12/19,,,Philadelphia Indemnity Insurance,3/2/15
TA000208140,"EPIC ENTERTAINMENT, LLC",77570 SPRINGFIELD LANE STE J,PALM DESERT,CA,92211,2/16/20,Travelers Property Casualty,1/15/20,American Contractors Indemnity,3/6/07
TA000208150,RUSSELL TODD  dba RUSSELL TODD AGENCY,5238 GOODLAND AVENUE,VALLEY VILLAGE,CA,91607,3/14/20,,,The Gray Casu,7/15/18
TA000208245,"JORDAN LEE, INC.  dba GOLD LEVIN TALENT",8424A SANTA MONICA BLVD #706,LOS ANGELES,CA,90069,1/4/20,,,Hartford Fire Insurance Company,3/12/12
TA000208245,"JORDAN LEE, INC.  dba GOLD LEVIN TALENT",8424A SANTA MONICA BLVD #706,LOS ANGELES,CA,90069,1/4/21,,,Hartford,3/12/19
TA000208258,"THE SAVAGE AGENCY, INC.",1041 N. Formosa Ave. Santa Monica E. Bldg. Ste 103,West Hollywood,CA,90046,2/13/20,AmGuard Insurance Company,8/10/19,Surety1,2/23/18
TA000208408,"It model management, LLC  dba it model and talent ",5151 California Ave. #100,Irvine,CA,92617,4/7/20,,,International Fidelity Insurance Company,4/8/16
TA000208422,Kyle Scudiere  dba Influence Artist Agency,1600 Main Street,Venice,CA,90291,11/17/16,,,Old Republic,2/1/16
