state,population,seats,seats_change,year
Alabama,5030053,7,0,2020
Alaska,736081,1,0,2020
Arizona,7158923,9,0,2020
Arkansas,3013756,4,0,2020
California,39576757,52,-1,2020
Colorado,5782171,8,1,2020
Connecticut,3608298,5,0,2020
Delaware,990837,1,0,2020
Florida,21570527,28,1,2020
Georgia,10725274,14,0,2020
Hawaii,1460137,2,0,2020
Idaho,1841377,2,0,2020
Illinois,12822739,17,-1,2020
Indiana,6790280,9,0,2020
Iowa,3192406,4,0,2020
Kansas,2940865,4,0,2020
Kentucky,4509342,6,0,2020
Louisiana,4661468,6,0,2020
Maine,1363582,2,0,2020
Maryland,6185278,8,0,2020
Massachusetts,7033469,9,0,2020
Michigan,10084442,13,-1,2020
Minnesota,5709752,8,0,2020
Mississippi,2963914,4,0,2020
Missouri,6160281,8,0,2020
Montana,1085407,2,1,2020
Nebraska,1963333,3,0,2020
Nevada,3108462,4,0,2020
New Hampshire,1379089,2,0,2020
New Jersey,9294493,12,0,2020
New Mexico,2120220,3,0,2020
New York,20215751,26,-1,2020
North Carolina,10453948,14,1,2020
North Dakota,779702,1,0,2020
Ohio,11808848,15,-1,2020
Oklahoma,3963516,5,0,2020
Oregon,4241500,6,1,2020
Pennsylvania,13011844,17,-1,2020
Rhode Island,1098163,2,0,2020
South Carolina,5124712,7,0,2020
South Dakota,887770,1,0,2020
Tennessee,6916897,9,0,2020
Texas,29183290,38,2,2020
Utah,3275252,4,0,2020
Vermont,643503,1,0,2020
Virginia,8654542,11,0,2020
Washington,7715946,10,0,2020
West Virginia,1795045,2,-1,2020
Wisconsin,5897473,8,0,2020
Wyoming,577719,1,0,2020
