state,population,seats,seats_change,year
Alabama,4802982,7,0,2010
Alaska,721523,1,0,2010
Arizona,6412700,9,1,2010
Arkansas,2926229,4,0,2010
California,37341989,53,0,2010
Colorado,5044930,7,0,2010
Connecticut,3581628,5,0,2010
Delaware,900877,1,0,2010
Florida,18900773,27,2,2010
Georgia,9727566,14,1,2010
Hawaii,1366862,2,0,2010
Idaho,1573499,2,0,2010
Illinois,12864380,18,-1,2010
Indiana,6501582,9,0,2010
Iowa,3053787,4,-1,2010
Kansas,2863813,4,0,2010
Kentucky,4350606,6,0,2010
Louisiana,4553962,6,-1,2010
Maine,1333074,2,0,2010
Maryland,5789929,8,0,2010
Massachusetts,6559644,9,-1,2010
Michigan,9911626,14,-1,2010
Minnesota,5314879,8,0,2010
Mississippi,2978240,4,0,2010
Missouri,6011478,8,-1,2010
Montana,994416,1,0,2010
Nebraska,1831825,3,0,2010
Nevada,2709432,4,1,2010
New Hampshire,1321445,2,0,2010
New Jersey,8807501,12,-1,2010
New Mexico,2067273,3,0,2010
New York,19421055,27,-2,2010
North Carolina,9565781,13,0,2010
North Dakota,675905,1,0,2010
Ohio,11568495,16,-2,2010
Oklahoma,3764882,5,0,2010
Oregon,3848606,5,0,2010
Pennsylvania,12734905,18,-1,2010
Rhode Island,1055247,2,0,2010
South Carolina,4645975,7,1,2010
South Dakota,819761,1,0,2010
Tennessee,6375431,9,0,2010
Texas,25268418,36,4,2010
Utah,2770765,4,1,2010
Vermont,630337,1,0,2010
Virginia,8037736,11,0,2010
Washington,6753369,10,1,2010
West Virginia,1859815,3,0,2010
Wisconsin,5698230,8,0,2010
Wyoming,568300,1,0,2010
