"GEO_ID","id"
"NAME","Geographic Area Name"
"S0101_C01_001E","Estimate!!Total!!Total population"
"S0101_C01_001M","Margin of Error!!Total!!Total population"
"S0101_C01_002E","Estimate!!Total!!Total population!!AGE!!Under 5 years"
"S0101_C01_002M","Margin of Error!!Total!!Total population!!AGE!!Under 5 years"
"S0101_C01_003E","Estimate!!Total!!Total population!!AGE!!5 to 9 years"
"S0101_C01_003M","Margin of Error!!Total!!Total population!!AGE!!5 to 9 years"
"S0101_C01_004E","Estimate!!Total!!Total population!!AGE!!10 to 14 years"
"S0101_C01_004M","Margin of Error!!Total!!Total population!!AGE!!10 to 14 years"
"S0101_C01_005E","Estimate!!Total!!Total population!!AGE!!15 to 19 years"
"S0101_C01_005M","Margin of Error!!Total!!Total population!!AGE!!15 to 19 years"
"S0101_C01_006E","Estimate!!Total!!Total population!!AGE!!20 to 24 years"
"S0101_C01_006M","Margin of Error!!Total!!Total population!!AGE!!20 to 24 years"
"S0101_C01_007E","Estimate!!Total!!Total population!!AGE!!25 to 29 years"
"S0101_C01_007M","Margin of Error!!Total!!Total population!!AGE!!25 to 29 years"
"S0101_C01_008E","Estimate!!Total!!Total population!!AGE!!30 to 34 years"
"S0101_C01_008M","Margin of Error!!Total!!Total population!!AGE!!30 to 34 years"
"S0101_C01_009E","Estimate!!Total!!Total population!!AGE!!35 to 39 years"
"S0101_C01_009M","Margin of Error!!Total!!Total population!!AGE!!35 to 39 years"
"S0101_C01_010E","Estimate!!Total!!Total population!!AGE!!40 to 44 years"
"S0101_C01_010M","Margin of Error!!Total!!Total population!!AGE!!40 to 44 years"
"S0101_C01_011E","Estimate!!Total!!Total population!!AGE!!45 to 49 years"
"S0101_C01_011M","Margin of Error!!Total!!Total population!!AGE!!45 to 49 years"
"S0101_C01_012E","Estimate!!Total!!Total population!!AGE!!50 to 54 years"
"S0101_C01_012M","Margin of Error!!Total!!Total population!!AGE!!50 to 54 years"
"S0101_C01_013E","Estimate!!Total!!Total population!!AGE!!55 to 59 years"
"S0101_C01_013M","Margin of Error!!Total!!Total population!!AGE!!55 to 59 years"
"S0101_C01_014E","Estimate!!Total!!Total population!!AGE!!60 to 64 years"
"S0101_C01_014M","Margin of Error!!Total!!Total population!!AGE!!60 to 64 years"
"S0101_C01_015E","Estimate!!Total!!Total population!!AGE!!65 to 69 years"
"S0101_C01_015M","Margin of Error!!Total!!Total population!!AGE!!65 to 69 years"
"S0101_C01_016E","Estimate!!Total!!Total population!!AGE!!70 to 74 years"
"S0101_C01_016M","Margin of Error!!Total!!Total population!!AGE!!70 to 74 years"
"S0101_C01_017E","Estimate!!Total!!Total population!!AGE!!75 to 79 years"
"S0101_C01_017M","Margin of Error!!Total!!Total population!!AGE!!75 to 79 years"
"S0101_C01_018E","Estimate!!Total!!Total population!!AGE!!80 to 84 years"
"S0101_C01_018M","Margin of Error!!Total!!Total population!!AGE!!80 to 84 years"
"S0101_C01_019E","Estimate!!Total!!Total population!!AGE!!85 years and over"
"S0101_C01_019M","Margin of Error!!Total!!Total population!!AGE!!85 years and over"
"S0101_C01_020E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C01_020M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C01_021E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C01_021M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C01_022E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C01_022M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years"
"S0101_C01_023E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C01_023M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C01_024E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C01_024M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C01_025E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C01_025M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C01_026E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C01_026M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C01_027E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C01_027M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!21 years and over"
"S0101_C01_028E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C01_028M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C01_029E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C01_029M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C01_030E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C01_030M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C01_031E","Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C01_031M","Margin of Error!!Total!!Total population!!SELECTED AGE CATEGORIES!!75 years and over"
"S0101_C01_032E","Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C01_032M","Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)"
"S0101_C01_033E","Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C01_033M","Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)"
"S0101_C01_034E","Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Age dependency ratio"
