geoid,name,median,median_annotation,median_moe,median_moe_annotation,male,male_annotation,male_moe,male_moe_annotation,female,female_annotation,female_moe,female_moe_annotation,state
01,Alabama,37.5,,0.1,,36.1,,0.2,,38.9,,0.1,,01
02,Alaska,33.8,,0.2,,33.5,,0.2,,34.1,,0.2,,02
04,Arizona,35.5,,0.1,,34.3,,0.1,,36.6,,0.1,,04
05,Arkansas,37.2,,0.2,,35.8,,0.1,,38.4,,0.2,,05
06,California,34.9,,0.1,,33.7,,0.1,,36.0,,0.1,,06
08,Colorado,35.8,,0.1,,34.9,,0.1,,36.8,,0.1,,08
09,Connecticut,39.5,,0.1,,38.1,,0.1,,40.8,,0.1,,09
10,Delaware,38.3,,0.2,,36.9,,0.2,,39.5,,0.2,,10
11,District of Columbia,34.3,,0.1,,33.9,,0.2,,34.7,,0.2,,11
12,Florida,40.3,,0.1,,38.9,,0.1,,41.6,,0.1,,12
13,Georgia,35.0,,0.1,,33.7,,0.2,,36.1,,0.1,,13
15,Hawaii,38.2,,0.1,,36.9,,0.1,,39.7,,0.2,,15
16,Idaho,34.4,,0.1,,33.5,,0.2,,35.3,,0.1,,16
17,Illinois,36.2,,0.1,,34.9,,0.1,,37.6,,0.1,,17
18,Indiana,36.6,,0.1,,35.3,,0.1,,37.9,,0.1,,18
19,Iowa,38.0,,0.1,,36.6,,0.1,,39.3,,0.2,,19
20,Kansas,36.1,,0.1,,34.8,,0.2,,37.5,,0.1,,20
21,Kentucky,37.7,,0.1,,36.3,,0.2,,39.0,,0.1,,21
22,Louisiana,35.9,,0.1,,34.5,,0.1,,37.3,,0.1,,22
23,Maine,42.0,,0.1,,40.8,,0.2,,43.1,,0.1,,23
24,Maryland,37.6,,0.1,,36.1,,0.1,,38.9,,0.1,,24
25,Massachusetts,38.7,,0.1,,37.3,,0.1,,39.9,,0.1,,25
26,Michigan,38.1,,0.1,,36.9,,0.1,,39.3,,0.1,,26
27,Minnesota,37.1,,0.1,,36.0,,0.1,,38.1,,0.1,,27
28,Mississippi,35.8,,0.2,,34.2,,0.1,,37.2,,0.2,,28
29,Missouri,37.6,,0.1,,36.2,,0.1,,38.9,,0.1,,29
30,Montana,39.7,,0.2,,38.6,,0.3,,40.9,,0.2,,30
31,Nebraska,36.2,,0.2,,35.0,,0.1,,37.4,,0.1,,31
32,Nevada,35.9,,0.2,,35.5,,0.1,,36.4,,0.2,,32
33,New Hampshire,40.3,,0.1,,39.4,,0.1,,41.1,,0.1,,33
34,New Jersey,38.5,,0.1,,37.0,,0.1,,39.9,,0.1,,34
35,New Mexico,36.4,,0.1,,35.1,,0.1,,37.6,,0.1,,35
36,New York,37.7,,0.1,,36.1,,0.1,,39.1,,0.1,,36
37,North Carolina,37.1,,0.1,,35.7,,0.1,,38.4,,0.2,,37
38,North Dakota,37.2,,0.1,,35.6,,0.2,,38.9,,0.2,,38
39,Ohio,38.3,,0.1,,36.9,,0.1,,39.6,,0.1,,39
40,Oklahoma,36.3,,0.1,,34.9,,0.1,,37.7,,0.2,,40
41,Oregon,38.1,,0.1,,37.0,,0.1,,39.1,,0.2,,41
42,Pennsylvania,39.8,,0.1,,38.3,,0.1,,41.2,,0.1,,42
44,Rhode Island,38.9,,0.1,,37.3,,0.2,,40.3,,0.2,,44
45,South Carolina,37.4,,0.2,,35.9,,0.1,,38.8,,0.2,,45
46,South Dakota,37.2,,0.2,,35.8,,0.2,,38.5,,0.2,,46
47,Tennessee,37.6,,0.1,,36.3,,0.1,,38.9,,0.2,,47
48,Texas,33.4,,0.1,,32.4,,0.1,,34.5,,0.1,,48
49,Utah,28.8,,0.2,,28.4,,0.2,,29.3,,0.2,,49
50,Vermont,41.0,,0.2,,39.9,,0.2,,42.1,,0.2,,50
51,Virginia,37.2,,0.1,,35.9,,0.2,,38.4,,0.1,,51
53,Washington,37.0,,0.1,,36.0,,0.1,,38.0,,0.1,,53
54,West Virginia,41.1,,0.2,,39.7,,0.2,,42.3,,0.2,,54
55,Wisconsin,38.1,,0.1,,37.0,,0.1,,39.2,,0.1,,55
56,Wyoming,37.0,,0.2,,36.1,,0.2,,38.0,,0.3,,56
72,Puerto Rico,35.9,,0.1,,34.1,,0.1,,37.6,,0.1,,72
