"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2310278,"May 24, 2022",Texas,Uvalde,"715 Old Carrizo Rd",13,2,N/A
2308129,"May 21, 2022",Maine,Wells,"97 Crediford Rd",1,2,N/A
2307608,"May 20, 2022","North Carolina","Roanoke Rapids","100 block of Delta Dr",1,0,N/A
2309465,"May 20, 2022",Minnesota,Mound,"Shoreline Dr and Bartlett Blvd",1,0,N/A
2306421,"May 19, 2022",Texas,Houston,"9721 Cypresswood Dr",4,0,N/A
2303670,"May 16, 2022","New York",Bronx,"995 Westchester Ave",1,0,N/A
2304173,"May 16, 2022",Iowa,Ankeny,"NE 5th St and NE Delaware Ave",1,0,N/A
2301606,"May 14, 2022",Illinois,Skokie,"4700 block of Main St",1,1,N/A
2301747,"May 13, 2022","South Carolina",North,"McClain St",1,0,N/A
2300193,"May 11, 2022",Texas,Waco,"3501 Alta Vista Dr",1,0,N/A
2300099,"May 10, 2022",Oregon,Gresham,"700 block of SE 185th Ave",3,0,N/A
2297157,"May 8, 2022",California,"Canoga Park","22547 Victory Blvd",3,0,N/A
2299980,"May 8, 2022",Colorado,Frederick,"6823 2nd St",1,0,N/A
2298458,"May 8, 2022",California,Baker,"Zzyzx Rd",2,0,N/A
2295738,"May 5, 2022",Texas,Dallas,"2500 block of Fatima Ave",1,0,N/A
2297429,"May 5, 2022","South Dakota","Pine Ridge (Pine Ridge Reservation)","29604 US-18",1,0,N/A
2296002,"May 5, 2022",Alabama,Dutton,AL-40,1,0,N/A
2292748,"May 2, 2022",Texas,Katy,"22300 block of Guston Hall Ln",1,0,N/A
2292743,"May 2, 2022",Pennsylvania,"Newtown (Upper Makefield)","100 block of Timber Ridge Rd",2,0,N/A
2291798,"April 30, 2022",Indiana,"South Bend","1000 block of Woodbine Way",1,0,N/A
2289308,"April 27, 2022",Louisiana,Opelousas,"700 block of Mia St",2,3,N/A
2289696,"April 27, 2022",Ohio,Toledo,"Jackman Rd and Hillcrest Ave",1,1,N/A
