year,deaths,population,rate,type
1981,34050,229465316,14.84,All intents
1981,31500,229465316,13.73,All violence
1981,15089,229465316,6.58,Homicides
1981,16139,229465316,7.03,Suicides
1982,32957,231664211,14.23,All intents
1982,30666,231664211,13.24,All violence
1982,13830,231664211,5.97,Homicides
1982,16560,231664211,7.15,Suicides
1983,31099,233792237,13.3,All intents
1983,28897,233792237,12.36,All violence
1983,12040,233792237,5.15,Homicides
1983,16600,233792237,7.1,Suicides
1984,31331,235825040,13.29,All intents
1984,29181,235825040,12.37,All violence
1984,11815,235825040,5.01,Homicides
1984,17113,235825040,7.26,Suicides
1985,31566,237924038,13.27,All intents
1985,29441,237924038,12.37,All violence
1985,11836,237924038,4.97,Homicides
1985,17363,237924038,7.3,Suicides
1986,33373,240133048,13.9,All intents
1986,31429,240133048,13.09,All violence
1986,13029,240133048,5.43,Homicides
1986,18153,240133048,7.56,Suicides
1987,32895,242289046,13.58,All intents
1987,31050,242289046,12.82,All violence
1987,12657,242289046,5.22,Homicides
1987,18136,242289046,7.49,Suicides
1988,33989,244499040,13.9,All intents
1988,32046,244499040,13.11,All violence
1988,13645,244499040,5.58,Homicides
1988,18169,244499040,7.43,Suicides
1989,34776,246819195,14.09,All intents
1989,32947,246819195,13.35,All violence
1989,14464,246819195,5.86,Homicides
1989,18178,246819195,7.36,Suicides
1990,37155,249464396,14.89,All intents
1990,35392,249464396,14.19,All violence
1990,16218,249464396,6.5,Homicides
1990,18885,249464396,7.57,Suicides
1991,38317,252980942,15.15,All intents
1991,36512,252980942,14.43,All violence
1991,17746,252980942,7.01,Homicides
1991,18526,252980942,7.32,Suicides
1992,37776,256514231,14.73,All intents
1992,35959,256514231,14.02,All violence
1992,17488,256514231,6.82,Homicides
1992,18169,256514231,7.08,Suicides
1993,39595,259918595,15.23,All intents
1993,37511,259918595,14.43,All violence
1993,18253,259918595,7.02,Homicides
1993,18940,259918595,7.29,Suicides
1994,38505,263125826,14.63,All intents
1994,36631,263125826,13.92,All violence
1994,17527,263125826,6.66,Homicides
