measure_id,measure_name,location_id,location_name,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,125,Colombia,Physical violence by firearm,1,Number,2019,12595.52,16224.22,9860.04
1,Deaths,125,Colombia,Physical violence by firearm,2,Percent,2019,0.05,0.06,0.05
1,Deaths,160,Afghanistan,Physical violence by firearm,3,Rate,2019,1.13,2.36,0.55
1,Deaths,62,Russian Federation,Physical violence by firearm,1,Number,2019,1145.26,1364.10,955.05
1,Deaths,62,Russian Federation,Physical violence by firearm,2,Percent,2019,0.00,0.00,0.00
1,Deaths,43,Albania,Physical violence by firearm,3,Rate,2019,1.47,1.95,1.05
1,Deaths,46,Croatia,Physical violence by firearm,1,Number,2019,15.73,19.95,12.39
1,Deaths,46,Croatia,Physical violence by firearm,2,Percent,2019,0.00,0.00,0.00
1,Deaths,139,Algeria,Physical violence by firearm,3,Rate,2019,0.32,0.49,0.22
1,Deaths,141,Egypt,Physical violence by firearm,1,Number,2019,367.43,522.72,250.18
1,Deaths,141,Egypt,Physical violence by firearm,2,Percent,2019,0.00,0.00,0.00
1,Deaths,298,American Samoa,Physical violence by firearm,3,Rate,2019,0.42,0.62,0.27
1,Deaths,385,Puerto Rico,Physical violence by firearm,1,Number,2019,638.67,791.91,511.63
1,Deaths,385,Puerto Rico,Physical violence by firearm,2,Percent,2019,0.02,0.02,0.02
1,Deaths,74,Andorra,Physical violence by firearm,3,Rate,2019,0.09,0.14,0.06
1,Deaths,94,Switzerland,Physical violence by firearm,1,Number,2019,18.43,20.16,16.97
1,Deaths,94,Switzerland,Physical violence by firearm,2,Percent,2019,0.00,0.00,0.00
1,Deaths,168,Angola,Physical violence by firearm,3,Rate,2019,0.53,0.95,0.31
1,Deaths,30,Vanuatu,Physical violence by firearm,1,Number,2019,0.47,0.77,0.27
1,Deaths,30,Vanuatu,Physical violence by firearm,2,Percent,2019,0.00,0.00,0.00
1,Deaths,105,Antigua and Barbuda,Physical violence by firearm,3,Rate,2019,2.04,2.41,1.70
