mo_code,mo_code_description
0100,Suspect Impersonate
0101,Aid victim
0102,Blind
0103,Crippled
0104,Customer
0105,Delivery
0106,Doctor
0107,God
0108,Infirm
0109,Inspector
0110,Involved in traffic/accident
0112,Police
0113,Renting
0114,Repair Person
0115,Returning stolen property
0116,Satan
0117,Salesman
0118,Seeking someone
0119,Sent by owner
0120,Social Security/Medicare
0121,DWP/Gas Company/Utility worker
0122,Contractor
0123,Gardener/Tree Trimmer
0200,Suspect wore disguise
0201,Bag
0202,Cap/hat
0203,Cloth (with eyeholes)
0204,Clothes of opposite sex
0205,Earring
0206,Gloves
0207,Handkerchief
0208,Halloween mask
0209,Mask
0210,Make up (males only)
0211,Shoes
0212,Nude/partly nude
0213,Ski mask
0214,Stocking
0215,Unusual clothes
0216,Suspect wore hood/hoodie
0217,Uniform
0218,Wig
0219,Mustache-Fake
0220,Suspect wore motorcycle helmet
0301,Escaped on (used) transit train
0302,Aimed gun
0303,Ambushed
0304,Ate/drank on premises
0305,Attacks from rear
0306,Crime on upper floor
0307,Defecated/urinated
0308,Demands jewelry
0309,Drive-by shooting
0310,Got victim to withdraw savings
0311,Graffiti
0312,Gun in waistband
0313,Hid in building
0314,Hot Prowl
0315,Jumped counter/goes behind counter
0316,Makes victim give money
0317,Pillowcase/suitcase
0318,Prepared exit
0319,Profanity Used
0320,Quiet polite
0321,Ransacked
0322,Smashed display case
0323,Smoked on premises
0324,Takes money from register
0325,T ook merchandise
0326,Used driver
0327,Used lookout
0328,Used toilet
0329,Vandalized
0330,Victims vehicle taken
0331,Mailbox Bombing
0332,Mailbox Vandalism
0333,Used hand held radios
0334,Brandishes weapon
0335,Cases location
0336,Chain snatch
0337,Demands money
0338,Disables Telephone
0339,Disables video camera
0340,Suspect follows victim/follows victim home
0341,Makes vict lie down
0342,Multi-susps overwhelm
0343,Orders vict to rear room
0344,Removes vict property
0345,Riding bike
0346,Snatch property and runs
0347,Stalks vict
0348,Takeover other
0349,Takes mail
0350,Concealed victim's body
0351,Disabled Security
0352,T ook Victim's clothing or jewelry
0353,Weapon Concealed
0354,Suspect takes car keys
0355,Demanded property other than money
0356,Suspect spits on victim
0357,Cuts or breaks purse strap
0358,Forces Entry
0359,Made unusual statement
0360,Suspect is Other Family Member
0361,Suspect is neighbor
0362,Suspect attempts to carry victim away
0363,Home invasion
0364,Suspect is babysitter
0365,Takeover robbery
0366,Ordered vict to open safe
0367,Was Transit Patrol
0368,Suspect speaks foreign language
0369,Suspect speaks spanish
0370,Frisks victim/pats down victim/searches victim
0371,Gang affiliation questions asked/made gang statement
0372,Photographed victim/took pictures of victim
0373,Handicapped/in wheelchair
0374,Gang signs/threw gang signs using hands
0375,Removes cash register
0376,Makes victim kneel
0377,Takes vict's identification/driver license
0378,Brings own bag
0379,Turns off lights/electricity
0380,Distracts Victim
0381,Suspect apologizes
0382,Removed money/property from safe
0383,Suspect entered during open house/party/estate/yard sale
0384,Suspect removed drugs from location
0385,Suspect removed parts from vehicle
0386,Suspect removed property from trunk of vehicle
0387,Weapon (other than gun) in waistband
0388,Suspect points laser at plane/helicopter
0389,Knock-knock
0390,Purse snatch
0391,Used demand note
0392,False Emergency Reporting
0393,911 Abuse
0394,"Susp takes UPS, Fedex, USPS packages"
0395,Murder/Suicide
0396,Used paper plates to disguise license number
0397,"Cut lock (to bicycle, gate, etc."
0398,"Roof access (remove A/C, equip, etc.)"
0399,Vehicle to Vehicle shooting
0400,Force used
0401,Bit
0402,Blindfolded
0403,"Bomb Threat, Bomb found"
0404,"Bomb Threat, no bomb"
0405,Bound
0406,Brutal Assault
0407,Burned Victim
0408,Choked/uses choke hold/Strangulation/Suffocation
0409,Cover mouth w/hands
0410,Covered victim's face
0411,Cut/stabbed
0412,Disfigured
0413,Drugged
0414,Gagged
0415,Handcuffed/Metal
0416,Hit-Hit w/ weapon
0417,Kicked
0418,Kidnapped
0419,Pulled victims hair
0420,Searched
0421,Threaten to kill
0422,Threaten Victims family
0423,Tied victim to object
0424,Tore clothes off victim
0425,T ortured
0426,Twisted arm
0427,Whipped
0428,Dismembered
0429,Vict knocked to ground
0430,Vict shot
0431,Sprayed with chemical
0432,Intimidation
0433,Makes victim kneel
0434,Bed Sheets/Linens
0435,Chain
0436,Clothing
0437,Flexcuffs/Plastic Tie
0438,Rope/Cordage
0439,T ape/Electrical etc...
0440,T elephone/Electric Cord
0441,Wire
0442,Active Shooter/Armed person who has used deadly physical force on other persons & aggressively continues while having access to more victim's
0443,Threaten to harm victim (other than kill)
0444,Pushed
0445,Suspect swung weapon
0446,Suspect swung fist
0447,Suspect threw object at victim
0448,Grabbed
0449,Put a weapon to body
0450,Suspect shot at victim (no hits)
0500,Sex related acts
0501,Susp ejaculated outside victim
0502,Fecal Fetish
0503,Fondle victim
0504,Forced to disrobe
0505,Forced to fondle suspect
0506,Forced to masturbate suspect
0507,Forced to orally copulate suspect
0508,"Hit victim prior, during, after act"
0509,Hugged
0510,Kissed victims body/face
0511,Masochism/bondage
0512,Orally copulated victim
0513,Photographed victim
0514,Pornography
0515,"Put hand, finger or object into vagina"
0516,Reached climax/ejaculated
0517,Sadism/Sexual gratification obtained by infliction of physical or mental pain on others
0518,Simulated intercourse
0519,Sodomy
0520,Solicited/offered immoral act
0521,Tongue or mouth to anus
0522,T ouched
0523,Unable to get erection
0524,Underwear Fetish
0525,Urinated
0526,Utilized Condom
0527,Actual Intercourse
0528,Masturbate
0529,Indecent Exposure
0530,Used lubricant
0531,Suspect made sexually suggestive remarks
0532,Suspect undressed victim
0533,Consentual Sex
0534,Suspect in vehicle nude/partially nude
0535,Suspect asks minor's name
0536,Suspect removes own clothing
0537,Suspect removes victim's clothing
0538,Suspect fondles self
0539,Suspect puts hand in victim's rectum
0540,Suspect puts finger(s) in victim's rectum
0541,Suspect puts object(s) in victim's rectum
0542,Orders victim to undress
0543,Orders victim to fondle suspect
0544,Orders victim to fondle self
0545,Male Victim of sexual assault
0546,Susp instructs vict to make certain statements
0547,Suspect force vict to bathe/clean/wipe
0548,Suspect gives victim douche/enema
0549,Suspect ejaculates in victims mouth
0550,Suspect licks victim
0551,Suspect touches victim genitalia/genitals over clothing
0552,Suspect is Victim's Father
0553,Suspect is Victim's Mother
0554,Suspect is Victim's Brother
0555,Suspect is Victim's Sister
0556,Suspect is Victim's Step-Father
0557,Suspect is Victim's Step-Mother
0558,Suspect is Victim's Uncle
0559,Suspect is Victim's Aunt
0560,Suspect is Victim's Guardian
0561,Suspect is Victim's Son
0562,Suspect is Victim's Daughter
0563,"Fetish, Other"
0601,Business
0602,Family
0603,Landlord/Tenant/Neighbor
0604,Reproductive Health Services/Facilities
0605,Traffic Accident/Traffic related incident
0701,THEFT: Trick or Device
0800,BUNCO
0901,Organized Crime
0902,Political Activity
0903,Hatred/Prejudice
0904,Strike/Labor Troubles
0905,T errorist Group
0906,Gangs
0907,Narcotics (Buy-Sell-Rip)
0908,Prostitution
0909,Ritual/Occult
0910,"Public Transit (Metrolink/Train Station,Metro Rail Red,Line Subway Station,"
Metr," Rail Blue Line Station,adjacent transit parking lots, tracks or tunnels"
MTA(,"TD), and other municipal lines."
0911,Revenge
0912,Insurance
0913,Victim knew Suspect
0914,Other Felony
0915,Parolee
0916,Forced theft of vehicle (Car-Jacking)
0917,Victim's Employment
0918,Career Criminal
0919,Road Rage
0920,Homeland Security
0921,Hate Incident
0922,ATM Theft with PIN number
0923,Stolen/Forged Checks (Personal Checks)
0924,Stolen/Forged Checks (Business Checks)
0925,Stolen/Forged Checks (Cashier's Checks)
0926,Forged or Telephonic Prescription
0927,Fraudulent or forged school loan
0928,Forged or Fraudulent credit applications
0929,Unauthorized use of victim's bank account information
0930,Unauthorized use of victim's credit/debit card or number
0931,Counterfeit or forged real estate documents
0932,Suspect uses victim's identity in reporting a traffic collision
0933,Suspect uses victim's identity when arrested
0934,Suspect uses victim's identity when receiving a citation
0935,Misc. Stolen/Forged documents
0936,Dog Fighting
0937,Cock Fighting
0938,Animal Neglect
0939,Animal Hoarding
0940,Met online/Chat Room/on Party Line
0941,Non-Revocable Parole (NRP)
0942,Party/Flier party/Rave Party
0943,Human Trafficking
0944,Bait Operation
0945,Estes Robbery
0946,Gang Feud
1000,Suspects offers/solicits
1001,Aid for vehicle
1002,Amusement
1003,appraise
1004,Assistant
1005,Audition
1006,Bless
1007,Candy
1008,Cigarette
1009,Directions
1010,Drink (not liquor)
1011,Employment
1012,Find a job
1013,Food
1014,Game
1015,Gift
1016,Hold for safekeeping
1017,Information
1018,Liquor
1019,Money
1020,Narcotics
1021,Repair
1022,Ride
1023,Subscriptions
1024,T each
1025,Train
1026,Use the phone or toilet
1027,Change
1028,Suspect solicits time of day
1100,Shots Fired
1101,Shots Fired (Animal) - Animal Services
1201,Absent-advertised in paper
1202,Aged (60 & over) or blind/crippled/unable to care for self
1203,Victim of crime past 12 months
1204,Moving
1205,On Vacation/Tourist
1206,Under influence drugs/liquor
1207,Hitchhiker
1208,Illegal Alien
1209,"Salesman, Jewelry"
1210,"Professional (doctor, Lawyer, etc.)"
1211,Public Official
1212,LA Police Officer
1213,LA Fireman
1214,"Banking, ATM"
1215,Prostitute
1216,Sales
1217,Teenager(Use if victim's age is unknown)
1218,Victim was Homeless/Transient
1219,Nude
1220,Partially Nude
1221,Missing Clothing/Jewelry
1222,Homosexual/Gay
1223,Riding bike
1224,Drive-through (not merchant)
1225,Stop sign/light
1226,Catering Truck Operator
1227,Delivery person
1228,Leaving Business Area
1229,Making bank drop
1230,Postal employee
1231,T axi Driver
1232,"Bank, Arriving at"
1233,"Bank, Leaving"
1234,Bar Customer
1235,Bisexual/sexually oriented towards both sexes
1236,Clerk/Employer/Owner
1237,Customer
1238,Handicapped
1239,Transgender
1240,Vehicle occupant/Passenger
1241,Spouse
1242,Parent
1243,Co-habitants
1244,Victim was forced into business
1245,Victim was forced into residence
1247,Opening business
1248,Closing business
1251,Victim was a student
1252,Victim was a street vendor
1253,Bus Driver
1254,Train Operator
1255,Followed Transit System
1256,Patron
1257,Victim is Newborn-5 years old
1258,Victim is 6 years old thru 13 years old
1259,Victim is 14 years old thru 17 years old
1260,Deaf/Hearing Impaired
1261,Mentally Challenged/Retarded/Intellectually Slow
1262,Raped while unconscious
1263,Agricultural Target
1264,Pipeline
1265,Mailbox
1266,Victim was security guard
1267,Home under construction
1268,Victim was 5150/Mental Illness
1269,Victim was armored car driver
1270,Victim was gang member
1271,Victim was Law Enforcement (not LAPD)
1272,Victim was at/leaving medical/retail/non-retail cannabis location
1273,Home was being fumigated
1274,Victim was Inmate/Incarcerated
1275,Vacant Residence/Building
1276,Pregnant
1277,Gardner
1278,Victim was Uber/Lyft driver
1279,Victim was Foster child
1280,Victim was Foster parent
1281,Victim was Pistol-whipped
1300,Vehicle involved
1301,Forced victim vehicle to curb
1302,Suspect forced way into victim's vehicle
1303,Hid in rear seat
1304,"Stopped victim vehicle by flagging down, forcing T/A, etc."
1305,Victim forced into vehicle
1306,"Victim parking, garaging vehicle"
1307,Breaks window
1308,Drives by and snatches property
1309,Susp uses vehicle
1310,Victim in vehicle
1311,Victim removed from vehicle
1312,Suspect follows victim in vehicle
1313,Suspect exits vehicle and attacks pedestrian
1314,Victim loading vehicle
1315,Victim unloading vehicle
1316,Victim entering their vehicle
1317,Victim exiting their vehicle
1318,Suspect follows victim home
1401,Blood Stains
1402,Evidence Booked (any crime)
1403,Fingerprints
1404,Footprints
1405,Left Note
1406,Tool Marks
1407,Bullets/Casings
1408,Bite Marks
1409,Clothes
1410,Gun Shot Residue
1411,Hair
1412,Jewelry
1413,Paint
1414,Photographs
1415,Rape Kit
1416,Saliva
1417,Semen
1418,Skeleton/Bones
1419,Firearm booked as evidence
1420,Video surveillance booked/available
1501,Other MO (see rpt)
1601,Bodily Force
1602,Cutting T ool
1603,Knob Twist
1604,Lock Box
1605,Lock slip/key/pick
1606,Open/unlocked
1607,Pried
1608,Removed
1609,Smashed
1610,Tunneled
1611,Shaved Key
1612,Punched/Pulled Door Lock
1701,Elder Abuse/Physical
1702,Elder Abuse/Financial
1801,Susp is/was mother's boyfriend
1802,Susp is/was victim's co-worker
1803,Susp is/was victim's employee
1804,Susp is/was victim's employer
