full_name,state_id,receipts,spending,cash
Nikolas Wildstar,1433872,0,0,0
Rachel Hamm,1438313,128381.94,80707.09,47674.85
Dean Odle,NaN,42317.32,20454.35,29058.35
"Biasiucci, Leo",201800222,120,2775.02,41436
"Borrelli, Sonny",201600293,22125,14088.18,115439.98
"Farnsworth, David",100966,40300,421.7,39878.3
"Finchem, Mark",100566,662910.16,249865.44,413044.72
"Masche, Bryan",100638,885,3771.87,165.03
"Orth, Anna",100774,1637.61,440.63,1196.98
"Rogers, Wendy",202000052,0,0,1573169.8
"Wadsack, Justine",101026,0,0,0
Daire Rendon,517368,6150,10244.37,18154.2
Kristina Karamo,520019,228203.79,95149.52,133054.27
