Country Name,Country Code,Indicator Name,Indicator Code,year,gini,gini_coeff
China,CHN,Gini index,SI.POV.GINI,1960,NA,NA
China,CHN,Gini index,SI.POV.GINI,1961,NA,NA
China,CHN,Gini index,SI.POV.GINI,1962,NA,NA
China,CHN,Gini index,SI.POV.GINI,1963,NA,NA
China,CHN,Gini index,SI.POV.GINI,1964,NA,NA
China,CHN,Gini index,SI.POV.GINI,1965,NA,NA
China,CHN,Gini index,SI.POV.GINI,1966,NA,NA
China,CHN,Gini index,SI.POV.GINI,1967,NA,NA
China,CHN,Gini index,SI.POV.GINI,1968,NA,NA
China,CHN,Gini index,SI.POV.GINI,1969,NA,NA
China,CHN,Gini index,SI.POV.GINI,1970,NA,NA
China,CHN,Gini index,SI.POV.GINI,1971,NA,NA
China,CHN,Gini index,SI.POV.GINI,1972,NA,NA
China,CHN,Gini index,SI.POV.GINI,1973,NA,NA
China,CHN,Gini index,SI.POV.GINI,1974,NA,NA
China,CHN,Gini index,SI.POV.GINI,1975,NA,NA
China,CHN,Gini index,SI.POV.GINI,1976,NA,NA
China,CHN,Gini index,SI.POV.GINI,1977,NA,NA
China,CHN,Gini index,SI.POV.GINI,1978,NA,NA
China,CHN,Gini index,SI.POV.GINI,1979,NA,NA
China,CHN,Gini index,SI.POV.GINI,1980,NA,NA
China,CHN,Gini index,SI.POV.GINI,1981,NA,NA
China,CHN,Gini index,SI.POV.GINI,1982,NA,NA
China,CHN,Gini index,SI.POV.GINI,1983,NA,NA
China,CHN,Gini index,SI.POV.GINI,1984,NA,NA
China,CHN,Gini index,SI.POV.GINI,1985,NA,NA
China,CHN,Gini index,SI.POV.GINI,1986,NA,NA
China,CHN,Gini index,SI.POV.GINI,1987,NA,NA
China,CHN,Gini index,SI.POV.GINI,1988,NA,NA
China,CHN,Gini index,SI.POV.GINI,1989,NA,NA
China,CHN,Gini index,SI.POV.GINI,1990,32.2,0.322
China,CHN,Gini index,SI.POV.GINI,1991,NA,NA
China,CHN,Gini index,SI.POV.GINI,1992,NA,NA
China,CHN,Gini index,SI.POV.GINI,1993,33.9,0.33899999999999997
China,CHN,Gini index,SI.POV.GINI,1994,NA,NA
China,CHN,Gini index,SI.POV.GINI,1995,NA,NA
China,CHN,Gini index,SI.POV.GINI,1996,35.2,0.35200000000000004
China,CHN,Gini index,SI.POV.GINI,1997,NA,NA
China,CHN,Gini index,SI.POV.GINI,1998,NA,NA
China,CHN,Gini index,SI.POV.GINI,1999,38.7,0.387
China,CHN,Gini index,SI.POV.GINI,2000,NA,NA
China,CHN,Gini index,SI.POV.GINI,2001,NA,NA
China,CHN,Gini index,SI.POV.GINI,2002,42,0.42
China,CHN,Gini index,SI.POV.GINI,2003,NA,NA
China,CHN,Gini index,SI.POV.GINI,2004,NA,NA
China,CHN,Gini index,SI.POV.GINI,2005,40.9,0.409
China,CHN,Gini index,SI.POV.GINI,2006,NA,NA
China,CHN,Gini index,SI.POV.GINI,2007,NA,NA
China,CHN,Gini index,SI.POV.GINI,2008,43,0.43
China,CHN,Gini index,SI.POV.GINI,2009,NA,NA
China,CHN,Gini index,SI.POV.GINI,2010,43.7,0.43700000000000006
China,CHN,Gini index,SI.POV.GINI,2011,42.4,0.424
China,CHN,Gini index,SI.POV.GINI,2012,42.2,0.42200000000000004
China,CHN,Gini index,SI.POV.GINI,2013,39.7,0.397
China,CHN,Gini index,SI.POV.GINI,2014,39.2,0.392
China,CHN,Gini index,SI.POV.GINI,2015,38.6,0.386
China,CHN,Gini index,SI.POV.GINI,2016,38.5,0.385
China,CHN,Gini index,SI.POV.GINI,2017,39.1,0.391
China,CHN,Gini index,SI.POV.GINI,2018,38.5,0.385
China,CHN,Gini index,SI.POV.GINI,2019,38.2,0.382
China,CHN,Gini index,SI.POV.GINI,2020,NA,NA
China,CHN,Gini index,SI.POV.GINI,2021,NA,NA
