"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2018",0.325,
"AUT","INCOMEINEQ","GINI","INEQ","A","2017",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2019",0.274,
"BEL","INCOMEINEQ","GINI","INEQ","A","2018",0.258,
"BEL","INCOMEINEQ","GINI","INEQ","A","2019",0.262,
"CAN","INCOMEINEQ","GINI","INEQ","A","2017",0.31,
"CAN","INCOMEINEQ","GINI","INEQ","A","2018",0.303,
"CAN","INCOMEINEQ","GINI","INEQ","A","2019",0.301,
"CZE","INCOMEINEQ","GINI","INEQ","A","2017",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2019",0.248,
"DNK","INCOMEINEQ","GINI","INEQ","A","2017",0.264,
"DNK","INCOMEINEQ","GINI","INEQ","A","2018",0.263,
"FIN","INCOMEINEQ","GINI","INEQ","A","2017",0.266,
"FIN","INCOMEINEQ","GINI","INEQ","A","2018",0.269,
"FRA","INCOMEINEQ","GINI","INEQ","A","2017",0.292,
"FRA","INCOMEINEQ","GINI","INEQ","A","2018",0.301,
"FRA","INCOMEINEQ","GINI","INEQ","A","2019",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2018",0.289,
"GRC","INCOMEINEQ","GINI","INEQ","A","2017",0.319,
"GRC","INCOMEINEQ","GINI","INEQ","A","2018",0.306,
"GRC","INCOMEINEQ","GINI","INEQ","A","2019",0.308,
"HUN","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"HUN","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2019",0.286,
"ISL","INCOMEINEQ","GINI","INEQ","A","2017",0.25,
"IRL","INCOMEINEQ","GINI","INEQ","A","2017",0.295,
"IRL","INCOMEINEQ","GINI","INEQ","A","2018",0.292,
"ITA","INCOMEINEQ","GINI","INEQ","A","2017",0.334,
"ITA","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"JPN","INCOMEINEQ","GINI","INEQ","A","2018",0.334,
"KOR","INCOMEINEQ","GINI","INEQ","A","2017",0.354,
"KOR","INCOMEINEQ","GINI","INEQ","A","2018",0.345,
"KOR","INCOMEINEQ","GINI","INEQ","A","2019",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2020",0.331,
"LUX","INCOMEINEQ","GINI","INEQ","A","2017",0.327,
