"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","P50P10","RT","A","2012",2.2,
"AUS","INCOMEINEQ","P50P10","RT","A","2014",2.2,
"AUS","INCOMEINEQ","P50P10","RT","A","2016",2.1,
"AUS","INCOMEINEQ","P50P10","RT","A","2018",2.2,
"AUS","INCOMEINEQ","P90P10","RT","A","2012",4.4,
"AUS","INCOMEINEQ","P90P10","RT","A","2014",4.3,
"AUS","INCOMEINEQ","P90P10","RT","A","2016",4.3,
"AUS","INCOMEINEQ","P90P10","RT","A","2018",4.3,
"AUS","INCOMEINEQ","P90P50","RT","A","2012",2,
"AUS","INCOMEINEQ","P90P50","RT","A","2014",2,
"AUS","INCOMEINEQ","P90P50","RT","A","2016",2.1,
"AUS","INCOMEINEQ","P90P50","RT","A","2018",2,
"AUS","INCOMEINEQ","GINI","INEQ","A","2012",0.326,
"AUS","INCOMEINEQ","GINI","INEQ","A","2014",0.337,
"AUS","INCOMEINEQ","GINI","INEQ","A","2016",0.33,
"AUS","INCOMEINEQ","GINI","INEQ","A","2018",0.325,
"AUT","INCOMEINEQ","P50P10","RT","A","2007",2,
"AUT","INCOMEINEQ","P50P10","RT","A","2008",1.9,
"AUT","INCOMEINEQ","P50P10","RT","A","2009",2,
"AUT","INCOMEINEQ","P50P10","RT","A","2010",1.9,
"AUT","INCOMEINEQ","P50P10","RT","A","2011",1.9,
"AUT","INCOMEINEQ","P50P10","RT","A","2012",2,
"AUT","INCOMEINEQ","P50P10","RT","A","2013",1.9,
"AUT","INCOMEINEQ","P50P10","RT","A","2014",1.9,
"AUT","INCOMEINEQ","P50P10","RT","A","2015",1.9,
"AUT","INCOMEINEQ","P50P10","RT","A","2016",2,
"AUT","INCOMEINEQ","P50P10","RT","A","2017",1.9,
"AUT","INCOMEINEQ","P50P10","RT","A","2018",2,
"AUT","INCOMEINEQ","P50P10","RT","A","2019",2,
"AUT","INCOMEINEQ","P90P10","RT","A","2007",3.6,
"AUT","INCOMEINEQ","P90P10","RT","A","2008",3.4,
"AUT","INCOMEINEQ","P90P10","RT","A","2009",3.6,
"AUT","INCOMEINEQ","P90P10","RT","A","2010",3.5,
"AUT","INCOMEINEQ","P90P10","RT","A","2011",3.5,
"AUT","INCOMEINEQ","P90P10","RT","A","2012",3.5,
"AUT","INCOMEINEQ","P90P10","RT","A","2013",3.4,
"AUT","INCOMEINEQ","P90P10","RT","A","2014",3.4,
"AUT","INCOMEINEQ","P90P10","RT","A","2015",3.3,
"AUT","INCOMEINEQ","P90P10","RT","A","2016",3.5,
"AUT","INCOMEINEQ","P90P10","RT","A","2017",3.5,
"AUT","INCOMEINEQ","P90P10","RT","A","2018",3.5,
"AUT","INCOMEINEQ","P90P10","RT","A","2019",3.6,
"AUT","INCOMEINEQ","P90P50","RT","A","2007",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2008",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2009",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2010",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2011",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2012",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2013",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2014",1.7,
"AUT","INCOMEINEQ","P90P50","RT","A","2015",1.7,
"AUT","INCOMEINEQ","P90P50","RT","A","2016",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2017",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2018",1.8,
"AUT","INCOMEINEQ","P90P50","RT","A","2019",1.8,
"AUT","INCOMEINEQ","GINI","INEQ","A","2007",0.284,
"AUT","INCOMEINEQ","GINI","INEQ","A","2008",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2009",0.289,
"AUT","INCOMEINEQ","GINI","INEQ","A","2010",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2011",0.281,
"AUT","INCOMEINEQ","GINI","INEQ","A","2012",0.276,
"AUT","INCOMEINEQ","GINI","INEQ","A","2013",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"AUT","INCOMEINEQ","GINI","INEQ","A","2015",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"AUT","INCOMEINEQ","GINI","INEQ","A","2017",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2019",0.274,
"BEL","INCOMEINEQ","P50P10","RT","A","2018",1.9,
"BEL","INCOMEINEQ","P50P10","RT","A","2019",1.9,
"BEL","INCOMEINEQ","P90P10","RT","A","2018",3.2,
"BEL","INCOMEINEQ","P90P10","RT","A","2019",3.2,
"BEL","INCOMEINEQ","P90P50","RT","A","2018",1.7,
"BEL","INCOMEINEQ","P90P50","RT","A","2019",1.7,
"BEL","INCOMEINEQ","GINI","INEQ","A","2018",0.258,
"BEL","INCOMEINEQ","GINI","INEQ","A","2019",0.262,
"CAN","INCOMEINEQ","P50P10","RT","A","1976",2.3,
"CAN","INCOMEINEQ","P50P10","RT","A","1977",2.4,
"CAN","INCOMEINEQ","P50P10","RT","A","1978",2.3,
"CAN","INCOMEINEQ","P50P10","RT","A","1979",2.3,
"CAN","INCOMEINEQ","P50P10","RT","A","1980",2.3,
"CAN","INCOMEINEQ","P50P10","RT","A","1981",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1982",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1983",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1984",2.3,
"CAN","INCOMEINEQ","P50P10","RT","A","1985",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1986",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1987",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1988",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","1989",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","1990",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","1991",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","1992",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1993",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","1994",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","1995",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","1996",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1997",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1998",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","1999",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2000",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2001",2.1,
"CAN","INCOMEINEQ","P50P10","RT","A","2002",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2003",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2004",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2005",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2006",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2007",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2008",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2009",2.3,
"CAN","INCOMEINEQ","P50P10","RT","A","2010",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2011",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2012",2.2,
"CAN","INCOMEINEQ","P50P10","RT","A","2013",2.3,
"CAN","INCOMEINEQ","P50P10","RT","A","2014",2.2,
