place,pop,pm_2008,pm_2013,pm_2020,pct_change_08-22,life_gain_years_08_22
Chongqing,30.0,56.5,56.2,29.0,49,2.7
Shanghai,24.1,47.5,50.2,28.1,41,1.9
Beijing,20.5,75.7,85.2,37.9,50,3.7
Chengdu,13.9,66.3,70.3,35.4,47,3.0
Tianjin,13.6,72.5,77.6,47.4,35,2.5
Guangzhou,13.2,47.8,45.5,22.8,52,2.4
Baoding,11.6,79.3,101.2,46.2,42,3.2
Harbin,11.1,46.1,59.5,40.7,12,0.5
Suzhou,10.8,54.8,57.3,31.2,43,2.3
Nanyang,10.8,38.3,37.2,19.1,50,1.9
Shenzhen,10.7,57.7,69.0,39.0,32,1.8
Shijiazhuang,10.6,81.4,109.2,56.0,31,2.5
Linyi,10.5,64.9,65.6,43.5,33,2.1
Wuhan,10.1,68.9,77.5,36.9,46,3.1
Handan,9.5,75.4,96.2,48.5,36,2.6
Weifang,9.5,60.9,61.1,42.8,30,1.8
Wenzhou,9.5,42.6,37.5,24.3,43,1.8
Zhoukou,9.3,64.6,71.6,47.0,27,1.7
Hangzhou,9.1,55.8,51.4,28.6,49,2.7
Qingdao,9.1,50.8,51.0,34.0,33,1.7
Zhengzhou,9.0,70.4,83.6,47.3,33,2.3
Xuzhou,8.9,68.2,69.3,48.9,28,1.9
Xi'an,8.9,55.3,61.8,44.5,19,1.1
Ganzhou,8.7,40.8,39.7,21.3,48,1.9
Heze,8.6,70.4,77.4,51.2,27,1.9
Dongguan,8.6,43.6,42.1,22.1,49,2.1
Shenyang,8.5,32.4,26.9,18.3,43,1.4
Quanzhou,8.5,61.5,56.6,41.6,32,1.9
Nanjing,8.3,60.2,59.0,34.8,42,2.5
Hefei,8.0,61.1,62.0,36.7,40,2.4
Changchun,8.0,49.3,56.5,40.8,17,0.8
Fuyang,8.0,58.9,63.1,43.2,27,1.5
Shaoyang,7.9,54.4,50.1,30.5,44,2.3
Ningbo,7.9,44.5,43.4,23.0,48,2.1
Tangshan,7.7,77.3,77.1,42.9,45,3.4
Shangqiu,7.6,65.6,72.8,49.7,24,1.6
Yancheng,7.6,48.2,49.5,31.3,35,1.7
Nantong,7.6,48.6,51.1,29.6,39,1.9
Foshan,7.6,50.1,47.5,23.5,53,2.6
Zhumadian,7.5,63.2,67.5,42.9,32,2.0
Cangzhou,7.5,72.8,92.7,48.1,34,2.4
Hengyang,7.5,57.6,53.5,32.5,44,2.5
Xingtai,7.4,80.8,107.2,52.1,36,2.8
Fuzhou,7.4,30.1,26.2,17.7,41,1.2
Changsha,7.3,63.9,61.4,35.3,45,2.8
Zhanjiang,7.3,36.7,33.9,19.1,48,1.7
Jining,7.3,76.6,75.3,50.9,34,2.5
Yantai,7.3,42.7,40.6,30.2,29,1.2
Jinan,7.1,70.0,72.5,46.3,34,2.3
Nanning,6.9,48.1,48.7,24.6,49,2.3
