Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
04/28/2020,02/01/2020,04/25/2020,AL,Etowah County,1055,10,346
04/28/2020,02/01/2020,04/25/2020,AL,Houston County,1069,13,432
04/28/2020,02/01/2020,04/25/2020,AL,Jefferson County,1073,29,2052
04/28/2020,02/01/2020,04/25/2020,AL,Lee County,1081,24,262
04/28/2020,02/01/2020,04/25/2020,AL,Mobile County,1097,27,1103
04/28/2020,02/01/2020,04/25/2020,AZ,Coconino County,4005,37,289
04/28/2020,02/01/2020,04/25/2020,AZ,Maricopa County,4013,89,9023
04/28/2020,02/01/2020,04/25/2020,AZ,Pima County,4019,54,2754
04/28/2020,02/01/2020,04/25/2020,AR,Pulaski County,5119,13,1436
04/28/2020,02/01/2020,04/25/2020,CA,Alameda County,6001,43,2615
04/28/2020,02/01/2020,04/25/2020,CA,Contra Costa County,6013,19,2028
04/28/2020,02/01/2020,04/25/2020,CA,Los Angeles County,6037,459,16747
04/28/2020,02/01/2020,04/25/2020,CA,Orange County,6059,30,5092
04/28/2020,02/01/2020,04/25/2020,CA,Placer County,6061,12,968
04/28/2020,02/01/2020,04/25/2020,CA,Riverside County,6065,65,4313
04/28/2020,02/01/2020,04/25/2020,CA,Sacramento County,6067,28,2954
04/28/2020,02/01/2020,04/25/2020,CA,San Bernardino County,6071,52,3492
04/28/2020,02/01/2020,04/25/2020,CA,San Diego County,6073,81,5637
04/28/2020,02/01/2020,04/25/2020,CA,San Francisco County,6075,20,1499
04/28/2020,02/01/2020,04/25/2020,CA,San Joaquin County,6077,13,1317
04/28/2020,02/01/2020,04/25/2020,CA,San Mateo County,6081,34,1188
04/28/2020,02/01/2020,04/25/2020,CA,Santa Clara County,6085,62,2799
04/28/2020,02/01/2020,04/25/2020,CA,Tulare County,6107,16,766
04/28/2020,02/01/2020,04/25/2020,CA,Ventura County,6111,16,1429
04/28/2020,02/01/2020,04/25/2020,CO,Adams County,8001,56,866
04/28/2020,02/01/2020,04/25/2020,CO,Arapahoe County,8005,106,1202
04/28/2020,02/01/2020,04/25/2020,CO,Boulder County,8013,16,597
04/28/2020,02/01/2020,04/25/2020,CO,Denver County,8031,71,1317
04/28/2020,02/01/2020,04/25/2020,CO,Douglas County,8035,22,391
04/28/2020,02/01/2020,04/25/2020,CO,El Paso County,8041,54,1297
04/28/2020,02/01/2020,04/25/2020,CO,Jefferson County,8059,38,1255
04/28/2020,02/01/2020,04/25/2020,CO,Larimer County,8069,18,692
04/28/2020,02/01/2020,04/25/2020,CO,Weld County,8123,57,432
04/28/2020,02/01/2020,04/25/2020,DE,New Castle County,10003,18,1042
04/28/2020,02/01/2020,04/25/2020,DC,District of Columbia,11001,49,1402
04/28/2020,02/01/2020,04/25/2020,FL,Broward County,12011,119,3806
04/28/2020,02/01/2020,04/25/2020,FL,Charlotte County,12015,16,804
