date,value,month,month_year,series,series_name,unit
2022-06-01,164023,June,2022-06,LNS11000000,civilian labor force,number in thousands
2022-05-01,164376,May,2022-05,LNS11000000,civilian labor force,number in thousands
2022-04-01,164046,April,2022-04,LNS11000000,civilian labor force,number in thousands
2022-03-01,164409,March,2022-03,LNS11000000,civilian labor force,number in thousands
2022-02-01,163991,February,2022-02,LNS11000000,civilian labor force,number in thousands
2022-01-01,163687,January,2022-01,LNS11000000,civilian labor force,number in thousands
2021-12-01,162294,December,2021-12,LNS11000000,civilian labor force,number in thousands
2021-11-01,162126,November,2021-11,LNS11000000,civilian labor force,number in thousands
2021-10-01,161610,October,2021-10,LNS11000000,civilian labor force,number in thousands
2021-09-01,161471,September,2021-09,LNS11000000,civilian labor force,number in thousands
2021-08-01,161505,August,2021-08,LNS11000000,civilian labor force,number in thousands
2021-07-01,161375,July,2021-07,LNS11000000,civilian labor force,number in thousands
2021-06-01,161114,June,2021-06,LNS11000000,civilian labor force,number in thousands
2021-05-01,160801,May,2021-05,LNS11000000,civilian labor force,number in thousands
2021-04-01,160978,April,2021-04,LNS11000000,civilian labor force,number in thousands
2021-03-01,160631,March,2021-03,LNS11000000,civilian labor force,number in thousands
2021-02-01,160359,February,2021-02,LNS11000000,civilian labor force,number in thousands
2021-01-01,160184,January,2021-01,LNS11000000,civilian labor force,number in thousands
2020-12-01,160671,December,2020-12,LNS11000000,civilian labor force,number in thousands
2020-11-01,160539,November,2020-11,LNS11000000,civilian labor force,number in thousands
2020-10-01,160834,October,2020-10,LNS11000000,civilian labor force,number in thousands
2020-09-01,160153,September,2020-09,LNS11000000,civilian labor force,number in thousands
2020-08-01,160707,August,2020-08,LNS11000000,civilian labor force,number in thousands
2020-07-01,160015,July,2020-07,LNS11000000,civilian labor force,number in thousands
2020-06-01,159834,June,2020-06,LNS11000000,civilian labor force,number in thousands
2020-05-01,158122,May,2020-05,LNS11000000,civilian labor force,number in thousands
2020-04-01,156358,April,2020-04,LNS11000000,civilian labor force,number in thousands
2020-03-01,162764,March,2020-03,LNS11000000,civilian labor force,number in thousands
2020-02-01,164583,February,2020-02,LNS11000000,civilian labor force,number in thousands
2020-01-01,164479,January,2020-01,LNS11000000,civilian labor force,number in thousands
2019-12-01,164633,December,2019-12,LNS11000000,civilian labor force,number in thousands
2019-11-01,164434,November,2019-11,LNS11000000,civilian labor force,number in thousands
2019-10-01,164336,October,2019-10,LNS11000000,civilian labor force,number in thousands
2019-09-01,164015,September,2019-09,LNS11000000,civilian labor force,number in thousands
2019-08-01,163774,August,2019-08,LNS11000000,civilian labor force,number in thousands
2019-07-01,163472,July,2019-07,LNS11000000,civilian labor force,number in thousands
2019-06-01,163029,June,2019-06,LNS11000000,civilian labor force,number in thousands
2019-05-01,162803,May,2019-05,LNS11000000,civilian labor force,number in thousands
2019-04-01,162642,April,2019-04,LNS11000000,civilian labor force,number in thousands
2019-03-01,163035,March,2019-03,LNS11000000,civilian labor force,number in thousands
2019-02-01,163114,February,2019-02,LNS11000000,civilian labor force,number in thousands
2019-01-01,163072,January,2019-01,LNS11000000,civilian labor force,number in thousands
2018-12-01,163146,December,2018-12,LNS11000000,civilian labor force,number in thousands
2018-11-01,162738,November,2018-11,LNS11000000,civilian labor force,number in thousands
2018-10-01,162525,October,2018-10,LNS11000000,civilian labor force,number in thousands
2018-09-01,162035,September,2018-09,LNS11000000,civilian labor force,number in thousands
2018-08-01,161679,August,2018-08,LNS11000000,civilian labor force,number in thousands
2018-07-01,162288,July,2018-07,LNS11000000,civilian labor force,number in thousands
2018-06-01,162180,June,2018-06,LNS11000000,civilian labor force,number in thousands
2018-05-01,161882,May,2018-05,LNS11000000,civilian labor force,number in thousands
2018-04-01,161809,April,2018-04,LNS11000000,civilian labor force,number in thousands
2018-03-01,161760,March,2018-03,LNS11000000,civilian labor force,number in thousands
2018-02-01,161846,February,2018-02,LNS11000000,civilian labor force,number in thousands
2018-01-01,160998,January,2018-01,LNS11000000,civilian labor force,number in thousands
2017-12-01,160535,December,2017-12,LNS11000000,civilian labor force,number in thousands
2017-11-01,160579,November,2017-11,LNS11000000,civilian labor force,number in thousands
2017-10-01,160309,October,2017-10,LNS11000000,civilian labor force,number in thousands
2017-09-01,161140,September,2017-09,LNS11000000,civilian labor force,number in thousands
2017-08-01,160586,August,2017-08,LNS11000000,civilian labor force,number in thousands
2017-07-01,160462,July,2017-07,LNS11000000,civilian labor force,number in thousands
2017-06-01,160192,June,2017-06,LNS11000000,civilian labor force,number in thousands
2017-05-01,160068,May,2017-05,LNS11000000,civilian labor force,number in thousands
2017-04-01,160345,April,2017-04,LNS11000000,civilian labor force,number in thousands
2017-03-01,160137,March,2017-03,LNS11000000,civilian labor force,number in thousands
2017-02-01,159859,February,2017-02,LNS11000000,civilian labor force,number in thousands
2017-01-01,159620,January,2017-01,LNS11000000,civilian labor force,number in thousands
2016-12-01,159678,December,2016-12,LNS11000000,civilian labor force,number in thousands
2016-11-01,159506,November,2016-11,LNS11000000,civilian labor force,number in thousands
2016-10-01,159605,October,2016-10,LNS11000000,civilian labor force,number in thousands
2016-09-01,159714,September,2016-09,LNS11000000,civilian labor force,number in thousands
2016-08-01,159562,August,2016-08,LNS11000000,civilian labor force,number in thousands
2016-07-01,159194,July,2016-07,LNS11000000,civilian labor force,number in thousands
2016-06-01,158967,June,2016-06,LNS11000000,civilian labor force,number in thousands
2016-05-01,158784,May,2016-05,LNS11000000,civilian labor force,number in thousands
2016-04-01,159141,April,2016-04,LNS11000000,civilian labor force,number in thousands
2016-03-01,159179,March,2016-03,LNS11000000,civilian labor force,number in thousands
2016-02-01,158640,February,2016-02,LNS11000000,civilian labor force,number in thousands
2016-01-01,158280,January,2016-01,LNS11000000,civilian labor force,number in thousands
2015-12-01,158035,December,2015-12,LNS11000000,civilian labor force,number in thousands
2015-11-01,157463,November,2015-11,LNS11000000,civilian labor force,number in thousands
2015-10-01,157167,October,2015-10,LNS11000000,civilian labor force,number in thousands
2015-09-01,156733,September,2015-09,LNS11000000,civilian labor force,number in thousands
2015-08-01,157172,August,2015-08,LNS11000000,civilian labor force,number in thousands
2015-07-01,156997,July,2015-07,LNS11000000,civilian labor force,number in thousands
2015-06-01,157062,June,2015-06,LNS11000000,civilian labor force,number in thousands
2015-05-01,157651,May,2015-05,LNS11000000,civilian labor force,number in thousands
2015-04-01,157060,April,2015-04,LNS11000000,civilian labor force,number in thousands
2015-03-01,156643,March,2015-03,LNS11000000,civilian labor force,number in thousands
2015-02-01,156644,February,2015-02,LNS11000000,civilian labor force,number in thousands
2015-01-01,157030,January,2015-01,LNS11000000,civilian labor force,number in thousands
2014-12-01,156332,December,2014-12,LNS11000000,civilian labor force,number in thousands
2014-11-01,156494,November,2014-11,LNS11000000,civilian labor force,number in thousands
2014-10-01,156417,October,2014-10,LNS11000000,civilian labor force,number in thousands
2014-09-01,156040,September,2014-09,LNS11000000,civilian labor force,number in thousands
2014-08-01,156130,August,2014-08,LNS11000000,civilian labor force,number in thousands
2014-07-01,156007,July,2014-07,LNS11000000,civilian labor force,number in thousands
2014-06-01,155707,June,2014-06,LNS11000000,civilian labor force,number in thousands
2014-05-01,155684,May,2014-05,LNS11000000,civilian labor force,number in thousands
2014-04-01,155369,April,2014-04,LNS11000000,civilian labor force,number in thousands
2014-03-01,156028,March,2014-03,LNS11000000,civilian labor force,number in thousands
2014-02-01,155483,February,2014-02,LNS11000000,civilian labor force,number in thousands
2014-01-01,155352,January,2014-01,LNS11000000,civilian labor force,number in thousands
2013-12-01,155182,December,2013-12,LNS11000000,civilian labor force,number in thousands
2013-11-01,155265,November,2013-11,LNS11000000,civilian labor force,number in thousands
2013-10-01,154673,October,2013-10,LNS11000000,civilian labor force,number in thousands
2013-09-01,155687,September,2013-09,LNS11000000,civilian labor force,number in thousands
2013-08-01,155605,August,2013-08,LNS11000000,civilian labor force,number in thousands
2013-07-01,155599,July,2013-07,LNS11000000,civilian labor force,number in thousands
2013-06-01,155749,June,2013-06,LNS11000000,civilian labor force,number in thousands
2013-05-01,155536,May,2013-05,LNS11000000,civilian labor force,number in thousands
2013-04-01,155394,April,2013-04,LNS11000000,civilian labor force,number in thousands
2013-03-01,155005,March,2013-03,LNS11000000,civilian labor force,number in thousands
2013-02-01,155312,February,2013-02,LNS11000000,civilian labor force,number in thousands
2013-01-01,155763,January,2013-01,LNS11000000,civilian labor force,number in thousands
2012-12-01,155628,December,2012-12,LNS11000000,civilian labor force,number in thousands
2012-11-01,155338,November,2012-11,LNS11000000,civilian labor force,number in thousands
2012-10-01,155554,October,2012-10,LNS11000000,civilian labor force,number in thousands
2012-09-01,155160,September,2012-09,LNS11000000,civilian labor force,number in thousands
2012-08-01,154763,August,2012-08,LNS11000000,civilian labor force,number in thousands
2012-07-01,154948,July,2012-07,LNS11000000,civilian labor force,number in thousands
2012-06-01,155083,June,2012-06,LNS11000000,civilian labor force,number in thousands
2012-05-01,154866,May,2012-05,LNS11000000,civilian labor force,number in thousands
2012-04-01,154545,April,2012-04,LNS11000000,civilian labor force,number in thousands
2012-03-01,154749,March,2012-03,LNS11000000,civilian labor force,number in thousands
2012-02-01,154671,February,2012-02,LNS11000000,civilian labor force,number in thousands
2012-01-01,154381,January,2012-01,LNS11000000,civilian labor force,number in thousands
2011-12-01,153995,December,2011-12,LNS11000000,civilian labor force,number in thousands
2011-11-01,154128,November,2011-11,LNS11000000,civilian labor force,number in thousands
2011-10-01,153961,October,2011-10,LNS11000000,civilian labor force,number in thousands
2011-09-01,154131,September,2011-09,LNS11000000,civilian labor force,number in thousands
2011-08-01,153760,August,2011-08,LNS11000000,civilian labor force,number in thousands
2011-07-01,153288,July,2011-07,LNS11000000,civilian labor force,number in thousands
2011-06-01,153346,June,2011-06,LNS11000000,civilian labor force,number in thousands
2011-05-01,153479,May,2011-05,LNS11000000,civilian labor force,number in thousands
2011-04-01,153543,April,2011-04,LNS11000000,civilian labor force,number in thousands
2011-03-01,153376,March,2011-03,LNS11000000,civilian labor force,number in thousands
2011-02-01,153214,February,2011-02,LNS11000000,civilian labor force,number in thousands
2011-01-01,153263,January,2011-01,LNS11000000,civilian labor force,number in thousands
2010-12-01,153650,December,2010-12,LNS11000000,civilian labor force,number in thousands
2010-11-01,154125,November,2010-11,LNS11000000,civilian labor force,number in thousands
2010-10-01,153635,October,2010-10,LNS11000000,civilian labor force,number in thousands
2010-09-01,153975,September,2010-09,LNS11000000,civilian labor force,number in thousands
2010-08-01,154086,August,2010-08,LNS11000000,civilian labor force,number in thousands
2010-07-01,153691,July,2010-07,LNS11000000,civilian labor force,number in thousands
2010-06-01,153616,June,2010-06,LNS11000000,civilian labor force,number in thousands
2010-05-01,154091,May,2010-05,LNS11000000,civilian labor force,number in thousands
2010-04-01,154622,April,2010-04,LNS11000000,civilian labor force,number in thousands
2010-03-01,153954,March,2010-03,LNS11000000,civilian labor force,number in thousands
2010-02-01,153694,February,2010-02,LNS11000000,civilian labor force,number in thousands
2010-01-01,153484,January,2010-01,LNS11000000,civilian labor force,number in thousands
2009-12-01,153111,December,2009-12,LNS11000000,civilian labor force,number in thousands
2009-11-01,153878,November,2009-11,LNS11000000,civilian labor force,number in thousands
2009-10-01,153784,October,2009-10,LNS11000000,civilian labor force,number in thousands
2009-09-01,153827,September,2009-09,LNS11000000,civilian labor force,number in thousands
2009-08-01,154307,August,2009-08,LNS11000000,civilian labor force,number in thousands
2009-07-01,154502,July,2009-07,LNS11000000,civilian labor force,number in thousands
2009-06-01,154716,June,2009-06,LNS11000000,civilian labor force,number in thousands
2009-05-01,154747,May,2009-05,LNS11000000,civilian labor force,number in thousands
2009-04-01,154509,April,2009-04,LNS11000000,civilian labor force,number in thousands
2009-03-01,154133,March,2009-03,LNS11000000,civilian labor force,number in thousands
2009-02-01,154538,February,2009-02,LNS11000000,civilian labor force,number in thousands
2009-01-01,154210,January,2009-01,LNS11000000,civilian labor force,number in thousands
2008-12-01,154655,December,2008-12,LNS11000000,civilian labor force,number in thousands
2008-11-01,154639,November,2008-11,LNS11000000,civilian labor force,number in thousands
2008-10-01,154876,October,2008-10,LNS11000000,civilian labor force,number in thousands
2008-09-01,154570,September,2008-09,LNS11000000,civilian labor force,number in thousands
2008-08-01,154641,August,2008-08,LNS11000000,civilian labor force,number in thousands
2008-07-01,154469,July,2008-07,LNS11000000,civilian labor force,number in thousands
2008-06-01,154313,June,2008-06,LNS11000000,civilian labor force,number in thousands
2008-05-01,154303,May,2008-05,LNS11000000,civilian labor force,number in thousands
2008-04-01,153769,April,2008-04,LNS11000000,civilian labor force,number in thousands
2008-03-01,153908,March,2008-03,LNS11000000,civilian labor force,number in thousands
2008-02-01,153653,February,2008-02,LNS11000000,civilian labor force,number in thousands
2008-01-01,154063,January,2008-01,LNS11000000,civilian labor force,number in thousands
2007-12-01,153918,December,2007-12,LNS11000000,civilian labor force,number in thousands
2007-11-01,153835,November,2007-11,LNS11000000,civilian labor force,number in thousands
2007-10-01,153183,October,2007-10,LNS11000000,civilian labor force,number in thousands
2007-09-01,153414,September,2007-09,LNS11000000,civilian labor force,number in thousands
2007-08-01,152749,August,2007-08,LNS11000000,civilian labor force,number in thousands
2007-07-01,153054,July,2007-07,LNS11000000,civilian labor force,number in thousands
2007-06-01,153041,June,2007-06,LNS11000000,civilian labor force,number in thousands
2007-05-01,152670,May,2007-05,LNS11000000,civilian labor force,number in thousands
2007-04-01,152435,April,2007-04,LNS11000000,civilian labor force,number in thousands
2007-03-01,153051,March,2007-03,LNS11000000,civilian labor force,number in thousands
2007-02-01,152983,February,2007-02,LNS11000000,civilian labor force,number in thousands
2007-01-01,153144,January,2007-01,LNS11000000,civilian labor force,number in thousands
2006-12-01,152732,December,2006-12,LNS11000000,civilian labor force,number in thousands
2006-11-01,152406,November,2006-11,LNS11000000,civilian labor force,number in thousands
2006-10-01,152041,October,2006-10,LNS11000000,civilian labor force,number in thousands
2006-09-01,151662,September,2006-09,LNS11000000,civilian labor force,number in thousands
2006-08-01,151716,August,2006-08,LNS11000000,civilian labor force,number in thousands
2006-07-01,151377,July,2006-07,LNS11000000,civilian labor force,number in thousands
2006-06-01,151354,June,2006-06,LNS11000000,civilian labor force,number in thousands
2006-05-01,151069,May,2006-05,LNS11000000,civilian labor force,number in thousands
2006-04-01,150881,April,2006-04,LNS11000000,civilian labor force,number in thousands
2006-03-01,150813,March,2006-03,LNS11000000,civilian labor force,number in thousands
2006-02-01,150641,February,2006-02,LNS11000000,civilian labor force,number in thousands
2006-01-01,150214,January,2006-01,LNS11000000,civilian labor force,number in thousands
2005-12-01,150030,December,2005-12,LNS11000000,civilian labor force,number in thousands
2005-11-01,150065,November,2005-11,LNS11000000,civilian labor force,number in thousands
2005-10-01,150001,October,2005-10,LNS11000000,civilian labor force,number in thousands
2005-09-01,149954,September,2005-09,LNS11000000,civilian labor force,number in thousands
2005-08-01,149779,August,2005-08,LNS11000000,civilian labor force,number in thousands
2005-07-01,149432,July,2005-07,LNS11000000,civilian labor force,number in thousands
2005-06-01,149238,June,2005-06,LNS11000000,civilian labor force,number in thousands
2005-05-01,149261,May,2005-05,LNS11000000,civilian labor force,number in thousands
2005-04-01,148926,April,2005-04,LNS11000000,civilian labor force,number in thousands
2005-03-01,148391,March,2005-03,LNS11000000,civilian labor force,number in thousands
2005-02-01,148364,February,2005-02,LNS11000000,civilian labor force,number in thousands
2005-01-01,148029,January,2005-01,LNS11000000,civilian labor force,number in thousands
2004-12-01,148059,December,2004-12,LNS11000000,civilian labor force,number in thousands
2004-11-01,148162,November,2004-11,LNS11000000,civilian labor force,number in thousands
2004-10-01,147793,October,2004-10,LNS11000000,civilian labor force,number in thousands
2004-09-01,147415,September,2004-09,LNS11000000,civilian labor force,number in thousands
2004-08-01,147564,August,2004-08,LNS11000000,civilian labor force,number in thousands
2004-07-01,147692,July,2004-07,LNS11000000,civilian labor force,number in thousands
2004-06-01,147460,June,2004-06,LNS11000000,civilian labor force,number in thousands
2004-05-01,147065,May,2004-05,LNS11000000,civilian labor force,number in thousands
2004-04-01,146850,April,2004-04,LNS11000000,civilian labor force,number in thousands
2004-03-01,146944,March,2004-03,LNS11000000,civilian labor force,number in thousands
2004-02-01,146709,February,2004-02,LNS11000000,civilian labor force,number in thousands
2004-01-01,146842,January,2004-01,LNS11000000,civilian labor force,number in thousands
2003-12-01,146729,December,2003-12,LNS11000000,civilian labor force,number in thousands
