id,url,user_name,user_displayname,user_verified,user_description,user_followersCount,user_location,date,time,content,replyCount,retweetCount,likeCount,quoteCount,sourceLabel,retweetedTweet
1355265565804249088,https://twitter.com/ctkuneman1973/status/1355265565804249088,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,13:24:25,"@RJcliffordMMA I mean this is pointless because his position really has no meaning. But, it really isn't clear what actions he's made to warrant this.",0,0,0,0,Twitter Web App,
1355245499784200192,https://twitter.com/ctkuneman1973/status/1355245499784200192,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,12:04:41,"@Britt_S_2009 @ppl_over_party @GOPLeader That is a fair assessment from someone I do not normally agree with. Basically he's saying, if the teachers want to stay home, then they need to at least be upfront about it. So, that families with school children can at least adjust accordingly.",0,0,0,0,Twitter Web App,
1355241042857979905,https://twitter.com/ctkuneman1973/status/1355241042857979905,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,11:46:58,"@Britt_S_2009 @ppl_over_party @GOPLeader And, that is the point. As Newsom has said and I'm paraphrasing, ""The Teachers Unions can't wait or expect the perfect situation. If that's the case (where they'll only accept the perfect situation), then they need to be upfront with parents that they're not coming back.""",1,0,0,0,Twitter Web App,
1355201042514808832,https://twitter.com/ctkuneman1973/status/1355201042514808832,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,09:08:01,"@JennLevyBKLYN @NorseKorean @GOPLeader It is definitely a work in progress. When it will end no one knows. But, I hope it's sooner than later.",0,0,1,0,Twitter Web App,
1355200551324008450,https://twitter.com/ctkuneman1973/status/1355200551324008450,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,09:06:04,"@underlandia @mrcnewcome @GOPLeader Alright fair enough. So, let's settle the arguement. You want kids back in school and you don't think Kevin is doing enough. I agree with you.",0,0,0,0,Twitter Web App,
1355189475593183235,https://twitter.com/ctkuneman1973/status/1355189475593183235,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,08:22:03,@underlandia @mrcnewcome @GOPLeader When it comes to someone like you. You REALLY need to explain thing.,1,0,0,0,Twitter Web App,
1355188946364289030,https://twitter.com/ctkuneman1973/status/1355188946364289030,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,08:19:57,"@underlandia @mrcnewcome @GOPLeader Yeah, it's been real.",0,0,0,0,Twitter Web App,
1355188822091333632,https://twitter.com/ctkuneman1973/status/1355188822091333632,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,08:19:28,"@JennLevyBKLYN @NorseKorean @GOPLeader And, that's what I mean. How long will it take? At what point do we say enough is enough, even if it's years from now and things are still not under control. Does any of us really know if it'll be 3 months from now or 3 years?",1,0,0,0,Twitter Web App,
1355187964007993351,https://twitter.com/ctkuneman1973/status/1355187964007993351,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,08:16:03,"@underlandia @mrcnewcome @GOPLeader The only thing I have defended him is the view of getting kids back in class. I have not expressed anything else. And, I've been clear from the get go of that. But, apparently you have comprehensive issues. If I have to explain that to you. Which explains alot!",1,0,0,0,Twitter Web App,
1355186702269120515,https://twitter.com/ctkuneman1973/status/1355186702269120515,ctkuneman1973,Christopher Kuneman,False,,4,,2021-01-29,08:11:02,"@underlandia @mrcnewcome @GOPLeader It's not going to be insightful to you, because you're inherent to your views. I can see that by the Newsom question. I can fault Kevin on things he's done. But, it's obvious you're unwilling to do the same.",1,0,0,0,Twitter Web App,
