store_name,store_id,url,phone,address,city,state,zip,latitude,longitude
Riverchase Galleria Outparcel,2525,/store/2525-HOOVER,(205) 733-2171,3460 Galleria Circle,Hoover,Alabama,35244-2366,33.38026,-86.80618
Bridge Street Town Centre,2574,/store/2574-HUNTSVILLE,(256) 971-2879,200 The Bridge Street Nw,Huntsville,Alabama,35806-0042,34.713782,-86.672555
Mcgowin Park,2572,/store/2572-MOBILE,(251) 470-9844,3085 Government Blvd.,Mobile,Alabama,36606-2610,30.65408,-88.11765
Chase Corner,2565,/store/2565-MONTGOMERY,(334) 273-3255,1490 Taylor Rd.,Montgomery,Alabama,36117-3745,32.35769,-86.17203
Casa Paloma Shopping Center,473,/store/473-CHANDLER,(480) 961-1919,7181 W Ray Rd.,Chandler,Arizona,85226-1519,33.31925,-111.96713
Arrowhead Towne Center - Outparcel,469,/store/469-GLENDALE,(623) 334-3033,7520 W Bell Rd.,Glendale,Arizona,85308-8620,33.63878,-112.22149
Dana Park,2414,/store/2414-MESA,(480) 813-2091,1750 S Valvista Dr.,Mesa,Arizona,85204-7304,33.38289,-111.75456
Paradise Valley - Outparcel,480,/store/480-PHOENIX,(602) 569-6200,12656 N Tatum Blvd.,Phoenix,Arizona,85032-7721,33.60218,-111.97937
Broadway Blvd.,413,/store/413-TUCSON,(520) 514-9800,5955 E. Broadway Blvd.,Tucson,Arizona,85711-3903,32.22196,-110.86525
Sec Oracle & Wetmore,2413,/store/2413-TUCSON,(520) 292-6265,4240 N Oracle Rd.,Tucson,Arizona,85705-1632,32.28387,-110.97752
Park Avenue,2524,/store/2524-LITTLE ROCK,(501) 280-9030,310 South University Ave.,Little Rock,Arkansas,72205-5205,34.75017,-92.34163
Shops At River Walk,2564,/store/2564-BAKERSFIELD,(661) 664-1004,10600 Stockdale Hwy.,Bakersfield,California,93311-3658,35.35139,-119.12018
Brea Plaza,2516,/store/2516-BREA,(714) 257-1184,1631 East Imperial Hwy.,Brea,California,92821-5809,33.91083,-117.881012
Los Cerritos Center,2541,/store/2541-CERRITOS,(562) 865-1860,18711 Gridley Rd.,Cerritos,California,90703-5409,33.86114,-118.09132
The Shoppes At Chino Hills,2507,/store/2507-CHINO HILLS,(909) 548-4636,3585 Grand Ave.,Chino Hills,California,91709-5412,34.00183,-117.72863
Metro Pointe At South Coast,2563,/store/2563-COSTA MESA,(714) 549-2137,901 South Coast Dr.,Costa Mesa,California,92626,33.69035,-117.8934
Jared Vault Gilroy Premium Outlets,4031,/store/4031-GILROY,(408) 846-5633,8325 Arroyo Circle,Gilroy,California,95020-7325,37.02261,-121.56368
College Center,2498,/store/2498-MISSION VIEJO,(949) 989-8170,28241 Marguerite Pkwy,Mission Viejo,California,92692-3703,33.55255,-117.67109
Village At San Antonio Center,2540,/store/2540-MOUNTAIN VIEW,(650) 917-9378,685 San Antonio Rd.,Mountain View,California,94040-1357,37.40147,-122.11218
Westfield Plaza Bonita,2427,/store/2427-NATIONAL CITY,(619) 267-1323,2960 Plaza Bonita Rd.,National City,California,91950-8015,32.65785,-117.06809
Jared Vault Ontario Mills,4053,/store/4053-ONTARIO,(909) 476-9777,1 East Mills Circle,Ontario,California,91764-5211,34.07274,-117.5513
Sierra Commons,2462,/store/2462-PALMDALE,(661) 947-6141,849 West Rancho Vista Blvd.,Palmdale,California,93551-3717,34.605697,-118.165952
Victoria Gardens - Outparcel,2453,/store/2453-RANCHO CUCAMONGA,(909) 463-6161,12430 Foothill Blvd.,Rancho Cucamonga,California,91739-9319,34.1069,-117.534
Ridge At Creekside,453,/store/453-ROSEVILLE,(916) 787-1701,1128 Galleria Blvd.,Roseville,California,95678-1992,38.76976,-121.26519
Arden Way Aka Point West Crp Cnt,454,/store/454-SACRAMENTO,(916) 567-0930,1620 Arden Way,Sacramento,California,95815-4005,38.59904,-121.42724
Westfield Mission Valley,2472,/store/2472-SAN DIEGO,(619) 278-0060,1025 Camino De La Reina,San Diego,California,92108-1310,32.76804,-117.15287
Carmel Mountain Road,2558,/store/2558-SAN DIEGO,(858) 487-2599,11998 Carmel Mountain Rd.,San Diego,California,92128-4603,32.98302,-117.07668
Simi Valley Town Center,2460,/store/2460-SIMI VALLEY,(805) 583-9704,1115 Simi Town Center Way,Simi Valley,California,93065-0512,34.28481,-118.77819
Winchester Marketplace,2585,/store/2585-TEMECULA,(951) 296-6142,40825 Winchester Road,Temecula,California,92591-5508,33.52742,-117.15736
The Market Place,2551,/store/2551-TUSTIN,(714) 508-1033,3017 El Camino Real,Tustin,California,92782-8905,33.72369,-117.79187
Aurora City Place,441,/store/441-AURORA,(303) 364-0800,235 S Abilene St.,Aurora,Colorado,80012-1404,39.71224,-104.82465
Woodmen Commons,486,/store/486-COLORADO SPRINGS,(719) 262-0701,1720 E Woodmen Rd.,Colorado Springs,Colorado,80920-3325,38.93383,-104.79608
Centennial Promenade,482,/store/482-ENGLEWOOD,(303) 799-4739,9535 E County Line Rd.,Englewood,Colorado,80112-3501,39.5676,-104.87886
Colorado Mills - Outparcel,422,/store/422-LAKEWOOD,(720) 497-0400,14145 W Colfax Ave.,Lakewood,Colorado,80401-3281,39.73637,-105.157976
Promenade Shops At Centerra - Out,2473,/store/2473-LOVELAND,(970) 461-5925,5802 Sky Pond Dr.,Loveland,Colorado,80538-9073,40.41053,-104.99193
Westminster City Center,483,/store/483-WESTMINSTER,(303) 426-4405,9210 Sheridan Blvd.,Westminster,Colorado,80031-6303,39.86393,-105.05233
Corbin's Corner,2534,/store/2534-W. Hartford,(203) 694-0429,1505 New Britain Ave.,W. Hartford,Connecticut,06110-2014,41.72242,-72.76051
One Dayton Place,2506,/store/2506-WATERFORD,(860) 442-4470,1 Dayton Place,Waterford,Connecticut,06385-4204,41.37467,-72.13949
Christiana Fashion Center,2566,/store/2566-NEWARK,(302) 266-7589,2110 Fashion Center Blvd.,Newark,Delaware,19702-3245,39.67273,-75.65012
Route 202 Shopping Center,2463,/store/2463-WILMINGTON,(302) 478-4240,5327 Concord Pike,Wilmington,Delaware,19803-1418,39.83118,-75.54301
Uptown Altamonte,2418,/store/2418-ALTAMONTE SPRINGS,(407) 339-0556,229 E Altamonte Dr.,Altamonte Springs,Florida,32701-4347,28.66247,-81.38468
