version,version_season,season_name,season,tribe,tribe_colour,tribe_status
US,US01,Survivor: Borneo,1.0,Pagong,#FFFF05,Original
US,US01,Survivor: Borneo,1.0,Rattana,#7CFC00,Merged
US,US01,Survivor: Borneo,1.0,Tagi,#FF9900,Original
US,US02,Survivor: The Australian Outback,2.0,Barramundi,#FF6600,Merged
US,US02,Survivor: The Australian Outback,2.0,Kucha,#32CCFF,Original
US,US02,Survivor: The Australian Outback,2.0,Ogakor,#A7FC00,Original
US,US03,Survivor: Africa,3.0,Boran,#FFD700,Original
US,US03,Survivor: Africa,3.0,Moto Maji,#00A693,Merged
US,US03,Survivor: Africa,3.0,Samburu,#E41A2A,Original
US,US04,Survivor: Marquesas,4.0,Maraamu,#DFFF00,Original
US,US04,Survivor: Marquesas,4.0,Rotu,#99FFFF,Original
US,US04,Survivor: Marquesas,4.0,Soliantu,#F400A1,Merged
US,US05,Survivor: Thailand,5.0,Chuay Gahn,#FF321D,Original
US,US05,Survivor: Thailand,5.0,Chuay Jai,#FFAA00,Merged
US,US05,Survivor: Thailand,5.0,Sook Jai,#7515D4,Original
US,US06,Survivor: The Amazon,6.0,Jaburu,#FFF71B,Original
US,US06,Survivor: The Amazon,6.0,Jacare,#FF1D1D,Merged
US,US06,Survivor: The Amazon,6.0,Tambaqui,#3366FF,Original
US,US07,Survivor: Pearl Islands,7.0,Balboa,#000000,Merged
US,US07,Survivor: Pearl Islands,7.0,Drake,#87CEEB,Original
US,US07,Survivor: Pearl Islands,7.0,Morgan,#F88E17,Original
US,US07,Survivor: Pearl Islands,7.0,The Outcasts,#9400D3,Swapped
US,US08,Survivor: All-Stars,8.0,Chaboga Mogo,#290FB8,Merged
US,US08,Survivor: All-Stars,8.0,Chapera,#BC0E16,Original
US,US08,Survivor: All-Stars,8.0,Mogo Mogo,#2F663B,Original
US,US08,Survivor: All-Stars,8.0,Saboga,#EFCC24,Original
US,US09,Survivor: Vanuatu,9.0,Alinta,#F77613,Merged
US,US09,Survivor: Vanuatu,9.0,Lopevi,#E21A1D,Original
US,US09,Survivor: Vanuatu,9.0,Yasur,#F6F33C,Original
US,US10,Survivor: Palau,10.0,Koror,#784937,Merged
US,US10,Survivor: Palau,10.0,Koror,#784937,Original
US,US10,Survivor: Palau,10.0,None,#BEBEBE,Original
US,US10,Survivor: Palau,10.0,Ulong,#2840B4,Original
US,US11,Survivor: Guatemala,11.0,Nakum,#FFDC4C,Original
US,US11,Survivor: Guatemala,11.0,Xhakum,#DC143C,Merged
US,US11,Survivor: Guatemala,11.0,Yaxha,#69C0C0,Original
US,US12,Survivor: Panama,12.0,Bayoneta,#00A5FA,Original
