version,version_season,season_name,season,item,item_description,category,castaway,castaway_id,cost,covered,money_remaining,auction_num,participated,notes,alternative_offered,alternative_accepted,other_item,other_item_category
US,US02,Survivor: The Australian Outback,2.0,1.0,Four Dorito Chips And A Bowl Of Salsa,Food and drink,Nick,US0026,60.0,False,440.0,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,2.0,Peanut Butter And Chocolate,Food and drink,Elisabeth,US0029,260.0,False,340.0,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,3.0,Glass Of Mountain Dew,Food and drink,Amber,US0027,80.0,False,420.0,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,4.0,Three Cracker Sandwiches,Food and drink,Nick,US0026,120.0,False,320.0,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,5.0,One Slice Of Supreme Pizza,Food and drink,Keith,US0030,180.0,False,320.0,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,6.0,Mini Oreos And A Glass Of Milk,Food and drink,Tina,US0032,,False,,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,7.0,Pretzels And A Bottle Of Beer,Food and drink,Nick,US0026,100.0,False,220.0,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,8.0,Six French Fries And A Side Of Ranch,Food and drink,Amber,US0027,,False,,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,9.0,Iced Coffee And A Chocolate Peanut Butter Energy Bar,Food and drink,Colby,US0031,280.0,False,220.0,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,10.0,"Mashed Potatoes, Turkey, Bread, Green Beans, And Cranberry Sauce",Food and drink,Elisabeth,US0029,340.0,False,0.0,1.0,Tina,Elisabeth shared this item with Tina.,False,,,
US,US02,Survivor: The Australian Outback,2.0,11.0,Glass Of River Water,Bad item,Amber,US0027,200.0,True,300.0,1.0,,,False,,,
US,US02,Survivor: The Australian Outback,2.0,12.0,Cheeseburger,Food and drink,Rodger,US0028,320.0,False,180.0,1.0,,,False,,,
US,US03,Survivor: Africa,3.0,1.0,Coffee With Sugar And Chocolate Croissant,Food and drink,Lex,US0046,3000.0,False,17000.0,1.0,,,False,,,
US,US03,Survivor: Africa,3.0,2.0,Cheese And Crackers,Food and drink,Kim J.,US0047,6000.0,False,14000.0,1.0,,,False,,,
US,US03,Survivor: Africa,3.0,3.0,Cold Beer,Food and drink,Tom,US0045,1000.0,False,19000.0,1.0,,,False,,,
US,US03,Survivor: Africa,3.0,4.0,Sundae With Chocolate Syrup,Food and drink,Kim P.,US0043,12500.0,False,7500.0,1.0,,,False,,,
US,US03,Survivor: Africa,3.0,5.0,Mug Of Chocolate Syrup,Food and drink,Ethan,US0048,5000.0,False,15000.0,1.0,,,False,,,
US,US03,Survivor: Africa,3.0,6.0,"Fried Chicken, Mashed Potatoes And Gravy, And Vegetables",Food and drink,Kim J.,US0047,11000.0,True,3000.0,1.0,,"Kim J. shared some of her chicken and mashed potatoes with Lex for 10,500 Shillings.",False,,,
US,US03,Survivor: Africa,3.0,7.0,Meatball Marinara Hoagie,Food and drink,Teresa,US0044,16500.0,False,3500.0,1.0,,Teresa split this item with Frank.,False,,,
US,US03,Survivor: Africa,3.0,8.0,"Pancakes With Butter, Scrambled Eggs, And Bacon",Food and drink,Tom,US0045,9000.0,True,10000.0,1.0,,Tom split this item with Ethan.,False,,,
US,US05,Survivor: Thailand,5.0,1.0,Hamburger With Toppings And Fries,Food and drink,Sook Jai,,120.0,False,880.0,1.0,"Stephanie, Robb, Shii Ann, Erin, Ken, Penny, Jake",,False,,,
