castaway_id,full_name,full_name_detailed,castaway,date_of_birth,date_of_death,gender,african,asian,latin_american,native_american,bipoc,lgbt,personality_type,occupation,three_words,hobbies,pet_peeves,race,ethnicity
US0001,Sonja Christopher,Sonja Christopher,Sonja,1937-01-28,2024-04-26,Female,False,False,False,False,False,True,ENFP,Musician,,,,,
US0002,B.B. Andersen,B.B. Andersen,B.B.,1936-01-18,2013-10-29,Male,False,False,False,False,False,False,ESTJ,Real Estate Developer,,,,,
US0003,Stacey Stillman,Stacey Stillman,Stacey,1972-08-11,,Female,False,False,False,False,False,False,ENTJ,Attorney,,,,,
US0004,Ramona Gray,Ramona Gray,Ramona,1971-01-20,,Female,True,False,False,False,True,False,ISTJ,Biochemist/Chemist,,,,Black,
US0005,Dirk Been,Dirk Been,Dirk,1976-06-15,,Male,False,False,False,False,False,False,ISFP,Dairy Farmer,,,,,
US0006,Joel Klug,Joel Klug,Joel,1972-04-13,,Male,False,False,False,False,False,False,ESTJ,Health Club Consultant,,,,,
US0007,Gretchen Cordy,Gretchen Cordy,Gretchen,1962-02-07,,Female,False,False,False,False,False,False,ESFJ,Teacher,,,,,
US0008,Greg Buis,Greg Buis,Greg,1975-12-31,,Male,False,False,False,False,False,False,INTP,Ivy League Graduate,,,,,
US0009,Jenna Lewis,Jenna Lewis,Jenna L.,1977-07-16,,Female,False,False,False,False,False,False,ENFP,Student,,,,,
US0010,Gervase Peterson,Gervase Peterson,Gervase,1969-11-02,,Male,True,False,False,False,True,False,ESTP,YMCA Basketball Coach;Cigar Lounge Owner,,,,Black,
US0011,Colleen Haskell,Colleen Haskell,Colleen,1976-12-06,,Female,False,False,False,False,False,False,INFP,Student,,,,,
US0012,Sean Kenniff,Sean Kenniff,Sean,1969-11-27,,Male,False,False,False,False,False,False,INTP,Doctor,,,,,
US0013,Susan Hawk,Susan Hawk,Sue,1961-08-17,,Female,False,False,False,False,False,False,ESTP,Truck Driver,,,,,
US0014,Rudy Boesch,Rudy Boesch,Rudy,1928-01-20,2019-11-01,Male,False,False,False,False,False,False,ISTJ,Retired Navy SEAL,,,,,
US0015,Kelly Wiglesworth,Kelly Wiglesworth,Kelly,1977-06-24,,Female,False,False,False,False,False,False,ISFP,River Guide,,,,,
US0016,Richard Hatch,Richard Hatch,Richard,1961-04-08,,Male,False,False,False,False,False,True,ENTP,Corporate Trainer,,,,,
US0017,Debb Eaton,Debb Eaton,Debb,1955-06-11,,Female,False,False,False,False,False,False,ISFP,Corrections Officer,,,,,
US0018,Kel Gleason,Kel Gleason,Kel,1968-01-05,,Male,False,False,True,True,True,False,ISTJ,Army Intelligence Officer,,,,,"Hispanic or Latino, Native American"
US0019,Maralyn Hershey,Maralyn Hershey,Maralyn,1949-01-24,,Female,False,False,False,False,False,False,ESTP,Retired Police Officer,,,,,
US0020,Mitchell Olson,Mitchell Olson,Mitchell,1977-03-17,,Male,False,False,False,False,False,True,ENFP,Singer/Songwriter,,,,,
US0021,Kimmi Kappenberg,Kimmi Kappenberg,Kimmi,1972-11-11,,Female,False,False,False,False,False,False,ENFP,Bartender,,,,,
US0022,Michael Skupin,Michael Skupin,Michael,1962-01-29,,Male,False,False,False,False,False,False,ESFJ,Software Publisher;Part-Time Professional Speaker,"Adventurous, spontaneous and competitive.","Sports and fitness, coaching my kids and anything to do with water… in it, on it, over it, looking at it or listening to it.",Negativity and pessimism. the glass is always full.,,
US0023,Jeff Varner,Jeff Varner,Jeff,1966-04-16,,Male,False,False,False,False,False,True,ENFP,Internet Projects Manager,,,,,
US0024,Alicia Calaway,Alicia Calaway,Alicia,1968-05-01,,Female,True,False,False,False,True,False,ESTJ,Personal Trainer,,,,Black,
US0025,Jerri Manthey,Jerri Manthey,Jerri,1970-09-05,,Female,False,False,False,False,False,False,ESFP,Aspiring Actress,,,,,
US0026,Nick Brown,Nick Brown,Nick,1977-04-02,,Male,True,False,False,False,True,False,ISTJ,Harvard Law Student,,,,Black,
US0027,Amber Mariano,Amber Mariano,Amber,1978-08-11,,Female,False,False,False,False,False,False,ISFP,Administrative Assistant;Director of Marketing and Communications,Dedicated mom/wife.,"Being a mom of four equals no time for hobbies. lol! Any free time we have is spent together as a family. whether it's playing a game, going on a bike ride, or having family movie night... we love hanging out as a family!",,,
US0028,Rodger Bingham,Rodger Bingham,Rodger,1947-07-05,,Male,False,False,False,False,False,False,ISFJ,Teacher/Farmer,,,,,
US0029,Elisabeth Filarski,Elisabeth Filarski,Elisabeth,1977-05-28,,Female,False,False,False,False,False,False,INFP,Footwear Designer,,,,,
US0030,Keith Famie,Keith Famie,Keith,1960-02-11,,Male,False,False,False,False,False,False,ESTJ,Chef,,,,,
US0031,Colby Donaldson,Colby Donaldson,Colby,1974-04-01,,Male,False,False,False,False,False,False,ISTP,Auto Customizer,,,,,
US0032,Tina Wesson,Tina Wesson,Tina,1960-12-26,,Female,False,False,False,False,False,False,ESFJ,Personal Nurse;Motivational Speaker,,,,,
US0033,Diane Ogden,Diane Ogden,Diane,1959-04-27,,Female,False,False,False,False,False,False,ESTP,U.S. Mail Carrier,,,,,
US0034,Jessie Camacho,Jessie Camacho,Jessie,1974-09-24,,Female,False,False,True,False,True,False,ISFP,Deputy Sheriff,,,,,Hispanic or Latino
US0035,Carl Bilancione,Carl Bilancione,Carl,1955-06-20,,Male,False,False,False,False,False,False,ESTJ,Dentist,,,,,
US0036,Linda Spencer,Linda Spencer,Linda,1957-01-01,,Female,True,False,False,False,True,False,ESFJ,Career Counselor,,,,Black,
US0037,Silas Gaither,Silas Gaither,Silas,1978-01-28,,Male,False,False,False,False,False,False,ESTJ,Bartender,,,,,
US0038,Lindsey Richter,Lindsey Richter,Lindsey,1974-08-31,,Female,False,False,False,False,False,False,ESFP,Advertising Executive,,,,,
US0039,Clarence Black,Clarence Black,Clarence,1976-12-21,,Male,True,False,False,False,True,False,ISTP,Basketball Coach,,,,Black,
US0040,Kelly Goldsmith,Kelly Goldsmith,Kelly,1979-04-27,,Female,False,False,False,False,False,False,ENTP,Behavioral Research Analyst,,,,,
US0041,Brandon Quinton,Brandon Quinton,Brandon,1976-01-22,,Male,False,False,False,False,False,True,ENFP,Bartender,,,,,
US0042,Frank Garrison,Frank Garrison,Frank,1958-07-22,,Male,False,False,False,False,False,False,ISTJ,Telephone Technician,,,,,
US0043,Kim Powers,Kim Powers,Kim P.,1971-12-03,,Female,False,False,False,False,False,False,INFP,Freelance Marketer,,,,,
US0044,Teresa Cooper,Teresa Cooper,Teresa,1959-05-05,,Female,False,False,False,False,False,False,ENFP,Flight Attendant,,,,,
US0045,Tom Buchanan,Tom Buchanan,Tom,1955-10-30,,Male,False,False,False,False,False,False,ESTP,Goat Farmer,,,,,
US0046,Lex van den Berghe,Lex van den Berghe,Lex,1963-06-18,,Male,False,False,False,False,False,False,ENTJ,Marketing Manager,,,,,
US0047,Kim Johnson,Kim Johnson,Kim J.,1944-09-18,,Female,False,False,False,False,False,False,ISFJ,Retired Teacher,,,,,
US0048,Ethan Zohn,Ethan Zohn,Ethan,1973-11-12,,Male,False,False,False,False,False,False,ISFP,Professional Soccer Player;Social Entrepreneur/Keynote Speaker,"Compassionate, neurotic, and funny. i'm really, really funny.","Inventing useless gadgets, chopping and stacking wood, and chasing cats with my laser.","Weird bagel flavors. it's not a bagel unless it's sesame, poppy, plain, or everything.",,Jewish
US0049,Peter Harkey,Peter Harkey,Peter,1956-01-17,,Male,False,False,False,False,False,False,ENFP,Bowling Alley Owner,,,,,
US0050,Patricia Jackson,Patricia Jackson,Patricia,1952-04-08,,Female,False,False,False,False,False,False,ISFJ,Truck Assembler,,,,,
US0051,Hunter Ellis,Hunter Ellis,Hunter,1968-07-05,,Male,False,False,False,False,False,False,ESTJ,Former Navy Fighter Pilot,,,,,
US0052,Sarah Jones,Sarah Jones,Sarah,1977-08-11,,Female,False,False,False,False,False,False,ISFP,Account Manager,,,,,
US0053,Gabriel Cade,Gabriel Cade,Gabriel,1978-07-01,,Male,False,False,False,False,False,False,INFP,Bartender,,,,,
