date,value,indicator
2020-07-11,1448500,"initial unemployment claims, 4-week avg"
2020-07-18,1430000,"initial unemployment claims, 4-week avg"
2020-07-25,1383500,"initial unemployment claims, 4-week avg"
2020-08-01,1291250,"initial unemployment claims, 4-week avg"
2020-08-08,1145250,"initial unemployment claims, 4-week avg"
2020-08-15,1028750,"initial unemployment claims, 4-week avg"
2020-08-22,932750,"initial unemployment claims, 4-week avg"
2020-08-29,892000,"initial unemployment claims, 4-week avg"
2020-09-05,894000,"initial unemployment claims, 4-week avg"
2020-09-12,877500,"initial unemployment claims, 4-week avg"
2020-09-19,873250,"initial unemployment claims, 4-week avg"
2020-09-26,851750,"initial unemployment claims, 4-week avg"
2020-10-03,825000,"initial unemployment claims, 4-week avg"
2020-10-10,819500,"initial unemployment claims, 4-week avg"
2020-10-17,805750,"initial unemployment claims, 4-week avg"
2020-10-24,801000,"initial unemployment claims, 4-week avg"
2020-10-31,798000,"initial unemployment claims, 4-week avg"
2020-11-07,772500,"initial unemployment claims, 4-week avg"
2020-11-14,756000,"initial unemployment claims, 4-week avg"
2020-11-21,760250,"initial unemployment claims, 4-week avg"
2020-11-28,751250,"initial unemployment claims, 4-week avg"
2020-12-05,785250,"initial unemployment claims, 4-week avg"
2020-12-12,822250,"initial unemployment claims, 4-week avg"
2020-12-19,827750,"initial unemployment claims, 4-week avg"
2020-12-26,836750,"initial unemployment claims, 4-week avg"
2021-01-02,819250,"initial unemployment claims, 4-week avg"
2021-01-09,820250,"initial unemployment claims, 4-week avg"
2021-01-16,827500,"initial unemployment claims, 4-week avg"
2021-01-23,834000,"initial unemployment claims, 4-week avg"
2021-01-30,834000,"initial unemployment claims, 4-week avg"
2021-02-06,814500,"initial unemployment claims, 4-week avg"
2021-02-13,804000,"initial unemployment claims, 4-week avg"
2021-02-20,779750,"initial unemployment claims, 4-week avg"
2021-02-27,755000,"initial unemployment claims, 4-week avg"
2021-03-06,725250,"initial unemployment claims, 4-week avg"
2021-03-13,699500,"initial unemployment claims, 4-week avg"
2021-03-20,680750,"initial unemployment claims, 4-week avg"
2021-03-27,669250,"initial unemployment claims, 4-week avg"
2021-04-03,657250,"initial unemployment claims, 4-week avg"
2021-04-10,625250,"initial unemployment claims, 4-week avg"
2021-04-17,610000,"initial unemployment claims, 4-week avg"
2021-04-24,589000,"initial unemployment claims, 4-week avg"
2021-05-01,557000,"initial unemployment claims, 4-week avg"
2021-05-08,537750,"initial unemployment claims, 4-week avg"
2021-05-15,513000,"initial unemployment claims, 4-week avg"
2021-05-22,479750,"initial unemployment claims, 4-week avg"
2021-05-29,457250,"initial unemployment claims, 4-week avg"
2021-06-05,438750,"initial unemployment claims, 4-week avg"
2021-06-12,429250,"initial unemployment claims, 4-week avg"
2021-06-19,425000,"initial unemployment claims, 4-week avg"
2021-06-26,419500,"initial unemployment claims, 4-week avg"
2021-07-03,415250,"initial unemployment claims, 4-week avg"
2021-07-10,405750,"initial unemployment claims, 4-week avg"
2021-07-17,405750,"initial unemployment claims, 4-week avg"
2021-07-24,407250,"initial unemployment claims, 4-week avg"
2021-07-31,410000,"initial unemployment claims, 4-week avg"
