U.S. Tornadoes
*denotes preliminary data
Date,"Tornadoes","Fatalities"
195001,7,1
195002,20,45
195003,21,1
195004,15,12
195005,61,2
195006,28,6
195007,23,0
195008,13,0
195009,3,0
195010,2,0
195011,4,0
195012,4,3
195101,2,0
195102,10,1
195103,6,0
195104,26,2
195105,57,7
195106,76,9
195107,23,5
195108,27,0
195109,9,8
195110,2,0
195111,12,1
195112,10,1
195201,12,0
195202,27,10
195203,43,209
195204,37,4
195205,34,2
195206,34,3
195207,27,2
195208,16,1
195209,1,0
195210,0,0
195211,6,0
195212,3,0
195301,14,0
195302,16,3
195303,40,24
195304,47,36
195305,94,163
195306,111,244
195307,32,0
195308,24,0
195309,5,0
195310,6,0
195311,12,0
195312,21,49
195401,2,0
195402,17,2
195403,62,10
195404,113,2
195405,101,9
195406,107,5
195407,45,0
195408,49,1
195409,21,3
195410,14,2
195411,2,0
195412,17,2
195501,3,0
195502,4,0
195503,41,5
195504,99,7
195505,148,106
195506,153,2
195507,49,5
195508,33,0
195509,15,2
195510,23,1
195511,20,1
195512,3,0
195601,2,0
195602,47,8
195603,31,1
195604,85,67
195605,79,4
195606,65,0
195607,92,1
195608,42,2
195609,16,0
195610,29,0
195611,7,0
195612,9,0
195701,16,13
195702,5,0
195703,38,1
195704,216,30
195705,228,87
195706,147,14
195707,55,0
195708,20,0
195709,17,2
195710,18,2
195711,59,25
195712,38,19
195801,11,0
195802,20,13
195803,15,0
195804,76,4
195805,68,0
195806,128,43
195807,121,1
195808,46,1
195809,24,1
195810,9,4
195811,45,0
195812,1,0
195901,16,3
195902,20,21
195903,43,9
195904,30,1
195905,226,8
195906,73,2
195907,62,0
195908,38,0
195909,58,14
195910,24,0
195911,10,0
195912,2,0
196001,9,0
196002,28,0
196003,28,0
196004,70,7
196005,201,34
196006,125,3
196007,42,0
196008,48,1
196009,21,0
196010,18,1
196011,25,0
196012,1,0
196101,1,0
196102,31,0
196103,124,7
196104,75,4
196105,137,23
196106,107,2
196107,77,0
196108,27,0
196109,53,15
196110,14,0
196111,36,1
196112,16,0
196201,12,1
196202,25,0
196203,37,17
196204,41,2
196205,200,4
196206,170,0
196207,78,0
196208,51,6
196209,24,0
196210,11,0
196211,5,0
196212,2,0
196301,15,1
196302,5,0
196303,47,8
196304,85,16
196305,71,1
196306,90,0
196307,62,0
196308,26,2
196309,33,3
196310,13,0
196311,15,0
196312,0,0
196401,14,10
196402,2,0
196403,36,6
196404,158,15
196405,135,16
196406,137,0
196407,63,0
196408,79,2
196409,25,0
196410,22,22
196411,17,0
196412,18,2
196501,21,0
196502,33,0
196503,34,2
196504,126,268
196505,274,17
196506,147,7
196507,85,0
196508,61,1
196509,62,0
196510,16,1
196511,34,5
196512,7,0
196601,1,0
196602,28,0
196603,12,58
196604,80,12
196605,98,0
196606,126,19
196607,100,3
196608,58,0
196609,22,0
196610,29,6
196611,20,0
196612,11,0
196701,40,7
196702,8,0
196703,42,3
196704,149,73
196705,116,3
196706,210,6
196707,90,1
196708,28,2
196709,139,5
196710,36,4
196711,8,0
196712,61,10
196801,5,0
196802,7,0
196803,28,0
196804,103,40
196805,145,72
196806,136,11
196807,56,2
196808,66,2
196809,25,0
196810,14,0
196811,44,3
196812,32,1
196901,3,32
196902,5,0
196903,8,1
196904,69,2
196905,144,4
196906,137,7
196907,98,0
196908,70,19
196909,20,0
196910,25,0
196911,5,0
196912,23,1
197001,9,0
197002,16,0
197003,25,2
197004,117,30
197005,88,26
197006,134,6
197007,81,3
197008,55,0
197009,55,0
197010,50,6
197011,10,0
197012,14,0
197101,17,1
197102,85,134
197103,40,2
197104,75,11
197105,168,7
197106,198,1
197107,100,1
197108,50,0
197109,47,0
197110,38,0
197111,16,0
197112,54,2
197201,33,5
197202,7,0
197203,69,0
197204,96,16
197205,140,0
197206,113,9
197207,115,0
197208,59,2
197209,49,0
197210,34,0
197211,17,2
197212,8,0
197301,33,1
197302,10,0
197303,81,17
197304,150,10
197305,250,35
197306,224,3
197307,80,1
197308,51,4
197309,70,3
197310,25,0
197311,81,12
197312,49,3
197401,23,2
197402,23,0
197403,38,1
197404,273,317
197405,144,10
197406,194,31
197407,59,0
197408,106,0
197409,25,0
197410,45,5
197411,13,0
197412,8,0
197501,52,12
197502,45,7
197503,84,12
197504,108,13
197505,188,5
197506,196,6
197507,79,2
197508,60,2
197509,34,0
197510,12,0
197511,38,0
197512,22,1
197601,12,0
197602,37,5
197603,182,21
197604,113,1
197605,155,8
197606,169,3
197607,84,2
197608,38,1
197609,35,3
197610,11,0
197611,0,0
197612,1,0
197701,5,0
197702,17,2
197703,64,0
197704,88,26
197705,228,4
197706,132,0
197707,100,1
197708,82,6
197709,66,1
197710,25,1
197711,24,0
197712,23,2
197801,23,2
197802,7,0
197803,17,0
197804,107,4
197805,213,7
197806,148,17
197807,143,11
197808,65,1
197809,20,6
197810,7,0
197811,8,0
197812,31,5
197901,16,0
197902,4,0
197903,53,1
197904,127,58
197905,112,2
197906,150,8
197907,132,1
197908,126,5
197909,69,2
197910,47,7
197911,21,0
197912,2,0
198001,5,0
198002,11,0
198003,40,2
198004,137,4
198005,204,8
198006,217,7
198007,95,5
198008,73,0
198009,37,1
198010,43,1
198011,3,0
198012,1,0
198101,2,0
198102,25,2
198103,33,1
198104,84,13
198105,187,0
198106,223,8
198107,98,0
198108,64,0
198109,26,0
198110,32,0
198111,7,0
198112,1,0
198201,18,1
198202,1,0
198203,60,6
198204,151,30
198205,331,14
198206,196,4
198207,95,0
198208,34,0
198209,38,2
198210,9,0
198211,19,0
198212,97,7
198301,13,2
198302,41,1
198303,71,0
198304,65,6
198305,249,14
198306,178,2
198307,99,4
198308,76,0
198309,18,0
198310,13,0
198311,49,0
198312,58,5
198401,1,0
198402,27,0
198403,75,64
198404,176,33
198405,171,6
198406,243,14
198407,72,0
198408,47,0
198409,17,0
198410,49,4
198411,30,1
198412,4,0
198501,2,0
198502,7,0
198503,38,2
198504,135,5
198505,185,78
198506,82,3
198507,51,0
198508,108,3
198509,39,0
198510,18,0
198511,19,3
198512,3,0
198601,0,0
198602,30,2
198603,76,6
198604,84,2
198605,172,1
198606,134,0
198607,89,3
198608,67,1
198609,65,0
198610,26,0
198611,17,0
198612,5,0
198701,6,0
198702,19,6
198703,38,1
198704,20,1
198705,126,31
198706,132,2
198707,163,0
198708,63,1
198709,19,0
198710,1,0
198711,56,11
198712,15,6
198801,17,5
198802,4,0
198803,26,1
198804,58,4
198805,132,3
198806,63,0
198807,103,0
198808,61,3
198809,76,1
198810,19,0
198811,121,14
198812,20,1
198901,15,0
198902,17,0
198903,44,1
198904,82,0
198905,232,9
198906,252,5
198907,59,0
198908,36,0
198909,31,0
198910,30,4
198911,58,31
198912,3,0
199001,11,0
199002,57,1
199003,88,3
199004,108,0
199005,243,5
199006,334,11
199007,106,0
199008,60,29
199009,45,0
199010,35,2
199011,18,0
199012,35,2
199101,29,1
199102,11,0
199103,158,13
199104,204,21
199105,335,0
199106,216,1
199107,64,1
199108,46,0
199109,26,0
199110,21,0
199111,20,2
199112,3,0
199201,15,0
199202,29,0
199203,55,5
199204,53,0
199205,137,0
199206,400,1
199207,213,0
199208,115,3
199209,82,0
199210,34,4
199211,149,26
199212,20,0
199301,17,0
199302,34,81
199303,48,5
199304,85,10
199305,178,1
199306,313,0
199307,242,0
199308,112,6
199309,65,2
199310,55,4
199311,19,0
199312,6,0
199401,13,0
199402,9,0
199403,58,22
199404,206,13
199405,161,0
199406,236,3
199407,155,3
199408,120,0
199409,30,0
199410,51,0
199411,42,7
199412,4,0
199501,36,2
199502,7,6
199503,49,0
199504,130,1
199505,392,17
199506,216,4
199507,163,0
199508,53,0
199509,19,0
199510,74,1
199511,79,2
199512,18,1
199601,35,1
199602,14,1
199603,71,6
199604,177,12
199605,235,1
199606,128,0
199607,201,1
199608,72,0
199609,101,0
199610,68,0
199611,55,3
199612,15,1
199701,50,2
199702,23,1
199703,102,29
199704,114,1
199705,225,29
199706,193,0
199707,188,4
199708,84,1
199709,32,1
199710,101,0
199711,25,0
199712,12,0
199801,47,0
199802,72,42
199803,72,16
199804,182,55
199805,311,10
199806,379,3
199807,82,0
199808,61,0
199809,104,2
199810,86,2
199811,26,0
199812,6,0
199901,214,18
199902,22,0
199903,56,1
199904,179,15
199905,311,53
199906,289,4
199907,99,0
199908,79,1
199909,54,0
199910,17,0
199911,7,0
199912,15,2
200001,16,0
200002,55,19
200003,103,2
200004,136,2
200005,241,3
200006,136,0
200007,148,1
200008,51,0
200009,47,2
200010,64,0
200011,50,0
200012,26,12
200101,5,0
200102,28,8
200103,32,0
200104,135,5
200105,240,1
200106,248,4
200107,120,0
200108,69,0
200109,84,2
200110,118,2
200111,111,15
200112,22,0
200201,3,0
200202,2,0
200203,46,0
