NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,county
"Autauga County, Alabama",55200.0,,-555555555.0,*****,01,001
"Baldwin County, Alabama",208107.0,,-555555555.0,*****,01,003
"Barbour County, Alabama",25782.0,,-555555555.0,*****,01,005
"Bibb County, Alabama",22527.0,,-555555555.0,*****,01,007
"Blount County, Alabama",57645.0,,-555555555.0,*****,01,009
"Bullock County, Alabama",10352.0,,-555555555.0,*****,01,011
"Butler County, Alabama",20025.0,,-555555555.0,*****,01,013
"Calhoun County, Alabama",115098.0,,-555555555.0,*****,01,015
"Chambers County, Alabama",33826.0,,-555555555.0,*****,01,017
"Cherokee County, Alabama",25853.0,,-555555555.0,*****,01,019
"Chilton County, Alabama",43930.0,,-555555555.0,*****,01,021
"Choctaw County, Alabama",13075.0,,-555555555.0,*****,01,023
"Clarke County, Alabama",24387.0,,-555555555.0,*****,01,025
"Clay County, Alabama",13378.0,,-555555555.0,*****,01,027
"Cleburne County, Alabama",14938.0,,-555555555.0,*****,01,029
"Coffee County, Alabama",51288.0,,-555555555.0,*****,01,031
"Colbert County, Alabama",54495.0,,-555555555.0,*****,01,033
"Conecuh County, Alabama",12514.0,,-555555555.0,*****,01,035
"Coosa County, Alabama",10855.0,,-555555555.0,*****,01,037
"Covington County, Alabama",37351.0,,-555555555.0,*****,01,039
"Crenshaw County, Alabama",13865.0,,-555555555.0,*****,01,041
"Cullman County, Alabama",82313.0,,-555555555.0,*****,01,043
"Dale County, Alabama",49255.0,,-555555555.0,*****,01,045
"Dallas County, Alabama",40029.0,,-555555555.0,*****,01,047
"DeKalb County, Alabama",71200.0,,-555555555.0,*****,01,049
"Elmore County, Alabama",81212.0,,-555555555.0,*****,01,051
"Escambia County, Alabama",37328.0,,-555555555.0,*****,01,053
"Etowah County, Alabama",102939.0,,-555555555.0,*****,01,055
"Fayette County, Alabama",16585.0,,-555555555.0,*****,01,057
"Franklin County, Alabama",31542.0,,-555555555.0,*****,01,059
"Geneva County, Alabama",26491.0,,-555555555.0,*****,01,061
"Greene County, Alabama",8426.0,,-555555555.0,*****,01,063
"Hale County, Alabama",14887.0,,-555555555.0,*****,01,065
"Henry County, Alabama",17124.0,,-555555555.0,*****,01,067
"Houston County, Alabama",104352.0,,-555555555.0,*****,01,069
"Jackson County, Alabama",52094.0,,-555555555.0,*****,01,071
"Jefferson County, Alabama",659892.0,,-555555555.0,*****,01,073
"Lamar County, Alabama",13933.0,,-555555555.0,*****,01,075
"Lauderdale County, Alabama",92585.0,,-555555555.0,*****,01,077
"Lawrence County, Alabama",33171.0,,-555555555.0,*****,01,079
"Lee County, Alabama",159287.0,,-555555555.0,*****,01,081
"Limestone County, Alabama",93052.0,,-555555555.0,*****,01,083
"Lowndes County, Alabama",10236.0,,-555555555.0,*****,01,085
"Macon County, Alabama",19054.0,,-555555555.0,*****,01,087
"Madison County, Alabama",357560.0,,-555555555.0,*****,01,089
"Marengo County, Alabama",19538.0,,-555555555.0,*****,01,091
"Marion County, Alabama",29965.0,,-555555555.0,*****,01,093
"Marshall County, Alabama",95145.0,,-555555555.0,*****,01,095
"Mobile County, Alabama",414659.0,,-555555555.0,*****,01,097
"Monroe County, Alabama",21512.0,,-555555555.0,*****,01,099
"Montgomery County, Alabama",226941.0,,-555555555.0,*****,01,101
"Morgan County, Alabama",119122.0,,-555555555.0,*****,01,103
"Perry County, Alabama",9486.0,,-555555555.0,*****,01,105
"Pickens County, Alabama",20298.0,,-555555555.0,*****,01,107
"Pike County, Alabama",33403.0,,-555555555.0,*****,01,109
"Randolph County, Alabama",22574.0,,-555555555.0,*****,01,111
"Russell County, Alabama",58213.0,,-555555555.0,*****,01,113
"St. Clair County, Alabama",87306.0,,-555555555.0,*****,01,115
"Shelby County, Alabama",211261.0,,-555555555.0,*****,01,117
"Sumter County, Alabama",12985.0,,-555555555.0,*****,01,119
"Talladega County, Alabama",80565.0,,-555555555.0,*****,01,121
"Tallapoosa County, Alabama",40636.0,,-555555555.0,*****,01,123
"Tuscaloosa County, Alabama",206213.0,,-555555555.0,*****,01,125
"Walker County, Alabama",64493.0,,-555555555.0,*****,01,127
"Washington County, Alabama",16643.0,,-555555555.0,*****,01,129
"Wilcox County, Alabama",10809.0,,-555555555.0,*****,01,131
"Winston County, Alabama",23875.0,,-555555555.0,*****,01,133
"Aleutians East Borough, Alaska",3425.0,,-555555555.0,*****,02,013
"Aleutians West Census Area, Alaska",5750.0,,-555555555.0,*****,02,016
"Anchorage Municipality, Alaska",296112.0,,-555555555.0,*****,02,020
"Bethel Census Area, Alaska",18040.0,,-555555555.0,*****,02,050
"Dillingham Census Area, Alaska",4975.0,,-555555555.0,*****,02,070
"Fairbanks North Star Borough, Alaska",99653.0,,-555555555.0,*****,02,090
"Haines Borough, Alaska",2518.0,,-555555555.0,*****,02,100
"Hoonah-Angoon Census Area, Alaska",2132.0,,-555555555.0,*****,02,105
"Juneau City and Borough, Alaska",32330.0,,-555555555.0,*****,02,110
"Kenai Peninsula Borough, Alaska",58220.0,,-555555555.0,*****,02,122
"Ketchikan Gateway Borough, Alaska",13804.0,,-555555555.0,*****,02,130
"Kodiak Island Borough, Alaska",13649.0,,-555555555.0,*****,02,150
"Kusilvak Census Area, Alaska",8198.0,,-555555555.0,*****,02,158
"Matanuska-Susitna Borough, Alaska",103464.0,,-555555555.0,*****,02,170
"Nome Census Area, Alaska",9925.0,,-555555555.0,*****,02,180
"North Slope Borough, Alaska",9797.0,,-555555555.0,*****,02,185
"Northwest Arctic Borough, Alaska",7734.0,,-555555555.0,*****,02,188
"Petersburg Borough, Alaska",3255.0,,-555555555.0,*****,02,195
"Prince of Wales-Hyder Census Area, Alaska",6474.0,,-555555555.0,*****,02,198
"Sitka City and Borough, Alaska",8738.0,,-555555555.0,*****,02,220
"Southeast Fairbanks Census Area, Alaska",6876.0,,-555555555.0,*****,02,240
"Valdez-Cordova Census Area, Alaska",9301.0,,-555555555.0,*****,02,261
"Wrangell City and Borough, Alaska",2484.0,,-555555555.0,*****,02,275
"Yukon-Koyukuk Census Area, Alaska",5415.0,,-555555555.0,*****,02,290
"Apache County, Arizona",71522.0,,-555555555.0,*****,04,001
"Cochise County, Arizona",126279.0,,-555555555.0,*****,04,003
"Coconino County, Arizona",140217.0,,-555555555.0,*****,04,005
"Gila County, Arizona",53400.0,,-555555555.0,*****,04,007
"Graham County, Arizona",37879.0,,-555555555.0,*****,04,009
"Greenlee County, Arizona",9504.0,,-555555555.0,*****,04,011
"La Paz County, Arizona",20701.0,,-555555555.0,*****,04,012
"Maricopa County, Arizona",4253913.0,,-555555555.0,*****,04,013
"Mohave County, Arizona",206064.0,,-555555555.0,*****,04,015
"Navajo County, Arizona",108705.0,,-555555555.0,*****,04,017
"Pima County, Arizona",1019722.0,,-555555555.0,*****,04,019
"Pinal County, Arizona",419721.0,,-555555555.0,*****,04,021
"Santa Cruz County, Arizona",46584.0,,-555555555.0,*****,04,023
"Yavapai County, Arizona",224645.0,,-555555555.0,*****,04,025
"Yuma County, Arizona",207829.0,,-555555555.0,*****,04,027
"Arkansas County, Arkansas",18124.0,,-555555555.0,*****,05,001
"Ashley County, Arkansas",20537.0,,-555555555.0,*****,05,003
"Baxter County, Arkansas",41219.0,,-555555555.0,*****,05,005
"Benton County, Arkansas",258980.0,,-555555555.0,*****,05,007
"Boone County, Arkansas",37288.0,,-555555555.0,*****,05,009
"Bradley County, Arkansas",10948.0,,-555555555.0,*****,05,011
"Calhoun County, Arkansas",5202.0,,-555555555.0,*****,05,013
"Carroll County, Arkansas",27887.0,,-555555555.0,*****,05,015
"Chicot County, Arkansas",10826.0,,-555555555.0,*****,05,017
"Clark County, Arkansas",22385.0,,-555555555.0,*****,05,019
"Clay County, Arkansas",15061.0,,-555555555.0,*****,05,021
"Cleburne County, Arkansas",25230.0,,-555555555.0,*****,05,023
"Cleveland County, Arkansas",8226.0,,-555555555.0,*****,05,025
"Columbia County, Arkansas",23892.0,,-555555555.0,*****,05,027
"Conway County, Arkansas",20906.0,,-555555555.0,*****,05,029
"Craighead County, Arkansas",105701.0,,-555555555.0,*****,05,031
"Crawford County, Arkansas",62472.0,,-555555555.0,*****,05,033
"Crittenden County, Arkansas",49013.0,,-555555555.0,*****,05,035
"Cross County, Arkansas",16998.0,,-555555555.0,*****,05,037
