date,date_entered_updated,launch_time_(utc),missile_name,missile_type,facility_name,facility_location,facility_latitude,facility_longitude,landing_location,apogee,distance_travelled,confirmation_status,test_outcome,additional_information,source(s),year,month,day,missle_type_desc
2022-10-08,2022-10-10,16:53:00,KN-25,SRBM,Munchon,"Munchon, Kangwong Province",39.2815,127.377,Sea of Japan or East Sea,90 km,350 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20221009000354325?section=national/defense
https://www.mod.go.jp/j/press/news/2022/10/09b.html
http://kcna.kp/en/article/q/b99a0b7ec8b44d08af33e5402ebf5d6c.kcmsf",2022,10,Saturday,Short-range
2022-10-08,2022-10-10,16:47:00,KN-25,SRBM,Munchon,"Munchon, Kangwong Province",39.2815,127.377,Sea of Japan or East Sea,90 km,350 km,Confirmed,Success,"On October 9 (local time), North Korea launched two KN-25 rockets from a dock in Munchon, on North Korea's east coast. The South Korean Joint Chiefs of Staff stated the missiles were detected between 1:48 and 1:58 AM local time and launched from Munchon, Kangwon Province, with a range of 350 km and an apogee of 90 km. The Japanese government noted that the missiles were launched at 1:47 and 1:53 AM local time with a range of 350 km and an apogee of 100 km. The Japanese government also stated that the missiles may have been launched from the sea.

Using images released by North Korea on October 9, analysts geolocated a the launch to a dock in Munchon. According to North Korea, ""the firing drill of the super-large multiple rocket launchers was waged in simulating the strike of the enemies' main ports at dawn of October 9.""","https://en.yna.co.kr/view/AEN20221009000354325?section=national/defense
https://www.mod.go.jp/j/press/news/2022/10/09b.html
http://kcna.kp/en/article/q/b99a0b7ec8b44d08af33e5402ebf5d6c.kcmsf",2022,10,Saturday,Short-range
2022-10-05,2022-10-06,21:15:00,KN-23,SRBM,Samsok,"Samsok District, Pyongyang",39.1268,125.9579,Sea of Japan or East Sea,50 km,800 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20221006000853325
https://www.mod.go.jp/j/press/news/2022/10/06b.html
http://kcna.kp/en/article/q/b99a0b7ec8b44d08af33e5402ebf5d6c.kcmsf",2022,10,Wednesday,Short-range
2022-10-05,2022-10-06,21:00:00,KN-25,SRBM,Samsok,"Samsok District, Pyongyang",39.1268,125.9579,Sea of Japan or East Sea,100 km,350 km,Confirmed,Success,"Less than 24 hours after the IRBM launch, North Korea launched two SRBMs. The South Korean Joint Chiefs of Staff stated the missiles were detected between 6:01 and 6:23 AM local time and launched from the Samsok region of Pyongyang, with one missile flying 350 km with an apogee of 80 km, and the other flying 800 km with an apogee of 60 km. The Japanese government stated that the missiles were launched at 6:00 and 6:15 AM and travelled 350 km (apogee 100 km) and 800 km (apogee 50 km), respectively. The Japanese government also stated the missiles may have flown on an irregular trajectory.

The launch location was subsequently geolocated by analysts using pictures released by North Korea on October 9. According to North Korea, the launch was a drill for ""super-large multiple rocket launchers and tactical ballistic missiles for verifying the might of functional warheads... conducted in simulation of striking the enemies' main military command facilities.""","https://en.yna.co.kr/view/AEN20221006000853325
https://www.mod.go.jp/j/press/news/2022/10/06b.html
http://kcna.kp/en/article/q/b99a0b7ec8b44d08af33e5402ebf5d6c.kcmsf",2022,10,Wednesday,Short-range
2022-10-03,2022-10-06,22:22:00,New IRBM (2022),IRBM,Mupyong-ni Arms Plant,"Mup'Yong-Ni, Chagang Province",40.611208,126.425743,Pacific Ocean,970 km,4500 km,Confirmed,Success,"At 7:22 AM local time on 4 October 2022, North Korea launched an IRBM which overflew Japan, the first such launch since 2017. According to the South Korean Joint Chiefs of Staff, the missile was detected at 7:23 AM and launched from Mupyong-ri, reaching range of 4500 km and an apogee of 970 km. According to the Japanese government, the missile flew approximately 4600 km with an approximate apogee of 1000 km. The missile prompted the Japanese government to issue an alert to residents of northern Japan using the J-Alert system and a temporary stoppage of trains in the Aomori and Hokkaido regions. The follwoing day, 5 October, a South Korean missile launch failed when a Hyunmoo-2 SRBM crashed shortly after launch. 

On October 9, North Korea released images confirming that the launch was from the Mupyong-ni Arms Plant. Although the missile's performance resembled that of the Hwasong-12, the pictures indicate that it was, in fact, a new missile. North Korea stated ""In order to cope with the unstable situation of the Korean Peninsula, the Central Military Commission of the Workers' Party of Korea adopted a decision to send more powerful and clear warning to the enemies on October 4 and took a measure to hit the set water area in the Pacific 4 500 kilometers across the Japanese Islands with new-type ground-to-ground intermediate-range ballistic missile.""","https://en.yna.co.kr/view/AEN20221004001354325
https://www.mod.go.jp/j/press/news/2022/10/04b.html
https://www.asahi.com/ajw/articles/14734677
https://japantoday.com/category/national/N-Korea-fires-missile-Japan-issues-alert-for-Hokkaido-Aomori
https://apnews.com/article/united-states-south-korea-north-joint-chiefs-of-staff-de60a7b5b83248c549e6e65b49b4a373
https://twitter.com/ArmsControlWonk/status/1577091660336332802?s=20&t=gRyWwdK8-nbUl3HaCTpJPw
http://kcna.kp/en/article/q/b99a0b7ec8b44d08af33e5402ebf5d6c.kcmsf",2022,10,Monday,Intermediate-range
2022-09-30,2022-10-06,21:58:00,KN-23,SRBM,West Sunan,"Sunan District, Pyongyang",39.3942,125.6773,Sea of Japan or East Sea,50 km,350 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20221001000455325
https://www.mod.go.jp/j/press/news/2022/10/01b.html",2022,9,Friday,Short-range
2022-09-30,2022-10-06,21:42:00,KN-23,SRBM,West Sunan,"Sunan District, Pyongyang",39.3942,125.6773,Sea of Japan or East Sea,50 km,400 km,Confirmed,Success,"North Korea conducted its 4th missile test in a week, launching two missiles on October 1 (local time). According to the South Korean Joint Chiefs of Staff, the missiles were launched from the Sunan area and detected between 6:45 and 7:03 AM local time, and travelled 350 km with an apogee of 30 km. According to the Japanese government, the missiles were launched at 6:42 and 6:58 AM, and travelled 400 and 350 km repectively, with an apogee of 50 km. The Japanese government also stated the missiles may have flown on an irregular trajectory.

The launch location was subsequently geolocated by analysts using pictures released by North Korea on October 9.","https://en.yna.co.kr/view/AEN20221001000455325
https://www.mod.go.jp/j/press/news/2022/10/01b.html",2022,9,Friday,Short-range
2022-09-29,2022-10-06,11:57:00,KN-25,SRBM,Sunchon,North Pyongan Province,39.4163,125.8907,Sea of Japan or East Sea,50 km,300 km,Confirmed,Success,2 of 2 tests,"https://en.yna.co.kr/view/AEN20220929010154325?section=nk/nk
https://www.mod.go.jp/j/press/news/2022/09/29d.html",2022,9,Thursday,Short-range
2022-09-29,2022-10-06,11:48:00,KN-25,SRBM,Sunchon,North Pyongan Province,39.4163,125.8907,Sea of Japan or East Sea,50 km,350 km,Confirmed,Success,"Hours after the arrival of US Vice President Kamala Harris in South Korea, North Korea launched two missiles. According to the South Korean Joint Chiefs of Staff, the missiles were detected between 8:48 and 8:57 PM local time and launched from the vicinity of Sunchon, travelling approximately 350 km with an apogee of 50 km. According to the Japanese government, the missiles were launched 8:47 and 8:53 PM local time, flying approximately 300 km with an apogee of 50 km.

The launch location was subsequently geolocated by analysts using pictures released by North Korea on October 9.","https://en.yna.co.kr/view/AEN20220929010154325?section=nk/nk
https://www.mod.go.jp/j/press/news/2022/09/29d.html",2022,9,Thursday,Short-range
2022-09-28,2022-10-06,09:10:00,Unnamed large solid-propellant SRBM (KN-23 Mod),SRBM,Sunan,"Sunan District, Pyongyang",39.20299,125.70926,Sea of Japan or East Sea,50 km,350 km,Confirmed,Success,"Three days after the previous test, North Korea launched two SRBMs. According to the South Korean Joint Chiefs of Staff, the missiles were launched from near Sunan and detected between 6:10 and 6:20 AM local time, travelling 360 km with an apogee of 30 km. Yonhap additionally noted that the missiles might be KN-23s. The Japanese government stated the missiles were launched at 6:10 and 6:17 AM, travelling between 300 and 350 km, with an apogee of 50 km. The test took place the day before US Vice President Kamala Harris arrived in South Korea.

The launch location was subsequently geolocated by analysts using pictures released by North Korea on October 9. According to North Korea, the test simulated the loading and launching of nuclear warheads ""for the purpose of neutralizing the airports in the operation zones of south Korea.""","https://en.yna.co.kr/view/AEN20220928009057315
https://www.mod.go.jp/j/press/news/2022/09/28c.html
https://apnews.com/article/kamala-harris-seoul-south-korea-north-joint-chiefs-of-staff-d281b4dc04219c0d85713f3cf15cb7ba
https://twitter.com/ISNJH/status/1579499843856531456
http://kcna.kp/en/article/q/b99a0b7ec8b44d08af33e5402ebf5d6c.kcmsf",2022,9,Wednesday,Short-range
