facid,facility_name,penalties,penalties_sum,bed_capacity,fac_fdr,penalties_per_10_beds,penalties_sum_per_10_beds
010000001,VINEYARD POST ACUTE,21,151109.0,99.0,SKILLED NURSING FACILITY,2.12,15263.54
010000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,35,116879.04000000001,181.0,SKILLED NURSING FACILITY,1.93,6457.41
010000004,CRESCENT CITY SKILLED NURSING,15,58000.0,99.0,SKILLED NURSING FACILITY,1.52,5858.59
010000005,WINDSOR CARE CENTER OF PETALUMA,41,292800.0,79.0,SKILLED NURSING FACILITY,5.19,37063.29
010000024,"GRANADA REHAB & WELLNESS CENTER, LP",29,142259.0,87.0,SKILLED NURSING FACILITY,3.33,16351.61
010000026,APPLE VALLEY POST-ACUTE REHAB,31,232200.0,95.0,SKILLED NURSING FACILITY,3.26,24442.11
010000028,EMPRES POST ACUTE REHABILITATION,24,165250.0,98.0,SKILLED NURSING FACILITY,2.45,16862.24
010000029,HEALDSBURG SENIOR LIVING COMMUNITY,9,48500.0,38.0,SKILLED NURSING FACILITY,2.37,12763.16
010000033,SANTA ROSA POST ACUTE,10,30207.0,99.0,SKILLED NURSING FACILITY,1.01,3051.21
010000034,SONOMA POST ACUTE,22,91879.0,83.0,SKILLED NURSING FACILITY,2.65,11069.76
010000037,CLOVERDALE HEALTHCARE CENTER,16,50000.0,72.0,SKILLED NURSING FACILITY,2.22,6944.44
010000043,PARK VIEW POST ACUTE,25,71650.0,116.0,SKILLED NURSING FACILITY,2.16,6176.72
010000047,NORTHBROOK HEALTHCARE CENTER,16,47000.0,70.0,SKILLED NURSING FACILITY,2.29,6714.29
010000052,PETALUMA POST-ACUTE REHAB,5,28500.0,90.0,SKILLED NURSING FACILITY,0.56,3166.67
010000059,NORTHVINE POSTACUTE CARE,4,18250.0,62.0,SKILLED NURSING FACILITY,0.65,2943.55
010000060,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",31,117880.0,99.0,SKILLED NURSING FACILITY,3.13,11907.07
010000062,SHERWOOD OAKS HEALTHCARE CENTER,17,109000.0,79.0,SKILLED NURSING FACILITY,2.15,13797.47
010000066,BROADWAY VILLA POST ACUTE,25,120284.0,144.0,SKILLED NURSING FACILITY,1.74,8353.06
010000075,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",10,41700.0,104.0,SKILLED NURSING FACILITY,0.96,4009.62
010000076,SUMMERFIELD HEALTHCARE CENTER,5,8200.0,70.0,SKILLED NURSING FACILITY,0.71,1171.43
010000078,"EUREKA REHABILITATION & WELLNESS CENTER, LP",46,208900.0,99.0,SKILLED NURSING FACILITY,4.65,21101.01
010000079,HILLCREST POST ACUTE,2,2000.0,59.0,SKILLED NURSING FACILITY,0.34,338.98
010000080,UKIAH POST ACUTE,15,52900.0,54.0,SKILLED NURSING FACILITY,2.78,9796.3
010000082,REDWOOD COVE HEALTHCARE CENTER,39,205050.0,68.0,SKILLED NURSING FACILITY,5.74,30154.41
010000208,SPRING LAKE VILLAGE,6,57000.0,70.0,SKILLED NURSING FACILITY,0.86,8142.86
010000936,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",11,132000.0,54.0,SKILLED NURSING FACILITY,2.04,24444.44
010000938,SOUTH MARIN HEALTH & WELLNESS CENTER,15,16962.0,72.0,SKILLED NURSING FACILITY,2.08,2355.83
010000940,NOVATO HEALTHCARE CENTER,58,219050.0,181.0,SKILLED NURSING FACILITY,3.2,12102.21
010000949,PINE RIDGE CARE CENTER,52,317605.0,101.0,SKILLED NURSING FACILITY,5.15,31446.04
010000951,MARIN CONVALESCENT & REHABILITATION HOSPITAL,15,31300.0,56.0,SKILLED NURSING FACILITY,2.68,5589.29
010000959,MARIN POST ACUTE,5,31250.0,168.0,SKILLED NURSING FACILITY,0.3,1860.12
010000968,PROFESSIONAL POST ACUTE CENTER,31,303790.0,99.0,SKILLED NURSING FACILITY,3.13,30685.86
010000980,NORTHGATE POSTACUTE CARE,22,100550.0,54.0,SKILLED NURSING FACILITY,4.07,18620.37
010000985,THE TAMALPAIS,4,23500.0,52.0,SKILLED NURSING FACILITY,0.77,4519.23
010000995,VILLA MARIN RETIREMENT RESIDENCES,2,1300.0,31.0,SKILLED NURSING FACILITY,0.65,419.35
010001005,ALDERSLY SKILLED NURSING FACILITY,6,18000.0,20.0,SKILLED NURSING FACILITY,3.0,9000.0
010001007,"THE REDWOODS, A COMMUNITY OF SENIORS",12,125100.0,58.0,SKILLED NURSING FACILITY,2.07,21568.97
010001037,SMITH RANCH SKILLED NURSING & REHABILITATION CENTER,6,22750.0,80.0,SKILLED NURSING FACILITY,0.75,2843.75
010001140,ARBOL RESIDENCES OF SANTA ROSA,12,64000.0,45.0,SKILLED NURSING FACILITY,2.67,14222.22
020000005,ST ANTHONY CARE CENTER,1,600.0,30.0,SKILLED NURSING FACILITY,0.33,200.0
020000010,ASHBY CARE CENTER,7,63500.0,31.0,SKILLED NURSING FACILITY,2.26,20483.87
020000015,BANCROFT HEALTHCARE CENTER,1,60000.0,36.0,SKILLED NURSING FACILITY,0.28,16666.67
020000019,VISTA POST ACUTE,7,59200.0,71.0,SKILLED NURSING FACILITY,0.99,8338.03
020000020,WINDSOR COUNTRY DRIVE CARE CENTER,8,21500.0,126.0,SKILLED NURSING FACILITY,0.63,1706.35
020000026,"BAY VIEW REHABILITATION HOSPITAL, LLC",17,102489.0,170.0,SKILLED NURSING FACILITY,1.0,6028.76
