facid,facname,fac_fdr,bed_capacity_type,bed_capacity,county_name
630004081,DEPARTMENT OF STATE HOSPITALS - COALINGA D/P ICF,INTERMEDIATE CARE FACILITY,INTERMEDIATE CARE,1450,FRESNO
150001227,DEPARTMENT OF STATE HOSPITALS - NAPA,INTERMEDIATE CARE FACILITY,INTERMEDIATE CARE,1231,NAPA
170001858,DEPARTMENT OF STATE HOSPITALS - METROPOLITAN,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,1004,LOS ANGELES
630014470,CALIFORNIA HEALTH CARE FACILITY - STOCKTON,CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,972,SAN JOAQUIN
150001245,DEPARTMENT OF STATE HOSPITALS - ATASCADERO,INTERMEDIATE CARE FACILITY,INTERMEDIATE CARE,964,SAN LUIS OBISPO
170001857,DEPARTMENT OF STATE HOSPITALS - PATTON D/P ICF,INTERMEDIATE CARE FACILITY,INTERMEDIATE CARE,860,SAN BERNARDINO
220000512,LAGUNA HONDA HOSPITAL & REHABILITATION CTR D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,769,SAN FRANCISCO
930000004,CEDARS-SINAI MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,624,LOS ANGELES
080000036,SHARP MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,552,SAN DIEGO
630011825,CALIFORNIA MEDICAL FACILITY - CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,CORRECTIONAL TREATMENT CENTER,518,SOLANO
170001877,PORTERVILLE DEVELOPMENTAL CENTER D/P ICFDD (STP),INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD,469,TULARE
170001855,DEPARTMENT OF STATE HOSPITALS - PATTON,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,427,SAN BERNARDINO
040000101,COMMUNITY REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,424,FRESNO
220000031,UCSF MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,423,SAN FRANCISCO
930000127,TORRANCE MEMORIAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,409,LOS ANGELES
950000085,SANTA ANITA CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,391,LOS ANGELES
930000026,HUNTINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,372,LOS ANGELES
220000518,JEWISH HOME & REHAB CENTER D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,362,SAN FRANCISCO
090000025,SCRIPPS MERCY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,361,SAN DIEGO
030000113,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,360,SACRAMENTO
930000099,PIH HEALTH HOSPITAL-WHITTIER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,357,LOS ANGELES
040000126,SAINT AGNES MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,343,FRESNO
060000040,LAC+USC MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,343,LOS ANGELES
030000123,MEMORIAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,343,STANISLAUS
950000009,"GLENDORA GRAND, INC.",SKILLED NURSING FACILITY,SKILLED NURSING,342,LOS ANGELES
250000011,EISENHOWER MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,338,RIVERSIDE
030000124,MERCY GENERAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,326,SACRAMENTO
080000149,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,322,SAN DIEGO
080000144,KAISER FOUNDATION HOSPITAL - ZION,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,319,SAN DIEGO
080000045,GROSSMONT HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,313,SAN DIEGO
630013558,VETERANS HOME OF CALIFORNIA - WEST LOS ANGELES,SKILLED NURSING FACILITY,SKILLED NURSING,312,LOS ANGELES
150001243,DEPARTMENT OF STATE HOSPITALS - ATASCADERO,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,311,SAN LUIS OBISPO
140000425,ALTA BATES SUMMIT MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,309,ALAMEDA
930000095,MEMORIALCARE LONG BEACH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,309,LOS ANGELES
070000149,SANTA CLARA VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,306,SANTA CLARA
080000820,COUNTRY HILLS POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,305,SAN DIEGO
080000060,THE SHORES POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,305,SAN DIEGO
240000024,KAISER FOUNDATION HOSPITAL FONTANA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,304,SAN BERNARDINO
140000118,WASHINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,302,ALAMEDA
970000111,KEI-AI LOS ANGELES HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,300,LOS ANGELES
910000084,SUNNYSIDE NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,299,LOS ANGELES
920000048,WELLSPRINGS POST-ACUTE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,299,LOS ANGELES
080000694,VILLA RANCHO BERNARDO CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,299,SAN DIEGO
940000111,WINDSOR PALMS CARE CENTER OF ARTESIA,SKILLED NURSING FACILITY,SKILLED NURSING,296,LOS ANGELES
930000059,ADVENTIST HEALTH GLENDALE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,291,LOS ANGELES
940000006,LAKEWOOD HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,290,LOS ANGELES
140000187,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,289,CONTRA COSTA
250000049,RIVERSIDE COMMUNITY HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,287,RIVERSIDE
930000034,CHILDREN'S HOSPITAL LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,286,LOS ANGELES
